bootstrap_id,object_A,object_B,A_selected_peak_day,B_selected_peak_day,selected_peak_delta_B_minus_A
0,H,Je,32.0,46.0,14.0
0,H,Jw,32.0,52.0,20.0
0,H,P,32.0,44.0,12.0
0,H,V,32.0,43.0,11.0
0,Je,Jw,46.0,52.0,6.0
0,Je,P,46.0,44.0,-2.0
0,Je,V,46.0,43.0,-3.0
0,Jw,P,52.0,44.0,-8.0
0,Jw,V,52.0,43.0,-9.0
0,P,V,44.0,43.0,-1.0
1,H,Je,35.0,45.0,10.0
1,H,Jw,35.0,40.0,5.0
1,H,P,35.0,46.0,11.0
1,H,V,35.0,45.0,10.0
1,Je,Jw,45.0,40.0,-5.0
1,Je,P,45.0,46.0,1.0
1,Je,V,45.0,45.0,0.0
1,Jw,P,40.0,46.0,6.0
1,Jw,V,40.0,45.0,5.0
1,P,V,46.0,45.0,-1.0
2,H,Je,34.0,44.0,10.0
2,H,Jw,34.0,44.0,10.0
2,H,P,34.0,46.0,12.0
2,H,V,34.0,46.0,12.0
2,Je,Jw,44.0,44.0,0.0
2,Je,P,44.0,46.0,2.0
2,Je,V,44.0,46.0,2.0
2,Jw,P,44.0,46.0,2.0
2,Jw,V,44.0,46.0,2.0
2,P,V,46.0,46.0,0.0
3,H,Je,56.0,55.0,-1.0
3,H,Jw,56.0,45.0,-11.0
3,H,P,56.0,41.0,-15.0
3,H,V,56.0,44.0,-12.0
3,Je,Jw,55.0,45.0,-10.0
3,Je,P,55.0,41.0,-14.0
3,Je,V,55.0,44.0,-11.0
3,Jw,P,45.0,41.0,-4.0
3,Jw,V,45.0,44.0,-1.0
3,P,V,41.0,44.0,3.0
4,H,Je,34.0,46.0,12.0
4,H,Jw,34.0,45.0,11.0
4,H,P,34.0,42.0,8.0
4,H,V,34.0,44.0,10.0
4,Je,Jw,46.0,45.0,-1.0
4,Je,P,46.0,42.0,-4.0
4,Je,V,46.0,44.0,-2.0
4,Jw,P,45.0,42.0,-3.0
4,Jw,V,45.0,44.0,-1.0
4,P,V,42.0,44.0,2.0
5,H,Je,51.0,44.0,-7.0
5,H,Jw,51.0,51.0,0.0
5,H,P,51.0,46.0,-5.0
5,H,V,51.0,44.0,-7.0
5,Je,Jw,44.0,51.0,7.0
5,Je,P,44.0,46.0,2.0
5,Je,V,44.0,44.0,0.0
5,Jw,P,51.0,46.0,-5.0
5,Jw,V,51.0,44.0,-7.0
5,P,V,46.0,44.0,-2.0
6,H,Je,32.0,48.0,16.0
6,H,Jw,32.0,48.0,16.0
6,H,P,32.0,43.0,11.0
6,H,V,32.0,45.0,13.0
6,Je,Jw,48.0,48.0,0.0
6,Je,P,48.0,43.0,-5.0
6,Je,V,48.0,45.0,-3.0
6,Jw,P,48.0,43.0,-5.0
6,Jw,V,48.0,45.0,-3.0
6,P,V,43.0,45.0,2.0
7,H,Je,34.0,48.0,14.0
7,H,Jw,34.0,48.0,14.0
7,H,P,34.0,43.0,9.0
7,H,V,34.0,43.0,9.0
7,Je,Jw,48.0,48.0,0.0
7,Je,P,48.0,43.0,-5.0
7,Je,V,48.0,43.0,-5.0
7,Jw,P,48.0,43.0,-5.0
7,Jw,V,48.0,43.0,-5.0
7,P,V,43.0,43.0,0.0
8,H,Je,31.0,54.0,23.0
8,H,Jw,31.0,50.0,19.0
8,H,P,31.0,42.0,11.0
8,H,V,31.0,45.0,14.0
8,Je,Jw,54.0,50.0,-4.0
8,Je,P,54.0,42.0,-12.0
8,Je,V,54.0,45.0,-9.0
8,Jw,P,50.0,42.0,-8.0
8,Jw,V,50.0,45.0,-5.0
8,P,V,42.0,45.0,3.0
9,H,Je,28.0,47.0,19.0
9,H,Jw,28.0,49.0,21.0
9,H,P,28.0,44.0,16.0
9,H,V,28.0,47.0,19.0
9,Je,Jw,47.0,49.0,2.0
9,Je,P,47.0,44.0,-3.0
9,Je,V,47.0,47.0,0.0
9,Jw,P,49.0,44.0,-5.0
9,Jw,V,49.0,47.0,-2.0
9,P,V,44.0,47.0,3.0
10,H,Je,19.0,46.0,27.0
10,H,Jw,19.0,50.0,31.0
10,H,P,19.0,44.0,25.0
10,H,V,19.0,45.0,26.0
10,Je,Jw,46.0,50.0,4.0
10,Je,P,46.0,44.0,-2.0
10,Je,V,46.0,45.0,-1.0
10,Jw,P,50.0,44.0,-6.0
10,Jw,V,50.0,45.0,-5.0
10,P,V,44.0,45.0,1.0
11,H,Je,27.0,45.0,18.0
11,H,Jw,27.0,45.0,18.0
11,H,P,27.0,46.0,19.0
11,H,V,27.0,47.0,20.0
11,Je,Jw,45.0,45.0,0.0
11,Je,P,45.0,46.0,1.0
11,Je,V,45.0,47.0,2.0
11,Jw,P,45.0,46.0,1.0
11,Jw,V,45.0,47.0,2.0
11,P,V,46.0,47.0,1.0
12,H,Je,31.0,56.0,25.0
12,H,Jw,31.0,54.0,23.0
12,H,P,31.0,44.0,13.0
12,H,V,31.0,44.0,13.0
12,Je,Jw,56.0,54.0,-2.0
12,Je,P,56.0,44.0,-12.0
12,Je,V,56.0,44.0,-12.0
12,Jw,P,54.0,44.0,-10.0
12,Jw,V,54.0,44.0,-10.0
12,P,V,44.0,44.0,0.0
13,H,Je,34.0,43.0,9.0
13,H,Jw,34.0,40.0,6.0
13,H,P,34.0,44.0,10.0
13,H,V,34.0,44.0,10.0
13,Je,Jw,43.0,40.0,-3.0
13,Je,P,43.0,44.0,1.0
13,Je,V,43.0,44.0,1.0
13,Jw,P,40.0,44.0,4.0
13,Jw,V,40.0,44.0,4.0
13,P,V,44.0,44.0,0.0
14,H,Je,29.0,45.0,16.0
14,H,Jw,29.0,39.0,10.0
14,H,P,29.0,44.0,15.0
14,H,V,29.0,45.0,16.0
14,Je,Jw,45.0,39.0,-6.0
14,Je,P,45.0,44.0,-1.0
14,Je,V,45.0,45.0,0.0
14,Jw,P,39.0,44.0,5.0
14,Jw,V,39.0,45.0,6.0
14,P,V,44.0,45.0,1.0
15,H,Je,32.0,45.0,13.0
15,H,Jw,32.0,47.0,15.0
15,H,P,32.0,43.0,11.0
15,H,V,32.0,45.0,13.0
15,Je,Jw,45.0,47.0,2.0
15,Je,P,45.0,43.0,-2.0
15,Je,V,45.0,45.0,0.0
15,Jw,P,47.0,43.0,-4.0
15,Jw,V,47.0,45.0,-2.0
15,P,V,43.0,45.0,2.0
16,H,Je,54.0,57.0,3.0
16,H,Jw,54.0,45.0,-9.0
16,H,P,54.0,40.0,-14.0
16,H,V,54.0,43.0,-11.0
16,Je,Jw,57.0,45.0,-12.0
16,Je,P,57.0,40.0,-17.0
16,Je,V,57.0,43.0,-14.0
16,Jw,P,45.0,40.0,-5.0
16,Jw,V,45.0,43.0,-2.0
16,P,V,40.0,43.0,3.0
17,H,Je,35.0,50.0,15.0
17,H,Jw,35.0,50.0,15.0
17,H,P,35.0,45.0,10.0
17,H,V,35.0,45.0,10.0
17,Je,Jw,50.0,50.0,0.0
17,Je,P,50.0,45.0,-5.0
17,Je,V,50.0,45.0,-5.0
17,Jw,P,50.0,45.0,-5.0
17,Jw,V,50.0,45.0,-5.0
17,P,V,45.0,45.0,0.0
18,H,Je,26.0,49.0,23.0
18,H,Jw,26.0,46.0,20.0
18,H,P,26.0,45.0,19.0
18,H,V,26.0,47.0,21.0
18,Je,Jw,49.0,46.0,-3.0
18,Je,P,49.0,45.0,-4.0
18,Je,V,49.0,47.0,-2.0
18,Jw,P,46.0,45.0,-1.0
18,Jw,V,46.0,47.0,1.0
18,P,V,45.0,47.0,2.0
19,H,Je,34.0,51.0,17.0
19,H,Jw,34.0,49.0,15.0
19,H,P,34.0,45.0,11.0
19,H,V,34.0,45.0,11.0
19,Je,Jw,51.0,49.0,-2.0
19,Je,P,51.0,45.0,-6.0
19,Je,V,51.0,45.0,-6.0
19,Jw,P,49.0,45.0,-4.0
19,Jw,V,49.0,45.0,-4.0
19,P,V,45.0,45.0,0.0
