object_A,object_B,delta_definition,delta_observed,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,decision,observed_selected_window_overlap_fraction
H,Je,B_selected_peak_day_minus_A_selected_peak_day; positive means A selected raw/profile window earlier,15.0,7.0,-25.0,23.0,0.602,0.338,unresolved,0.0
H,Jw,B_selected_peak_day_minus_A_selected_peak_day; positive means A selected raw/profile window earlier,-16.0,10.0,-15.0,24.0,0.632,0.343,unresolved,0.0
H,P,B_selected_peak_day_minus_A_selected_peak_day; positive means A selected raw/profile window earlier,12.0,9.0,-17.0,19.0,0.597,0.397,unresolved,0.4117647058823529
H,V,B_selected_peak_day_minus_A_selected_peak_day; positive means A selected raw/profile window earlier,13.0,10.0,-16.0,20.0,0.601,0.396,unresolved,0.2
Je,Jw,B_selected_peak_day_minus_A_selected_peak_day; positive means A selected raw/profile window earlier,-31.0,1.0,-12.0,22.0,0.538,0.389,unresolved,0.0
Je,P,B_selected_peak_day_minus_A_selected_peak_day; positive means A selected raw/profile window earlier,-3.0,-2.0,-14.0,17.0,0.217,0.712,unresolved,1.0
Je,V,B_selected_peak_day_minus_A_selected_peak_day; positive means A selected raw/profile window earlier,-2.0,-1.0,-12.024999999999999,18.0,0.284,0.615,unresolved,1.0
Jw,P,B_selected_peak_day_minus_A_selected_peak_day; positive means A selected raw/profile window earlier,28.0,-4.0,-11.0,6.0,0.191,0.759,unresolved,0.0
Jw,V,B_selected_peak_day_minus_A_selected_peak_day; positive means A selected raw/profile window earlier,29.0,-3.0,-10.024999999999999,5.0,0.259,0.662,unresolved,0.0
P,V,B_selected_peak_day_minus_A_selected_peak_day; positive means A selected raw/profile window earlier,1.0,1.0,-2.0,6.0,0.597,0.177,unresolved,0.8666666666666667
