detector_width,candidate_id,candidate_day,month_day,candidate_score,candidate_prominence,candidate_rank,source_type
12,H_W12_C001,114,07-24,0.9813955621030381,0.9732608631219856,1,local_peak
12,H_W12_C002,95,07-05,0.4870119936921294,0.4657914180401472,2,local_peak
12,H_W12_C003,19,04-20,0.4651454765738744,0.3311790146082569,3,local_peak
12,H_W12_C004,155,09-03,0.4168031168275916,0.3937871754124602,4,local_peak
12,H_W12_C005,77,06-17,0.33449441119697176,0.23081596557434314,5,local_peak
12,H_W12_C006,36,05-07,0.284961375573506,0.16335072527002203,6,local_peak
12,H_W12_C007,129,08-08,0.2839989964022108,0.2645274083550426,7,local_peak
12,H_W12_C008,171,09-19,0.16731568061988064,0.024855150572184098,8,local_peak
12,H_W12_C009,54,05-25,0.09422898110012781,0.05150529751812952,9,local_peak
12,H_W12_C010,142,08-21,0.06623225200304675,0.047389583260723935,10,local_peak
12,H_W12_C011,164,09-12,0.05314097506531069,0.009067684110750283,11,local_peak
12,H_W12_C012,46,05-17,0.018627168735842536,0.0019141983094740113,12,local_peak
16,H_W16_C001,115,07-25,1.933987396389258,1.9149441313915394,1,local_peak
16,H_W16_C002,19,04-20,0.9589229989330008,0.5107020909483869,2,local_peak
16,H_W16_C003,95,07-05,0.854034596616971,0.740629631829326,3,local_peak
16,H_W16_C004,77,06-17,0.7133491397840082,0.45761824441635474,4,local_peak
16,H_W16_C005,155,09-03,0.6861017332658154,0.6637051927766044,5,local_peak
16,H_W16_C006,36,05-07,0.5525283966081277,0.25557170634009096,6,local_peak
16,H_W16_C007,129,08-08,0.38017127294212194,0.3473218475977067,7,local_peak
16,H_W16_C008,55,05-26,0.16809703709758783,0.050162235726408044,8,local_peak
16,H_W16_C009,143,08-22,0.08252699576553948,0.015946868373883538,9,local_peak
20,H_W20_C001,115,07-25,3.146096839637366,3.0938550198518047,1,local_peak
20,H_W20_C002,19,04-20,1.644002486538675,0.41801659495200383,2,local_peak
20,H_W20_C003,95,07-05,1.2533913684369586,0.8663388271115231,3,local_peak
20,H_W20_C004,77,06-17,1.2271510502887968,0.6914125246319123,4,local_peak
20,H_W20_C005,35,05-06,0.9190171447661464,0.2470407304163147,5,local_peak
20,H_W20_C006,155,09-03,0.886077308321052,0.8363151175601382,6,local_peak
20,H_W20_C007,129,08-08,0.38555159044535026,0.33547591279898825,7,local_peak
20,H_W20_C008,57,05-28,0.27875502949334635,0.030484532331906178,8,local_peak
24,H_W24_C001,115,07-25,4.351796701605672,4.21231995911227,1,local_peak
24,H_W24_C002,19,04-20,2.4668328402725175,0.13335884785610652,2,local_peak
24,H_W24_C003,77,06-17,1.901045948572841,0.9127485351271536,3,local_peak
24,H_W24_C004,95,07-05,1.7257939554639539,0.721085606893114,4,local_peak
24,H_W24_C005,34,05-05,1.376549229515868,0.06955808938106345,5,local_peak
24,H_W24_C006,154,09-02,1.0333744845035808,0.9000330614771942,6,local_peak
24,H_W24_C007,131,08-10,0.4152086558905731,0.3027952053822801,7,local_peak
28,H_W28_C001,114,07-24,5.506301540637404,5.20076533315679,1,local_peak
28,H_W28_C002,77,06-17,2.7759500810671547,1.1221747603187229,2,local_peak
28,H_W28_C003,96,07-06,2.2698312108466068,0.2992996173271574,3,local_peak
28,H_W28_C004,153,09-01,1.2680715584148776,0.9360808043703966,4,local_peak
28,H_W28_C005,132,08-11,0.487932082835955,0.24489345782398153,5,local_peak
