feature_index,object_name,lat_value,n_invalid_days
0,H,15.0,8
1,H,17.0,8
2,H,19.0,8
3,H,21.0,8
4,H,23.0,8
5,H,25.0,8
6,H,27.0,8
7,H,29.0,8
8,H,31.0,8
9,H,33.0,8
10,H,35.0,8
