scope,object,config_id,candidate_id,point_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days,joint_support_class,sensitivity_group,changed_factor,changed_value,input_source,smoothed_fields_path,bootstrap_status
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP001,16,0.91,0.982,0.009,0.009,3.099936775913069,1.0,joint_strong_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP002,29,0.653,0.862,0.099,0.039,2.859585598148766,1.0,joint_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP003,36,0.35,0.565,0.403,0.032,3.5024525201692622,5.0,joint_weak_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP004,44,0.829,0.998,0.002,0.0,5.009834402773492,1.0,joint_strong_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP005,66,0.833,0.902,0.059,0.039,3.6337389884280284,1.0,joint_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP006,78,0.537,0.89,0.107,0.003,6.880365106623307,2.0,joint_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP007,83,0.589,0.904,0.091,0.005,7.242269751051405,2.0,joint_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP008,97,0.716,0.968,0.012,0.02,5.674570520074536,1.0,joint_strong_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP009,113,0.84,0.993,0.007,0.0,7.521450899273059,1.0,joint_strong_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP010,128,0.725,0.932,0.06,0.008,3.9936480543725605,2.0,joint_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP011,134,0.662,0.876,0.123,0.001,3.9043808117562726,1.0,joint_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,CP012,159,0.546,0.978,0.019,0.003,5.659660403518266,2.0,joint_strong_candidate,smooth5_detector_width,detector_width,16,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
