window,source,target,source_family,target_family,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,p_pos_surrogate,q_pos_within_window,q_pos_global,T_pos_null95,strength_excess,strength_ratio,statistical_support,strength_tier,same_day_coupling_flag,direction_label,lead_lag_label,lead_lag_group,failure_reason,risk_note,suggested_reverse_direction,sample_status
T3_forw17,V_strength,P_main_band_share,V,P,3,0.1351705159854857,0.1351705159854857,-4,-0.06684640125352537,0.06684640125352537,0.06674817213340199,0.06674817213340199,0.2807192807192807,0.4453719357565511,0.4453719357565511,0.22944626445689228,-0.09427574847140657,0.5891162198933126,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_forw17,V_strength,P_south_band_share_18_24,V,P,5,-0.22750228951533055,0.22750228951533055,-3,0.1407039920429707,0.1407039920429707,0.028002297146412468,0.028002297146412468,0.054945054945054944,0.18501906257008296,0.18501906257008296,0.2319261837713775,-0.004423894256046945,0.9809254212521005,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_forw17,V_strength,P_main_minus_south,V,P,4,0.18299474963924175,0.18299474963924175,-3,-0.10943306395952748,0.10943306395952748,0.029273738684266457,0.029273738684266457,0.13086913086913088,0.30847723704866564,0.30847723704866564,0.2355266493147468,-0.052531899675505034,0.7769598479478054,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_forw17,V_strength,P_spread_lat,V,P,5,0.21661870862722718,0.21661870862722718,-3,-0.12757285388287684,0.12757285388287684,-0.0021780271392794395,0.0021780271392794395,0.053946053946053944,0.18501906257008296,0.18501906257008296,0.22071631724003185,-0.004097608612804671,0.9814349538627519,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_forw17,V_strength,P_north_band_share_35_45,V,P,4,0.22891409813160943,0.22891409813160943,-5,-0.11933155962433399,0.11933155962433399,0.09068638207489835,0.09068638207489835,0.04395604395604396,0.1725019166879632,0.1725019166879632,0.22188466183820926,0.007029436293400165,1.031680586820038,marginal,moderate_above_null,False,direction_not_assessed_as_strict_due_to_marginal_stat_support,lead_lag_ambiguous_marginal_statistical_support,lead_lag_ambiguous,marginal_statistical_support,marginal,,ok
T3_forw17,V_strength,P_north_minus_main_35_45,V,P,5,0.053626213979909396,0.053626213979909396,-5,-0.021674419720935638,0.021674419720935638,-0.002555726816721023,0.002555726816721023,0.7412587412587412,0.7840236686390533,0.7840236686390533,0.2308348881628634,-0.177208674182954,0.23231416362882684,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_forw17,V_strength,P_total_centroid_lat_10_50,V,P,3,0.28108767021477055,0.28108767021477055,-4,-0.09364117970337035,0.09364117970337035,0.14045261955422614,0.14045261955422614,0.011988011988011988,0.0974025974025974,0.0974025974025974,0.22058187410934244,0.06050579610542811,1.2743008524600503,supported,moderate_above_null,False,direction_uncertain,lead_lag_ambiguous_direction_uncertain,lead_lag_ambiguous,direction_difference_not_stable,direction_uncertain,,ok
T3_forw17,V_strength,P_main_28_35_mean,V,P,1,0.18076478065421375,0.18076478065421375,-1,0.13322988755564164,0.13322988755564164,0.16777835497410515,0.16777835497410515,0.13386613386613386,0.31109735335087446,0.31109735335087446,0.2204470056672056,-0.039682225012991845,0.8199919981090716,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_forw17,V_strength,P_south_10_25_mean,V,P,4,-0.3021136738235814,0.3021136738235814,-4,0.18433471327737047,0.18433471327737047,-0.0802891222084629,0.0802891222084629,0.012987012987012988,0.0974025974025974,0.0974025974025974,0.2443755031937715,0.057738170629809904,1.2362682424188314,supported,moderate_above_null,False,direction_uncertain,lead_lag_ambiguous_direction_uncertain,lead_lag_ambiguous,direction_difference_not_stable,direction_uncertain,,ok
T3_forw17,V_strength,P_scs_10_20_mean,V,P,4,-0.2448613884157368,0.2448613884157368,-4,0.16057320336271544,0.16057320336271544,-0.09413908272093234,0.09413908272093234,0.03896103896103896,0.16483516483516483,0.16483516483516483,0.23383082067242927,0.011030567743307518,1.0471732841358843,marginal,moderate_above_null,False,direction_not_assessed_as_strict_due_to_marginal_stat_support,lead_lag_ambiguous_marginal_statistical_support,lead_lag_ambiguous,marginal_statistical_support,marginal,,ok
T3_forw17,V_strength,P_highlat_40_60_mean,V,P,1,0.21842058348178142,0.21842058348178142,-1,0.17955024253483476,0.17955024253483476,0.20329671948650266,0.20329671948650266,0.058941058941058944,0.1870245139475909,0.1870245139475909,0.22357488847833687,-0.005154304996555448,0.9769459574300319,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
