window,source_family,target_family,v1_to_pcmci_fate,n_pairs
S1,H,Je,not_v1_lead_lag_yes,12
S1,H,Jw,not_v1_lead_lag_yes,12
S1,H,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,8
S1,H,P,not_v1_lead_lag_yes,20
S1,H,V,V1_yes_graph_raw_p05_lost_by_fdr,1
S1,H,V,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S1,H,V,not_v1_lead_lag_yes,10
S1,Je,H,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S1,Je,H,not_v1_lead_lag_yes,11
S1,Je,Jw,not_v1_lead_lag_yes,9
S1,Je,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S1,Je,P,not_v1_lead_lag_yes,20
S1,Je,V,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S1,Je,V,not_v1_lead_lag_yes,8
S1,Jw,H,not_v1_lead_lag_yes,12
S1,Jw,Je,V1_yes_graph_raw_p05_lost_by_fdr,1
S1,Jw,Je,not_v1_lead_lag_yes,8
S1,Jw,P,not_v1_lead_lag_yes,21
S1,Jw,V,not_v1_lead_lag_yes,9
S1,P,H,V1_yes_no_PCMCI_lagged_or_tau0_signal,5
S1,P,H,not_v1_lead_lag_yes,23
S1,P,Je,V1_yes_no_PCMCI_lagged_or_tau0_signal,5
S1,P,Je,not_v1_lead_lag_yes,16
S1,P,Jw,not_v1_lead_lag_yes,21
S1,P,V,not_v1_lead_lag_yes,21
S1,V,H,not_v1_lead_lag_yes,12
S1,V,Je,V1_yes_and_PCMCI_lagged_supported,1
S1,V,Je,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
S1,V,Je,not_v1_lead_lag_yes,6
S1,V,Jw,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S1,V,Jw,not_v1_lead_lag_yes,8
S1,V,P,V1_yes_and_PCMCI_lagged_supported,1
S1,V,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,13
S1,V,P,V1_yes_only_tau0_supported_in_PCMCI,2
S1,V,P,not_v1_lead_lag_yes,5
S2,H,Je,not_v1_lead_lag_yes,12
S2,H,Jw,not_v1_lead_lag_yes,12
S2,H,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,8
S2,H,P,not_v1_lead_lag_yes,20
S2,H,V,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S2,H,V,V1_yes_only_tau0_supported_in_PCMCI,2
S2,H,V,not_v1_lead_lag_yes,9
S2,Je,H,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S2,Je,H,V1_yes_only_tau0_graph_selected_in_PCMCI,1
S2,Je,H,not_v1_lead_lag_yes,10
S2,Je,Jw,not_v1_lead_lag_yes,9
S2,Je,P,V1_yes_only_tau0_supported_in_PCMCI,1
S2,Je,P,not_v1_lead_lag_yes,20
S2,Je,V,not_v1_lead_lag_yes,9
S2,Jw,H,not_v1_lead_lag_yes,12
S2,Jw,Je,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
S2,Jw,Je,not_v1_lead_lag_yes,7
S2,Jw,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,3
S2,Jw,P,not_v1_lead_lag_yes,18
S2,Jw,V,not_v1_lead_lag_yes,9
S2,P,H,not_v1_lead_lag_yes,28
S2,P,Je,V1_yes_graph_raw_p05_lost_by_fdr,1
S2,P,Je,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S2,P,Je,not_v1_lead_lag_yes,19
S2,P,Jw,V1_yes_no_PCMCI_lagged_or_tau0_signal,4
S2,P,Jw,not_v1_lead_lag_yes,17
S2,P,V,not_v1_lead_lag_yes,21
S2,V,H,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
S2,V,H,V1_yes_only_tau0_supported_in_PCMCI,1
S2,V,H,not_v1_lead_lag_yes,9
S2,V,Je,not_v1_lead_lag_yes,9
S2,V,Jw,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
S2,V,Jw,not_v1_lead_lag_yes,7
S2,V,P,V1_yes_graph_raw_p05_lost_by_fdr,1
S2,V,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,13
S2,V,P,V1_yes_only_tau0_supported_in_PCMCI,2
S2,V,P,not_v1_lead_lag_yes,5
S3,H,Je,not_v1_lead_lag_yes,12
S3,H,Jw,not_v1_lead_lag_yes,12
S3,H,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,5
S3,H,P,not_v1_lead_lag_yes,23
S3,H,V,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
S3,H,V,V1_yes_only_tau0_graph_selected_in_PCMCI,1
S3,H,V,not_v1_lead_lag_yes,9
S3,Je,H,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S3,Je,H,V1_yes_only_tau0_graph_selected_in_PCMCI,1
S3,Je,H,not_v1_lead_lag_yes,10
S3,Je,Jw,not_v1_lead_lag_yes,9
