window,source_family,target_family,n_rows,n_pcmci_graph_selected_bool,n_raw_p_le_alpha,n_graph_selected_and_raw_p,n_window_fdr_q_le_alpha,n_pcmci_plus_supported_bool,n_graph_selected_raw_p_lost_by_window_fdr,n_raw_p_sig_but_not_graph_selected
S5,H,Jw,60,1,1,1,0,0,1,0
S5,H,P,140,0,0,0,0,0,0,0
S5,H,V,60,0,0,0,0,0,0,0
S5,Je,H,60,0,0,0,0,0,0,0
S5,Je,Jw,45,0,0,0,0,0,0,0
S5,Je,P,105,0,0,0,0,0,0,0
S5,Je,V,45,0,0,0,0,0,0,0
S5,Jw,H,60,0,0,0,0,0,0,0
S5,Jw,Je,45,6,6,6,2,2,4,0
S5,Jw,P,105,0,0,0,0,0,0,0
S5,Jw,V,45,0,0,0,0,0,0,0
S5,P,H,140,0,0,0,0,0,0,0
S5,P,Je,105,0,0,0,0,0,0,0
S5,P,Jw,105,0,0,0,0,0,0,0
S5,P,V,105,1,1,1,0,0,1,0
S5,V,H,60,0,0,0,0,0,0,0
S5,V,Je,45,0,0,0,0,0,0,0
S5,V,Jw,45,0,0,0,0,0,0,0
S5,V,P,105,0,0,0,0,0,0,0
T1,H,Je,60,0,0,0,0,0,0,0
T1,H,Jw,60,0,0,0,0,0,0,0
T1,H,P,140,0,0,0,0,0,0,0
T1,H,V,60,0,0,0,0,0,0,0
T1,Je,H,60,1,1,1,0,0,1,0
T1,Je,Jw,45,0,0,0,0,0,0,0
T1,Je,P,105,0,0,0,0,0,0,0
T1,Je,V,45,0,0,0,0,0,0,0
T1,Jw,H,60,0,0,0,0,0,0,0
T1,Jw,Je,45,2,2,2,0,0,2,0
T1,Jw,P,105,0,0,0,0,0,0,0
T1,Jw,V,45,0,0,0,0,0,0,0
T1,P,H,140,0,0,0,0,0,0,0
T1,P,Je,105,1,1,1,0,0,1,0
T1,P,Jw,105,0,0,0,0,0,0,0
T1,P,V,105,1,1,1,0,0,1,0
T1,V,H,60,0,0,0,0,0,0,0
T1,V,Je,45,0,0,0,0,0,0,0
T1,V,Jw,45,0,0,0,0,0,0,0
T1,V,P,105,0,0,0,0,0,0,0
T2,H,Je,60,0,0,0,0,0,0,0
T2,H,Jw,60,0,0,0,0,0,0,0
T2,H,P,140,0,0,0,0,0,0,0
T2,H,V,60,0,0,0,0,0,0,0
T2,Je,H,60,1,1,1,0,0,1,0
T2,Je,Jw,45,0,0,0,0,0,0,0
T2,Je,P,105,0,0,0,0,0,0,0
T2,Je,V,45,0,0,0,0,0,0,0
T2,Jw,H,60,0,0,0,0,0,0,0
T2,Jw,Je,45,0,0,0,0,0,0,0
T2,Jw,P,105,0,0,0,0,0,0,0
T2,Jw,V,45,0,0,0,0,0,0,0
T2,P,H,140,0,0,0,0,0,0,0
T2,P,Je,105,1,1,1,0,0,1,0
T2,P,Jw,105,0,0,0,0,0,0,0
T2,P,V,105,1,1,1,0,0,1,0
T2,V,H,60,0,0,0,0,0,0,0
T2,V,Je,45,0,0,0,0,0,0,0
T2,V,Jw,45,0,0,0,0,0,0,0
T2,V,P,105,0,0,0,0,0,0,0
T3,H,Je,60,0,0,0,0,0,0,0
T3,H,Jw,60,0,0,0,0,0,0,0
T3,H,P,140,0,0,0,0,0,0,0
T3,H,V,60,0,0,0,0,0,0,0
T3,Je,H,60,1,1,1,0,0,1,0
T3,Je,Jw,45,1,1,1,0,0,1,0
T3,Je,P,105,0,0,0,0,0,0,0
T3,Je,V,45,0,0,0,0,0,0,0
T3,Jw,H,60,0,0,0,0,0,0,0
T3,Jw,Je,45,0,0,0,0,0,0,0
T3,Jw,P,105,0,0,0,0,0,0,0
T3,Jw,V,45,0,0,0,0,0,0,0
T3,P,H,140,0,0,0,0,0,0,0
T3,P,Je,105,0,0,0,0,0,0,0
T3,P,Jw,105,0,0,0,0,0,0,0
T3,P,V,105,0,0,0,0,0,0,0
T3,V,H,60,0,0,0,0,0,0,0
T3,V,Je,45,0,0,0,0,0,0,0
T3,V,Jw,45,0,0,0,0,0,0,0
T3,V,P,105,0,0,0,0,0,0,0
T4,H,Je,60,0,0,0,0,0,0,0
T4,H,Jw,60,0,0,0,0,0,0,0
T4,H,P,140,0,0,0,0,0,0,0
T4,H,V,60,0,0,0,0,0,0,0
T4,Je,H,60,0,0,0,0,0,0,0
T4,Je,Jw,45,0,0,0,0,0,0,0
T4,Je,P,105,0,0,0,0,0,0,0
T4,Je,V,45,0,0,0,0,0,0,0
T4,Jw,H,60,0,0,0,0,0,0,0
T4,Jw,Je,45,1,1,1,1,1,0,0
T4,Jw,P,105,1,1,1,0,0,1,0
T4,Jw,V,45,0,0,0,0,0,0,0
T4,P,H,140,0,0,0,0,0,0,0
T4,P,Je,105,0,0,0,0,0,0,0
T4,P,Jw,105,0,0,0,0,0,0,0
T4,P,V,105,0,0,0,0,0,0,0
T4,V,H,60,0,0,0,0,0,0,0
T4,V,Je,45,0,0,0,0,0,0,0
T4,V,Jw,45,0,0,0,0,0,0,0
T4,V,P,105,0,0,0,0,0,0,0
