window,n_tests,n_graph_selected,n_raw_p05,n_graph_selected_raw_p05,n_window_q05,n_supported_graph_and_window_fdr,n_graph_raw_p05_lost_by_window_fdr,n_raw_p05_not_graph_selected,n_graph_selected_raw_p_gt_alpha,min_p,min_q,min_q_among_graph_selected,median_q_among_graph_selected,supported_over_graph_raw_p05,supported_over_graph_selected
S1,1540,7,7,7,3,3,4,0,0,1.898613739345347e-07,0.0002923865158591,0.0002923865158591,0.5761612552511544,0.42857142857142855,0.42857142857142855
S2,1540,5,5,5,0,0,5,0,0,0.0008899445133923,0.640006940535501,0.640006940535501,0.640006940535501,0.0,0.0
S3,1540,8,8,8,2,2,6,0,0,6.403911440923183e-06,0.0098620236190217,0.0098620236190217,0.6421488325647786,0.25,0.25
S4,1540,8,8,8,2,2,6,0,0,2.895140651403475e-05,0.0232965959818517,0.0232965959818517,0.6261314306064926,0.25,0.25
S5,1540,8,8,8,2,2,6,0,0,2.491963288355652e-19,3.837623464067703e-16,3.837623464067703e-16,0.38895893837200746,0.25,0.25
T1,1540,5,5,5,0,0,5,0,0,0.0004399413345288,0.6652276008216654,0.6652276008216654,0.6652276008216654,0.0,0.0
T2,1540,3,3,3,0,0,3,0,0,0.0002837207632969,0.4369299754772539,0.4369299754772539,0.700716466998632,0.0,0.0
T3,1540,2,2,2,0,0,2,0,0,0.0116941157894514,0.6637584092593206,0.6637584092593206,0.6637584092593206,0.0,0.0
T4,1540,2,2,2,1,1,1,0,0,5.105218057779915e-06,0.007862035808981,0.007862035808981,0.31130727729592966,0.5,0.5
