window,source_family,target_family,tau0_lagged_joint_class,n_pairs
S4,Jw,Je,lagged_pre_fdr_signal_only,1
S4,Jw,Je,no_pcmci_signal,7
S4,Jw,P,no_pcmci_signal,21
S4,Jw,V,no_pcmci_signal,9
S4,P,H,no_pcmci_signal,27
S4,P,H,tau0_pre_fdr_signal_only,1
S4,P,Je,lagged_pre_fdr_signal_only,1
S4,P,Je,no_pcmci_signal,18
S4,P,Je,tau0_supported_only,2
S4,P,Jw,no_pcmci_signal,21
S4,P,V,no_pcmci_signal,18
S4,P,V,tau0_pre_fdr_signal_only,2
S4,P,V,tau0_supported_only,1
S4,V,H,no_pcmci_signal,7
S4,V,H,tau0_pre_fdr_signal_only,3
S4,V,H,tau0_supported_only,2
S4,V,Je,no_pcmci_signal,9
S4,V,Jw,no_pcmci_signal,9
S4,V,P,lagged_pre_fdr_signal_only,1
S4,V,P,lagged_supported_only,1
S4,V,P,no_pcmci_signal,16
S4,V,P,tau0_pre_fdr_signal_only,2
S4,V,P,tau0_supported_only,1
S5,H,Je,no_pcmci_signal,8
S5,H,Je,tau0_supported_only,4
S5,H,Jw,lagged_pre_fdr_signal_only,1
S5,H,Jw,no_pcmci_signal,8
S5,H,Jw,tau0_pre_fdr_signal_only,2
S5,H,Jw,tau0_supported_only,1
S5,H,P,no_pcmci_signal,27
S5,H,P,tau0_pre_fdr_signal_only,1
S5,H,V,no_pcmci_signal,10
S5,H,V,tau0_supported_only,2
S5,Je,H,no_pcmci_signal,8
S5,Je,H,tau0_supported_only,4
S5,Je,Jw,no_pcmci_signal,7
S5,Je,Jw,tau0_pre_fdr_signal_only,2
S5,Je,P,no_pcmci_signal,20
S5,Je,P,tau0_supported_only,1
S5,Je,V,no_pcmci_signal,9
S5,Jw,H,no_pcmci_signal,9
S5,Jw,H,tau0_pre_fdr_signal_only,2
S5,Jw,H,tau0_supported_only,1
S5,Jw,Je,both_have_pre_fdr_signal,1
S5,Jw,Je,lagged_pre_fdr_signal_only,2
S5,Jw,Je,lagged_supported_only,1
S5,Jw,Je,no_pcmci_signal,4
S5,Jw,Je,tau0_pre_fdr_signal_only,1
S5,Jw,P,no_pcmci_signal,19
S5,Jw,P,tau0_supported_only,2
S5,Jw,V,no_pcmci_signal,8
S5,Jw,V,tau0_pre_fdr_signal_only,1
S5,P,H,no_pcmci_signal,27
S5,P,H,tau0_pre_fdr_signal_only,1
S5,P,Je,no_pcmci_signal,20
S5,P,Je,tau0_supported_only,1
S5,P,Jw,no_pcmci_signal,19
S5,P,Jw,tau0_supported_only,2
S5,P,V,lagged_pre_fdr_signal_only,1
S5,P,V,no_pcmci_signal,16
S5,P,V,tau0_pre_fdr_signal_only,1
S5,P,V,tau0_supported_only,3
S5,V,H,no_pcmci_signal,10
S5,V,H,tau0_supported_only,2
S5,V,Je,no_pcmci_signal,9
S5,V,Jw,no_pcmci_signal,8
S5,V,Jw,tau0_pre_fdr_signal_only,1
S5,V,P,no_pcmci_signal,17
S5,V,P,tau0_pre_fdr_signal_only,1
S5,V,P,tau0_supported_only,3
T1,H,Je,no_pcmci_signal,12
T1,H,Jw,no_pcmci_signal,12
T1,H,P,no_pcmci_signal,28
T1,H,V,no_pcmci_signal,10
T1,H,V,tau0_pre_fdr_signal_only,1
T1,H,V,tau0_supported_only,1
T1,Je,H,lagged_pre_fdr_signal_only,1
T1,Je,H,no_pcmci_signal,11
T1,Je,Jw,no_pcmci_signal,8
T1,Je,Jw,tau0_pre_fdr_signal_only,1
T1,Je,P,no_pcmci_signal,21
T1,Je,V,no_pcmci_signal,9
T1,Jw,H,no_pcmci_signal,12
T1,Jw,Je,lagged_pre_fdr_signal_only,2
T1,Jw,Je,no_pcmci_signal,6
T1,Jw,Je,tau0_pre_fdr_signal_only,1
T1,Jw,P,no_pcmci_signal,21
T1,Jw,V,no_pcmci_signal,9
T1,P,H,no_pcmci_signal,28
T1,P,Je,lagged_pre_fdr_signal_only,1
T1,P,Je,no_pcmci_signal,20
T1,P,Jw,no_pcmci_signal,21
T1,P,V,lagged_pre_fdr_signal_only,1
T1,P,V,no_pcmci_signal,18
T1,P,V,tau0_pre_fdr_signal_only,1
T1,P,V,tau0_supported_only,1
T1,V,H,no_pcmci_signal,10
T1,V,H,tau0_pre_fdr_signal_only,1
T1,V,H,tau0_supported_only,1
T1,V,Je,no_pcmci_signal,9
T1,V,Jw,no_pcmci_signal,9
T1,V,P,no_pcmci_signal,19
T1,V,P,tau0_pre_fdr_signal_only,1
T1,V,P,tau0_supported_only,1
T2,H,Je,no_pcmci_signal,11
T2,H,Je,tau0_supported_only,1
T2,H,Jw,no_pcmci_signal,12
T2,H,P,no_pcmci_signal,27
T2,H,P,tau0_pre_fdr_signal_only,1
T2,H,V,no_pcmci_signal,10
T2,H,V,tau0_supported_only,2
T2,Je,H,lagged_pre_fdr_signal_only,1
T2,Je,H,no_pcmci_signal,10
T2,Je,H,tau0_supported_only,1
T2,Je,Jw,no_pcmci_signal,9
T2,Je,P,no_pcmci_signal,20
T2,Je,P,tau0_pre_fdr_signal_only,1
T2,Je,V,no_pcmci_signal,9
T2,Jw,H,no_pcmci_signal,12
T2,Jw,Je,no_pcmci_signal,9
T2,Jw,P,no_pcmci_signal,21
T2,Jw,V,no_pcmci_signal,9
T2,P,H,no_pcmci_signal,27
T2,P,H,tau0_pre_fdr_signal_only,1
T2,P,Je,lagged_pre_fdr_signal_only,1
T2,P,Je,no_pcmci_signal,19
T2,P,Je,tau0_pre_fdr_signal_only,1
T2,P,Jw,no_pcmci_signal,21
T2,P,V,lagged_pre_fdr_signal_only,1
T2,P,V,no_pcmci_signal,18
T2,P,V,tau0_supported_only,2
T2,V,H,no_pcmci_signal,10
T2,V,H,tau0_supported_only,2
T2,V,Je,no_pcmci_signal,9
T2,V,Jw,no_pcmci_signal,9
T2,V,P,no_pcmci_signal,19
T2,V,P,tau0_supported_only,2
T3,H,Je,no_pcmci_signal,12
T3,H,Jw,no_pcmci_signal,12
T3,H,P,no_pcmci_signal,27
T3,H,P,tau0_pre_fdr_signal_only,1
T3,H,V,no_pcmci_signal,11
T3,H,V,tau0_pre_fdr_signal_only,1
T3,Je,H,lagged_pre_fdr_signal_only,1
T3,Je,H,no_pcmci_signal,11
T3,Je,Jw,lagged_pre_fdr_signal_only,1
T3,Je,Jw,no_pcmci_signal,7
