evidence_tier,lead_lag_group,same_day_coupling_flag,v1_to_pcmci_fate,n_pairs
Tier1a_audit_stable_clear_leadlag,lead_lag_yes,False,V1_yes_and_PCMCI_lagged_supported,2
Tier1a_audit_stable_clear_leadlag,lead_lag_yes,False,V1_yes_graph_raw_p05_lost_by_fdr,1
Tier1a_audit_stable_clear_leadlag,lead_lag_yes,False,V1_yes_no_PCMCI_lagged_or_tau0_signal,27
Tier1a_audit_stable_clear_leadlag,lead_lag_yes,False,V1_yes_only_tau0_graph_selected_in_PCMCI,1
Tier1b_audit_stable_with_same_day,lead_lag_yes,True,V1_yes_and_PCMCI_lagged_supported,3
Tier1b_audit_stable_with_same_day,lead_lag_yes,True,V1_yes_graph_raw_p05_lost_by_fdr,7
Tier1b_audit_stable_with_same_day,lead_lag_yes,True,V1_yes_no_PCMCI_lagged_or_tau0_signal,125
Tier1b_audit_stable_with_same_day,lead_lag_yes,True,V1_yes_only_tau0_graph_selected_in_PCMCI,9
Tier1b_audit_stable_with_same_day,lead_lag_yes,True,V1_yes_only_tau0_supported_in_PCMCI,19
Tier2_main_supported_audit_moderate,lead_lag_yes,False,V1_yes_no_PCMCI_lagged_or_tau0_signal,10
Tier2_main_supported_audit_moderate,lead_lag_yes,True,V1_yes_no_PCMCI_lagged_or_tau0_signal,29
Tier2_main_supported_audit_moderate,lead_lag_yes,True,V1_yes_only_tau0_graph_selected_in_PCMCI,1
Tier2_main_supported_audit_moderate,lead_lag_yes,True,V1_yes_only_tau0_supported_in_PCMCI,1
Tier3_surrogate_or_persistence_sensitive_yes,lead_lag_yes,False,V1_yes_no_PCMCI_lagged_or_tau0_signal,7
Tier3_surrogate_or_persistence_sensitive_yes,lead_lag_yes,True,V1_yes_no_PCMCI_lagged_or_tau0_signal,5
Tier3_surrogate_or_persistence_sensitive_yes,lead_lag_yes,True,V1_yes_only_tau0_supported_in_PCMCI,1
Tier4a_ambiguous_bidirectional_close,lead_lag_ambiguous,False,not_v1_lead_lag_yes,18
Tier4a_ambiguous_bidirectional_close,lead_lag_ambiguous,True,not_v1_lead_lag_yes,200
Tier4b_ambiguous_same_day_dominant,lead_lag_ambiguous,True,not_v1_lead_lag_yes,180
Tier4c_ambiguous_direction_uncertain,lead_lag_ambiguous,False,not_v1_lead_lag_yes,55
Tier4d_ambiguous_marginal_statistical_support,lead_lag_ambiguous,False,not_v1_lead_lag_yes,59
Tier4d_ambiguous_marginal_statistical_support,lead_lag_ambiguous,True,not_v1_lead_lag_yes,52
Tier5a_no_not_supported,lead_lag_no,False,not_v1_lead_lag_yes,1614
Tier5b_no_reverse_dominant,lead_lag_no,False,not_v1_lead_lag_yes,2
Tier5b_no_reverse_dominant,lead_lag_no,True,not_v1_lead_lag_yes,156
Tier5c_no_same_day_only,lead_lag_no,True,not_v1_lead_lag_yes,188
