event_id,target_day,pre_day_min,pre_day_max,post_day_min,post_day_max,feature_name,feature_index,feature_coord_if_available,pre_mean,post_mean,diff,abs_diff,sign,contribution_fraction,rank_by_abs_diff
H18,18,14,17,19,22,feature_000,0,15.0,5881.098594224781,5882.244139132905,1.1455449081240658,1.1455449081240658,positive,0.01227956930135163,11
H18,18,14,17,19,22,feature_001,1,17.0,5880.260564588336,5881.626300685895,1.3657360975594202,1.3657360975594202,positive,0.014639889661595108,10
H18,18,14,17,19,22,feature_002,2,19.0,5875.341379272722,5877.273710451262,1.9323311785392434,1.9323311785392434,positive,0.020713456497215975,9
H18,18,14,17,19,22,feature_003,3,21.0,5864.9093199269955,5867.972254308493,3.0629343814971435,3.0629343814971435,positive,0.032832859485778736,8
H18,18,14,17,19,22,feature_004,4,23.0,5848.3161893482065,5853.13848801352,4.82229866531361,4.82229866531361,positive,0.051692212354647125,7
H18,18,14,17,19,22,feature_005,5,25.0,5825.966079172307,5832.995591544191,7.0295123718833565,7.0295123718833565,positive,0.07535224827336207,6
H18,18,14,17,19,22,feature_006,6,27.0,5798.4397558758155,5808.045100296187,9.605344420371694,9.605344420371694,positive,0.10296365654180982,5
H18,18,14,17,19,22,feature_007,7,29.0,5767.029403521185,5779.413197045024,12.383793523839813,12.383793523839813,positive,0.13274700076022783,4
H18,18,14,17,19,22,feature_008,8,31.0,5732.681579601054,5747.8367589817635,15.155179380709342,15.155179380709342,positive,0.1624546311192547,3
H18,18,14,17,19,22,feature_009,9,33.0,5695.860528220074,5713.452647285473,17.592119065398947,17.592119065398947,positive,0.18857719473866286,2
H18,18,14,17,19,22,feature_010,10,35.0,5657.35828894911,5676.552182857816,19.19389390870583,19.19389390870583,positive,0.20574728126609415,1
H35,35,31,34,36,39,feature_000,0,15.0,5881.563077508035,5879.6463662229935,-1.9167112850418562,1.9167112850418562,negative,0.02729230415452158,8
H35,35,31,34,36,39,feature_001,1,17.0,5881.584460036961,5880.267310003741,-1.3171500332200594,1.3171500332200594,negative,0.01875507261021581,10
H35,35,31,34,36,39,feature_002,2,19.0,5878.494718195308,5878.374975536119,-0.11974265918979654,0.11974265918979654,negative,0.001705031477814761,11
H35,35,31,34,36,39,feature_003,3,21.0,5871.107001315933,5872.783683758951,1.676682443017853,1.676682443017853,positive,0.02387450189421212,9
H35,35,31,34,36,39,feature_004,4,23.0,5858.848275773338,5862.8481219082005,3.9998461348623096,3.9998461348623096,positive,0.05695433534298088,7
H35,35,31,34,36,39,feature_005,5,25.0,5841.749476297062,5848.290318814128,6.540842517066267,6.540842517066267,positive,0.09313591712833305,6
H35,35,31,34,36,39,feature_006,6,27.0,5820.287576734537,5829.118470489998,8.830893755461148,8.830893755461148,positive,0.12574425799608507,5
H35,35,31,34,36,39,feature_007,7,29.0,5795.608724932306,5806.117838093292,10.50911316098609,10.50911316098609,positive,0.14964064490164186,4
H35,35,31,34,36,39,feature_008,8,31.0,5768.7292368673725,5780.308639175451,11.579402308078897,11.579402308078897,positive,0.1648806328767231,3
H35,35,31,34,36,39,feature_009,9,33.0,5739.905480988169,5751.897760233331,11.992279245161626,11.992279245161626,positive,0.17075964190285456,1
H35,35,31,34,36,39,feature_010,10,35.0,5709.650033336741,5721.396371867546,11.746338530804678,11.746338530804678,positive,0.1672576597146172,2
H45,45,40,43,45,48,feature_000,0,15.0,5878.812256135873,5879.015210541334,0.20295440546124155,0.20295440546124155,positive,0.026574135939760345,11
H45,45,40,43,45,48,feature_001,1,17.0,5879.563440889223,5879.17902568735,-0.3844152018727982,0.3844152018727982,negative,0.050333974316359546,9
H45,45,40,43,45,48,feature_002,2,19.0,5878.306384467904,5877.52628682361,-0.7800976442940737,0.7800976442940737,negative,0.10214324147655143,5
H45,45,40,43,45,48,feature_003,3,21.0,5873.926134913889,5873.126878353352,-0.799256560536378,0.799256560536378,negative,0.10465184257601712,4
H45,45,40,43,45,48,feature_004,4,23.0,5865.475242474162,5864.9362920108215,-0.5389504633403703,0.5389504633403703,negative,0.07056827786051159,7
