event_id,target_day,local_max_day_within_radius,sigma,feature_name,feature_index,feature_coord_if_available,derivative_value,abs_derivative,energy_contribution_fraction,rank
H18,18,18,3.0,feature_000,0,15.0,0.01435528731199013,0.01435528731199013,0.03291398027612465,11
H18,18,18,3.0,feature_001,1,17.0,0.018315227838920523,0.018315227838920523,0.041993380887573956,10
H18,18,18,3.0,feature_002,2,19.0,0.03279841344232065,0.03279841344232065,0.07520060794792024,7
H18,18,18,3.0,feature_003,3,21.0,0.05993281991682223,0.05993281991682223,0.13741471067508326,2
H18,18,18,3.0,feature_004,4,23.0,0.07814753936561067,0.07814753936561067,0.17917764468280764,1
H18,18,18,3.0,feature_005,5,25.0,0.05658903717310326,0.05658903717310326,0.1297480442488051,3
H18,18,18,3.0,feature_006,6,27.0,0.04538240585257414,0.04538240585257414,0.10405334136831215,4
H18,18,18,3.0,feature_007,7,29.0,0.03747041428823159,0.03747041428823159,0.08591262926454774,5
H18,18,18,3.0,feature_008,8,31.0,0.03310911285789836,0.03310911285789836,0.07591298341027596,6
H18,18,18,3.0,feature_009,9,33.0,0.030711296760702226,0.030711296760702226,0.07041524100960878,8
H18,18,18,3.0,feature_010,10,35.0,0.02933403413487052,0.02933403413487052,0.06725743622894055,9
H18,18,18,5.0,feature_000,0,15.0,0.012161473167093664,0.012161473167093664,0.032629078611916294,11
H18,18,18,5.0,feature_001,1,17.0,0.01609534392524711,0.01609534392524711,0.04318360407551048,10
H18,18,18,5.0,feature_002,2,19.0,0.029205781690130887,0.029205781690130887,0.07835874269477858,6
H18,18,18,5.0,feature_003,3,21.0,0.05246426307775997,0.05246426307775997,0.14076095393709495,2
H18,18,18,5.0,feature_004,4,23.0,0.06693283140049096,0.06693283140049096,0.17957993965682353,1
H18,18,18,5.0,feature_005,5,25.0,0.04806802514740425,0.04806802514740425,0.1289659032014327,3
H18,18,18,5.0,feature_006,6,27.0,0.03841079578729445,0.03841079578729445,0.10305567903410573,4
H18,18,18,5.0,feature_007,7,29.0,0.03157764944895244,0.03157764944895244,0.08472243387727971,5
H18,18,18,5.0,feature_008,8,31.0,0.027684983326455,0.027684983326455,0.0742784599297332,7
H18,18,18,5.0,feature_009,9,33.0,0.02552475423582648,0.02552475423582648,0.06848259261584665,8
H18,18,18,5.0,feature_010,10,35.0,0.02459296443278816,0.02459296443278816,0.06598261236547825,9
H18,18,20,9.0,feature_000,0,15.0,0.0045193743173279925,0.0045193743173279925,0.015650905463291235,11
H18,18,20,9.0,feature_001,1,17.0,0.008061020890492163,0.008061020890492163,0.027915872206243805,10
H18,18,20,9.0,feature_002,2,19.0,0.019035037997507942,0.019035037997507942,0.06591965154266999,9
