year,year_index,event_id,field_change_norm,field_abs_mean,pattern_corr_to_climatological_event,same_sign_fraction_to_climatological_event
1979,0,H18,31.626177618755925,22.704552930940423,0.24889720622172015,0.7780674363308219
1980,1,H18,47.309065966121025,31.923388253062086,0.041259115638329166,0.6949799944614738
1981,2,H18,35.96836015744289,27.269466409119726,0.23727552306944927,0.775317271607414
1982,3,H18,39.15830536436262,25.197301704354278,-0.1312178836418903,0.5526971667573839
1983,4,H18,40.566193275147384,26.84799063071583,-0.02655747052681567,0.6595334269153273
1984,5,H18,32.80103250469005,21.61892454649794,0.4594935240462747,0.6319935829489787
1985,6,H18,44.666762821532046,29.83534666981296,0.014849571413594439,0.5615970053761901
1986,7,H18,50.63060686111559,34.35196069606399,0.5349771088077369,0.5411999503442481
1987,8,H18,27.63360486305809,20.017559288391936,0.09554428420921338,0.6430706353071495
1988,9,H18,29.936788945414147,20.434541414590406,-0.04044327179170794,0.4463001690205403
1989,10,H18,25.78065160164429,16.483992113480365,0.04974813634921625,0.6096007486559525
1990,11,H18,44.49389685345882,31.92791039635766,-0.3219213866170779,0.651980023109023
1991,12,H18,42.821289252876134,30.96135702345357,0.46789915067451165,0.7284594302957382
1992,13,H18,30.674806443422757,21.612534563022542,-0.0765520309081734,0.6277346473009234
1993,14,H18,41.08684208128295,28.955779937500225,0.07234300597421461,0.5341717516066501
1994,15,H18,35.739314490514566,24.554041401299685,0.6795931393254406,0.5933957849905941
1995,16,H18,26.701237369218394,17.822305919423357,0.08108123295714192,0.658148795370556
1996,17,H18,42.14724970142421,30.209822344178846,0.3662517896721773,0.6226831294582749
1997,18,H18,37.621945164444995,28.945789318033896,0.3240553475816108,0.7206863952788839
1998,19,H18,43.40924678644821,30.13237045278906,0.05584625065476846,0.5337802351008871
1999,20,H18,37.12515171004344,26.88462768419599,0.5229498421447638,0.6490293255412
2000,21,H18,32.52977466781844,21.30297091337281,0.27217612114103634,0.5482663458141156
2001,22,H18,34.17246346681573,23.166230732497482,0.4256398920561185,0.6422016596480171
2002,23,H18,33.896035588206885,23.779623405305077,0.461510908974898,0.5614442184471119
2003,24,H18,36.67380722251283,24.613538488630983,0.22033744271460065,0.6857459344353091
2004,25,H18,29.705444616048066,22.38170984730367,0.1294646340600747,0.6368063712149425
2005,26,H18,37.09906298508068,24.683244084737,0.3515231640803585,0.7010532748923329
2006,27,H18,35.98868751861012,25.35214726079321,0.4067812877565258,0.6296253855482663
2007,28,H18,34.06641887625461,26.100704427127887,0.2139492520147476,0.6639833462247304
2008,29,H18,40.22542490157808,27.2996174611873,0.4217293652622109,0.5921830387410357
2009,30,H18,45.97526206693942,29.047077202474934,0.47924261190660705,0.709017293570535
2010,31,H18,47.96773763337179,30.080882629167288,0.5299657203279767,0.6555800651254285
2011,32,H18,41.58636610344717,29.36868300389626,0.2602082141107837,0.5976642698217167
2012,33,H18,35.884252079868,23.535209627923212,0.42892683988457897,0.5901681611138168
2013,34,H18,35.47425369699521,24.807760236666223,0.3646528275810887,0.7113090975067083
2014,35,H18,37.567557164733195,25.449710486430618,0.0843020788907225,0.6083498056741246
2015,36,H18,31.20606332613976,23.134039860535466,0.20538845565829336,0.6230746459640377
2016,37,H18,28.192912389039442,21.245165126398767,0.3195601300628429,0.6055232474861776
2017,38,H18,40.184115489605226,25.519805009696864,0.6428262264344451,0.5825192654768384
2018,39,H18,42.55699578297871,30.58738073556305,0.3745449764302946,0.6471003905615874
2019,40,H18,34.526285222626186,25.28818981439621,0.3808108042227696,0.7040803659246951
2020,41,H18,34.21567219195639,24.861505188597732,-0.010652490239486811,0.5610431527582815
2021,42,H18,50.45473653608913,34.409494539457775,0.2699455210094308,0.5791866005863199
2022,43,H18,40.36067555219394,25.8341877431467,-0.3591000142605747,0.602534353186085
2023,44,H18,32.139050977041975,22.60471899212505,0.4796744142457117,0.51124416306185
1979,0,H35,27.430969683809614,18.33331600316174,0.3146182493423549,0.723980863437133
1980,1,H35,33.75806248204487,22.52679924555154,0.3317408685215645,0.626053991081063
1981,2,H35,52.74980665859693,33.55417665846825,0.3469365088709498,0.5154649019776358
1982,3,H35,49.137816061929925,35.309762240485,0.15918448571685442,0.6503853095367691
1983,4,H35,32.74664961486379,24.117120964621545,0.3288863887238807,0.6481030547836633
1984,5,H35,44.307824969862835,25.832629956631123,0.4144608600663906,0.6045683291794387
1985,6,H35,50.74371070596436,34.76315922292097,-0.015250608529008279,0.6913608540789336
1986,7,H35,31.43936972961398,22.198086918467187,-0.40550261855128744,0.480180670543635
1987,8,H35,48.99521991558852,32.75739243593377,0.19101102685830493,0.7445498037642879
1988,9,H35,37.34674777591161,26.402185441024752,0.6278877601587394,0.5891463985256061
1989,10,H35,45.31985394413087,30.307413562128403,0.346064551954295,0.5901968086630188
1990,11,H35,33.071248666161274,24.239487726748752,-0.2182408510541659,0.6264455075868259
1991,12,H35,44.322841490409594,30.720849886701263,0.05943428908767875,0.7352011535413145
1992,13,H35,50.15056263420266,32.74277765034136,0.3751020735420048,0.7829279705121227
1993,14,H35,21.572676423512252,16.1464898307324,-0.013273431665377101,0.6015603365132113
1994,15,H35,26.97469573889886,19.57550428286663,-0.42469617623727135,0.6144421844711185
1995,16,H35,26.45281297958481,20.38611343802508,-0.02665338593417251,0.5678421711022622
1996,17,H35,33.51866966134771,23.31255614419182,0.4913479749049609,0.5888121771182475
1997,18,H35,47.791346132539424,34.568661460391134,0.37682547960080687,0.5975401304418407
1998,19,H35,28.476117547676726,20.129293184897666,0.610401479327542,0.6613000257827942
1999,20,H35,22.712368564295215,16.814320464430033,-0.09221525687449994,0.6086267319830788
2000,21,H35,23.135542665471082,17.479058494010978,0.3926315706043928,0.6316784599077548
2001,22,H35,40.33446342370595,25.69123931453564,0.05372557812602415,0.5696660650681334
2002,23,H35,39.97340816456965,27.679785535585495,-0.07061835504042234,0.6885247467079192
2003,24,H35,48.47403323383201,28.915329312437184,0.7565522248104868,0.741675499661004
2004,25,H35,21.975512628021495,16.193175230334877,0.19860519869795315,0.7205718050820752
2005,26,H35,37.03551882110268,26.03567699391336,0.3846405072014402,0.6295871888159968
2006,27,H35,41.56563516120309,27.494130433272755,0.49712340846551156,0.6677361751702142
2007,28,H35,29.97286335680944,20.867563036700144,0.3283182710502739,0.5739440990823235
2008,29,H35,53.49057486341829,35.22440010376199,0.4796401532345756,0.6711547827083393
2009,30,H35,35.886467703730446,24.022561514508972,0.5899795036173504,0.5523438469838905
2010,31,H35,37.51625936199188,25.515170234014963,0.6095101594811503,0.5678708186514644
2011,32,H35,26.83125698682657,17.419444768915657,0.09082426161054313,0.6364816989906513
2012,33,H35,52.66629288610191,32.409700140383976,0.5907291956035627,0.7330430381680847
2013,34,H35,33.1790898011514,22.922711875131135,-0.1324694168761747,0.5011888732918899
2014,35,H35,35.12586680126927,23.52061786085107,0.6044935393314239,0.5521910600548123
2015,36,H35,29.790953584280214,21.792885259407697,0.04508088683244992,0.5353653994900737
2016,37,H35,21.275638838172476,15.838309473788659,-0.21469040727335065,0.7841502659447485
2017,38,H35,47.6816601730887,31.731875599896142,-0.07387885365018744,0.663973797041663
2018,39,H35,30.458815007808298,20.09420456678469,-0.010698691272395042,0.5060876042054602
2019,40,H35,46.76259984462662,29.050375243935207,0.49662485303580345,0.5897384478757842
2020,41,H35,34.75093900651122,22.452156007501937,0.4380103039470224,0.6410844052291327
2021,42,H35,36.04183978906143,23.37415890604372,0.46716804084949604,0.6548925239445765
2022,43,H35,30.665494622528385,20.86521503844827,0.38659796295987653,0.6746975296263404
2023,44,H35,36.33370430797589,27.717330541809535,0.12148597073148971,0.6878849514424041
1979,0,H45,32.231388201016976,23.981060188797212,0.5794914663372283,0.8177060952435519
1980,1,H45,26.82150922807561,18.938359663107438,0.35328101085675645,0.5988197209728707
1981,2,H45,41.22240915072473,28.79542010085483,0.5012790609435253,0.735115210893708
