window_id,anchor_day,field_a,field_b,n_valid,n_strict_untied,n_tied,field_early_candidate,field_late_candidate,prob_a_before_b,prob_b_before_a,prob_a_not_later_b,prob_b_not_later_a,prob_early_before_late,prob_early_before_late_1d,prob_early_before_late_2d,prob_early_not_later_than_late,prob_sync_0d,prob_sync_1d,prob_sync_2d,median_lag_late_minus_early,q025_lag_late_minus_early,q975_lag_late_minus_early,iqr_lag_late_minus_early,median_lag_b_minus_a,q025_lag_b_minus_a,q975_lag_b_minus_a,order_p_value,major_direction,loyo_prob_early_before_late,loyo_prob_early_before_late_1d,loyo_prob_sync_2d,loyo_median_lag_late_minus_early,early_field_timing_label_v7_b,late_field_timing_label_v7_b,early_field_boundary_sides,late_field_boundary_sides,boundary_censoring_flag,order_q_value,order_confidence_label,usable_as_order_evidence,caution
W003,81,P,Je,1000,943,57,P,Je,0.655,0.288,0.712,0.345,0.655,0.655,0.604,0.712,0.057,0.155,0.251,4.0,-12.0,15.0,10.0,4.0,-12.0,15.0,1.4162526106617484e-33,P<Je,0.9777777777777777,0.9777777777777777,0.022222222222222223,9.0,timing_uncertain,boundary_truncated,none,observed_right_edge;modal_right_edge,late:observed_right_edge;modal_right_edge,2.098152015795183e-33,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
W003,81,P,Jw,1000,912,88,P,Jw,0.472,0.44,0.56,0.528,0.472,0.472,0.41,0.56,0.088,0.243,0.381,0.0,-14.0,13.0,7.0,0.0,-14.0,13.0,0.30464772606037704,P<Jw,0.6444444444444445,0.6444444444444445,0.9555555555555556,1.0,timing_uncertain,timing_uncertain,none,none,none,0.32068181690566006,ambiguous_order,False,relative_order_not_sufficiently_supported
W003,81,V,H,1000,920,80,H,V,0.393,0.527,0.473,0.607,0.527,0.527,0.433,0.607,0.08,0.214,0.356,1.0,-21.0,10.0,11.0,-1.0,-10.0,21.0,1.122223799004621e-05,H<V,1.0,1.0,0.26666666666666666,3.0,timing_uncertain,boundary_truncated,none,modal_left_edge,late:modal_left_edge,1.2825414845767098e-05,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
W003,81,V,Je,1000,972,28,V,Je,0.788,0.184,0.816,0.212,0.788,0.788,0.763,0.816,0.028,0.079,0.148,8.0,-8.0,21.0,11.0,8.0,-8.0,21.0,1.4166583649113353e-89,V<Je,1.0,1.0,0.022222222222222223,11.0,boundary_truncated,boundary_truncated,modal_left_edge,observed_right_edge;modal_right_edge,early:modal_left_edge;late:observed_right_edge;modal_right_edge,3.77775563976356e-89,moderate_order,True,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W003,81,V,Jw,1000,941,59,V,Jw,0.738,0.203,0.797,0.262,0.738,0.738,0.658,0.797,0.059,0.183,0.304,3.0,-10.0,18.0,8.0,3.0,-10.0,18.0,5.904469966093879e-72,V<Jw,1.0,1.0,0.3111111111111111,3.0,boundary_truncated,timing_uncertain,modal_left_edge,none,early:modal_left_edge,1.3121044369097508e-71,moderate_order,True,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W003,81,H,Je,1000,860,140,H,Je,0.675,0.185,0.815,0.325,0.675,0.675,0.647,0.815,0.14,0.194,0.253,5.0,-9.0,18.024999999999977,13.0,5.0,-9.0,18.024999999999977,3.429610165904538e-66,H<Je,1.0,1.0,0.0,14.0,timing_uncertain,boundary_truncated,none,observed_right_edge;modal_right_edge,late:observed_right_edge;modal_right_edge,6.859220331809076e-66,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
W003,81,H,Jw,1000,942,58,H,Jw,0.669,0.273,0.727,0.331,0.669,0.669,0.631,0.727,0.058,0.126,0.199,4.0,-15.0,15.024999999999977,8.0,4.0,-15.0,15.024999999999977,4.869503883979338e-39,H<Jw,1.0,1.0,0.0,6.0,timing_uncertain,timing_uncertain,none,none,none,7.791206214366941e-39,ambiguous_order,False,relative_order_not_sufficiently_supported
W003,81,Je,Jw,1000,901,99,Jw,Je,0.271,0.63,0.37,0.729,0.63,0.63,0.563,0.729,0.099,0.219,0.308,3.0,-13.0,19.0,9.0,-3.0,-19.0,13.0,1.1620809190911108e-33,Jw<Je,0.9777777777777777,0.9777777777777777,0.022222222222222223,8.0,timing_uncertain,boundary_truncated,none,observed_right_edge;modal_right_edge,late:observed_right_edge;modal_right_edge,1.787816798601709e-33,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
W005,113,P,V,1000,916,84,P,V,0.671,0.245,0.755,0.329,0.671,0.671,0.607,0.755,0.084,0.222,0.354,3.0,-6.0,20.0,10.0,3.0,-6.0,20.0,1.766906573032903e-46,P<V,0.9333333333333333,0.9333333333333333,0.9333333333333333,2.0,boundary_truncated,timing_uncertain,modal_left_edge,none,early:modal_left_edge,2.944844288388172e-46,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
W005,113,P,H,1000,891,109,P,H,0.742,0.149,0.851,0.258,0.742,0.742,0.631,0.851,0.109,0.293,0.447,3.0,-4.0,15.0,8.0,3.0,-4.0,15.0,2.6957090239565714e-95,P<H,1.0,1.0,0.5555555555555556,2.0,boundary_truncated,timing_moderate,modal_left_edge,none,early:modal_left_edge,7.70202578273306e-95,moderate_order,True,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W005,113,P,Je,1000,904,96,Je,P,0.377,0.527,0.473,0.623,0.527,0.527,0.401,0.623,0.096,0.296,0.428,1.0,-11.0,9.0,6.0,-1.0,-9.0,11.0,6.815954262680922e-07,Je<P,0.9333333333333333,0.9333333333333333,0.7333333333333333,2.0,timing_uncertain,boundary_truncated,none,modal_left_edge,late:modal_left_edge,8.018769720801085e-07,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
W005,113,P,Jw,1000,914,86,Jw,P,0.201,0.713,0.287,0.799,0.713,0.713,0.671,0.799,0.086,0.168,0.253,4.0,-8.0,13.0,9.0,-4.0,-13.0,8.0,8.230071570981046e-68,Jw<P,1.0,1.0,0.0,8.0,boundary_truncated,boundary_truncated,modal_left_edge,modal_left_edge,early:modal_left_edge;late:modal_left_edge,1.7326466465223255e-67,moderate_order,True,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W005,113,V,H,1000,827,173,V,H,0.462,0.365,0.635,0.538,0.462,0.462,0.279,0.635,0.173,0.474,0.689,0.0,-8.0,5.0,3.0,0.0,-8.0,5.0,0.0008327424153798953,V<H,0.7555555555555555,0.7555555555555555,1.0,1.0,timing_uncertain,timing_moderate,none,none,none,0.0009252693504221059,sync_or_overlap,False,do_not_force_order_overlapping_peaks
W005,113,V,Je,1000,920,80,Je,V,0.118,0.802,0.198,0.882,0.802,0.802,0.726,0.882,0.08,0.198,0.324,4.0,-4.0,14.0,6.0,-4.0,-14.0,4.0,1.1794475650101833e-125,Je<V,1.0,1.0,0.2222222222222222,3.0,timing_uncertain,timing_uncertain,none,none,none,5.241989177823037e-125,moderate_order,True,candidate_relative_order_use_with_caution
W005,113,V,Jw,1000,981,19,Jw,V,0.028,0.953,0.047,0.972,0.953,0.953,0.923,0.972,0.019,0.054,0.084,8.0,-1.0,19.0,6.0,-8.0,-19.0,1.0,1.3097538223724047e-241,Jw<V,1.0,1.0,0.0,10.0,boundary_truncated,timing_uncertain,modal_left_edge,none,early:modal_left_edge,2.6195076447448093e-240,robust_censored_order,True,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W005,113,H,Je,1000,957,43,Je,H,0.037,0.92,0.08,0.963,0.92,0.92,0.83,0.963,0.043,0.151,0.305,4.0,-1.0,11.0,4.0,-4.0,-11.0,1.0,1.207706279717522e-221,Je<H,1.0,1.0,0.0,4.0,timing_uncertain,timing_moderate,none,none,none,1.6102750396233627e-220,robust_order,True,relative_order_supported_not_causal
W005,113,H,Jw,1000,985,15,Jw,H,0.019,0.966,0.034,0.981,0.966,0.966,0.952,0.981,0.015,0.035,0.064,9.0,-0.0,14.0,6.0,-9.0,-14.0,0.0,3.231581004589725e-257,Jw<H,1.0,1.0,0.0,11.0,boundary_truncated,timing_moderate,modal_left_edge,none,early:modal_left_edge,1.2926324018358898e-255,robust_censored_order,True,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W005,113,Je,Jw,1000,935,65,Jw,Je,0.136,0.799,0.201,0.864,0.799,0.799,0.728,0.864,0.065,0.196,0.296,4.0,-3.0,11.0,6.0,-4.0,-11.0,3.0,7.933018438649807e-115,Jw<Je,0.9777777777777777,0.9777777777777777,0.1111111111111111,6.0,boundary_truncated,timing_uncertain,modal_left_edge,none,early:modal_left_edge,3.173207375459923e-114,moderate_order,True,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W007,160,P,V,1000,951,49,P,V,0.788,0.163,0.837,0.212,0.788,0.788,0.727,0.837,0.049,0.161,0.281,3.0,-4.0,14.0,4.0,3.0,-4.0,14.0,7.205042721591174e-99,P<V,1.0,1.0,0.0,3.0,timing_uncertain,timing_uncertain,none,none,none,2.2169362220280535e-98,moderate_order,True,candidate_relative_order_use_with_caution
W007,160,P,H,1000,956,44,H,P,0.308,0.648,0.352,0.692,0.648,0.648,0.587,0.692,0.044,0.145,0.275,2.0,-13.0,12.0,7.0,-2.0,-12.0,13.0,1.508851462688897e-28,H<P,1.0,1.0,0.15555555555555556,3.0,timing_uncertain,timing_uncertain,none,none,none,2.0118019502518624e-28,ambiguous_order,False,relative_order_not_sufficiently_supported
W007,160,P,Je,1000,977,23,P,Je,0.854,0.123,0.877,0.146,0.854,0.854,0.805,0.877,0.023,0.086,0.2,4.0,-6.0,11.0,5.0,4.0,-6.0,11.0,2.822153272975386e-135,P<Je,1.0,1.0,0.0,4.0,timing_uncertain,timing_moderate,none,none,none,1.411076636487693e-134,robust_order,True,relative_order_supported_not_causal
W007,160,P,Jw,1000,962,38,Jw,P,0.433,0.529,0.471,0.567,0.529,0.529,0.498,0.567,0.038,0.086,0.147,1.0,-14.0,13.024999999999977,14.0,-1.0,-13.024999999999999,14.0,0.002175575803802289,Jw<P,0.8444444444444444,0.8444444444444444,0.0,6.0,boundary_truncated,timing_uncertain,modal_left_edge,none,early:modal_left_edge,0.0023519738419484205,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
W007,160,V,H,1000,977,23,H,V,0.209,0.768,0.232,0.791,0.768,0.768,0.756,0.791,0.023,0.044,0.076,7.0,-13.0,14.0,7.0,-7.0,-14.0,13.0,1.2134335715075443e-75,H<V,1.0,1.0,0.0,6.0,timing_uncertain,timing_uncertain,none,none,none,2.8551378153118687e-75,moderate_order,True,candidate_relative_order_use_with_caution
W007,160,V,Je,1000,854,146,V,Je,0.429,0.425,0.575,0.571,0.429,0.429,0.3,0.575,0.146,0.389,0.553,0.0,-7.0,11.0,4.0,0.0,-7.0,11.0,0.9182423787802299,V<Je,0.5111111111111111,0.5111111111111111,1.0,1.0,timing_uncertain,timing_moderate,none,none,none,0.9182423787802299,ambiguous_order,False,relative_order_not_sufficiently_supported
W007,160,V,Jw,1000,944,56,Jw,V,0.327,0.617,0.383,0.673,0.617,0.617,0.592,0.673,0.056,0.105,0.156,5.0,-12.0,15.0,13.0,-5.0,-15.0,12.0,2.5099749211492926e-21,Jw<V,0.8444444444444444,0.8444444444444444,0.0,9.0,boundary_truncated,timing_uncertain,modal_left_edge,none,early:modal_left_edge,3.2386773176119905e-21,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
W007,160,H,Je,1000,990,10,H,Je,0.793,0.197,0.803,0.207,0.793,0.793,0.788,0.803,0.01,0.02,0.044,6.0,-7.0,13.0,4.0,6.0,-7.0,13.0,2.830785312937354e-85,H<Je,1.0,1.0,0.0,7.0,timing_uncertain,timing_moderate,none,none,none,7.076963282343384e-85,moderate_order,True,candidate_relative_order_use_with_caution
W007,160,H,Jw,1000,926,74,Jw,H,0.458,0.468,0.532,0.542,0.468,0.468,0.43,0.542,0.074,0.148,0.248,0.0,-15.0,18.0,14.0,0.0,-18.0,15.0,0.7674332132298685,Jw<H,0.8444444444444444,0.8444444444444444,0.2222222222222222,3.0,boundary_truncated,timing_uncertain,modal_left_edge,none,early:modal_left_edge,0.7871109879280702,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
W007,160,Je,Jw,1000,984,16,Jw,Je,0.356,0.628,0.372,0.644,0.628,0.628,0.615,0.644,0.016,0.044,0.079,6.0,-8.0,15.0,14.0,-6.0,-15.0,8.0,3.481488958340648e-18,Jw<Je,0.8444444444444444,0.8444444444444444,0.0,10.0,boundary_truncated,timing_moderate,modal_left_edge,none,early:modal_left_edge,4.35186119792581e-18,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
