window_id,anchor_day,robust_orders,robust_censored_orders,moderate_orders,sync_or_overlap_pairs,n_ambiguous_pairs,n_conflict_pairs,interpretable_partial_order,caution
W002,45,,"H<P (p=0.89, lag=9.0d); H<V (p=0.92, lag=10.0d); H<Je (p=0.90, lag=10.0d); H<Jw (p=0.92, lag=6.0d)","P<Je (p=0.73, lag=2.0d); Jw<Je (p=0.70, lag=4.0d)",P~V (sync2=0.70); V~Je (sync2=0.63),2,0,"censored: H<P (p=0.89, lag=9.0d); H<V (p=0.92, lag=10.0d); H<Je (p=0.90, lag=10.0d); H<Jw (p=0.92, lag=6.0d) | moderate: P<Je (p=0.73, lag=2.0d); Jw<Je (p=0.70, lag=4.0d)",timing_order_only_not_causality; censored orders do not locate exact peak day
W003,81,,,"V<P (p=0.77, lag=2.0d); H<P (p=0.73, lag=3.0d); V<Je (p=0.79, lag=8.0d); V<Jw (p=0.74, lag=3.0d)",,6,0,"moderate: V<P (p=0.77, lag=2.0d); H<P (p=0.73, lag=3.0d); V<Je (p=0.79, lag=8.0d); V<Jw (p=0.74, lag=3.0d)",timing_order_only_not_causality; censored orders do not locate exact peak day
W005,113,"Je<H (p=0.92, lag=4.0d)","Jw<V (p=0.95, lag=8.0d); Jw<H (p=0.97, lag=9.0d)","P<H (p=0.74, lag=3.0d); Jw<P (p=0.71, lag=4.0d); Je<V (p=0.80, lag=4.0d); Jw<Je (p=0.80, lag=4.0d)",V~H (sync2=0.69),2,0,"robust: Je<H (p=0.92, lag=4.0d) | censored: Jw<V (p=0.95, lag=8.0d); Jw<H (p=0.97, lag=9.0d) | moderate: P<H (p=0.74, lag=3.0d); Jw<P (p=0.71, lag=4.0d); Je<V (p=0.80, lag=4.0d); Jw<Je (p=0.80, lag=4.0d)",timing_order_only_not_causality; censored orders do not locate exact peak day
W007,160,"P<Je (p=0.85, lag=4.0d)",,"P<V (p=0.79, lag=3.0d); H<V (p=0.77, lag=7.0d); H<Je (p=0.79, lag=6.0d)",,6,0,"robust: P<Je (p=0.85, lag=4.0d) | moderate: P<V (p=0.79, lag=3.0d); H<V (p=0.77, lag=7.0d); H<Je (p=0.79, lag=6.0d)",timing_order_only_not_causality; censored orders do not locate exact peak day
