window_id,anchor_day,field_a,field_b,prob_a_before_b,prob_b_before_a,prob_sync_2d,median_lag_b_minus_a,q025_lag_b_minus_a,q975_lag_b_minus_a,order_direction_majority,n_valid,n_strict_untied,n_tied
W002,45,P,V,0.623,0.178,0.698,1.0,-2.0,9.0,P<V,1000,801,199
W002,45,P,H,0.087,0.885,0.056,-9.0,-11.0,11.0,H<P,1000,972,28
W002,45,P,Je,0.729,0.123,0.544,2.0,-9.0,12.0,P<Je,1000,852,148
W002,45,P,Jw,0.357,0.569,0.328,-1.5,-8.0,10.0,Jw<P,1000,926,74
W002,45,V,H,0.075,0.922,0.016,-10.0,-15.0,9.0,H<V,1000,997,3
W002,45,V,Je,0.59,0.265,0.627,1.0,-10.0,8.0,V<Je,1000,855,145
W002,45,V,Jw,0.287,0.649,0.298,-3.0,-11.0,7.0,Jw<V,1000,936,64
W002,45,H,Je,0.899,0.067,0.041,10.0,-8.0,17.0,H<Je,1000,966,34
W002,45,H,Jw,0.916,0.068,0.063,6.0,-12.0,16.0,H<Jw,1000,984,16
W002,45,Je,Jw,0.247,0.704,0.215,-4.0,-11.024999999999999,11.0,Jw<Je,1000,951,49
W003,81,P,V,0.138,0.772,0.458,-2.0,-17.0,4.0,V<P,1000,910,90
W003,81,P,H,0.23,0.729,0.218,-3.0,-15.0,13.0,H<P,1000,959,41
W003,81,P,Je,0.655,0.288,0.251,4.0,-12.0,15.0,P<Je,1000,943,57
W003,81,P,Jw,0.472,0.44,0.381,0.0,-14.0,13.0,P<Jw,1000,912,88
W003,81,V,H,0.393,0.527,0.356,-1.0,-10.0,21.0,H<V,1000,920,80
W003,81,V,Je,0.788,0.184,0.148,8.0,-8.0,21.0,V<Je,1000,972,28
W003,81,V,Jw,0.738,0.203,0.304,3.0,-10.0,18.0,V<Jw,1000,941,59
W003,81,H,Je,0.675,0.185,0.253,5.0,-9.0,18.024999999999977,H<Je,1000,860,140
W003,81,H,Jw,0.669,0.273,0.199,4.0,-15.0,15.024999999999977,H<Jw,1000,942,58
W003,81,Je,Jw,0.271,0.63,0.308,-3.0,-19.0,13.0,Jw<Je,1000,901,99
W005,113,P,V,0.671,0.245,0.354,3.0,-6.0,20.0,P<V,1000,916,84
W005,113,P,H,0.742,0.149,0.447,3.0,-4.0,15.0,P<H,1000,891,109
W005,113,P,Je,0.377,0.527,0.428,-1.0,-9.0,11.0,Je<P,1000,904,96
W005,113,P,Jw,0.201,0.713,0.253,-4.0,-13.0,8.0,Jw<P,1000,914,86
W005,113,V,H,0.462,0.365,0.689,0.0,-8.0,5.0,V<H,1000,827,173
W005,113,V,Je,0.118,0.802,0.324,-4.0,-14.0,4.0,Je<V,1000,920,80
W005,113,V,Jw,0.028,0.953,0.084,-8.0,-19.0,1.0,Jw<V,1000,981,19
W005,113,H,Je,0.037,0.92,0.305,-4.0,-11.0,1.0,Je<H,1000,957,43
W005,113,H,Jw,0.019,0.966,0.064,-9.0,-14.0,0.0,Jw<H,1000,985,15
W005,113,Je,Jw,0.136,0.799,0.296,-4.0,-11.0,3.0,Jw<Je,1000,935,65
W007,160,P,V,0.788,0.163,0.281,3.0,-4.0,14.0,P<V,1000,951,49
W007,160,P,H,0.308,0.648,0.275,-2.0,-12.0,13.0,H<P,1000,956,44
W007,160,P,Je,0.854,0.123,0.2,4.0,-6.0,11.0,P<Je,1000,977,23
W007,160,P,Jw,0.433,0.529,0.147,-1.0,-13.024999999999999,14.0,Jw<P,1000,962,38
W007,160,V,H,0.209,0.768,0.076,-7.0,-14.0,13.0,H<V,1000,977,23
W007,160,V,Je,0.429,0.425,0.553,0.0,-7.0,11.0,V<Je,1000,854,146
W007,160,V,Jw,0.327,0.617,0.156,-5.0,-15.0,12.0,Jw<V,1000,944,56
W007,160,H,Je,0.793,0.197,0.044,6.0,-7.0,13.0,H<Je,1000,990,10
W007,160,H,Jw,0.458,0.468,0.248,0.0,-18.0,15.0,Jw<H,1000,926,74
W007,160,Je,Jw,0.356,0.628,0.079,-6.0,-15.0,8.0,Jw<Je,1000,984,16
