window_id,target_pair,target_set,min_corr_without_year,max_abs_delta_corr,worst_left_out_year,min_loading_corr,single_year_dominated_flag
W113,P-V,priority,0.7324122518034284,0.04997588916210005,2007,0.9568633317706293,False
W113,P-H,exploratory_full_pair,0.706420695096275,0.04795905371982623,2021,0.9037659131248557,False
W113,P-Je,exploratory_full_pair,0.6804847699697206,0.06507653747291642,2020,0.9224168204426649,False
W113,P-Jw,exploratory_full_pair,0.698861917189971,0.030825064036167804,2007,0.9330466270732499,False
W113,V-H,exploratory_full_pair,0.684223793154353,0.04605178128011567,2003,0.8248036185115588,False
W113,V-Je,priority,0.8038447809632373,0.050882970728080235,2003,0.9492574729873874,False
W113,V-Jw,exploratory_full_pair,0.7056936972658887,0.03809714243155671,1998,0.888237841314712,False
W113,H-Je,priority,0.7182874328085697,0.044603003367955085,2020,0.932499595088017,False
W113,H-Jw,exploratory_full_pair,0.6828149166441343,0.07497887228594136,2022,0.9011265351101853,False
W113,Je-Jw,exploratory_full_pair,0.6865527366384567,0.05847916540503706,2020,0.8936486451945723,False
W113,Jw-V,priority,0.7056936972658887,0.03809714243155671,1998,0.888237841314712,False
W113,Jw-H,priority,0.6828149166441343,0.07497887228594136,2022,0.9011265351101853,False
