window_id,target_pair,target_set,n_valid_years,corr_score_y,dominant_object,dominant_object_loading_fraction,dominant_time_half
W113,P-V,priority,45,0.770159239782043,Jw,0.26679216507638026,balanced_or_full_window
W113,P-H,exploratory_full_pair,45,0.7282805725801216,Je,0.21143326212166044,early_half
W113,P-Je,exploratory_full_pair,45,0.7087832169994888,P,0.22664407566864841,balanced_or_full_window
W113,P-Jw,exploratory_full_pair,45,0.7191328501206079,Je,0.2827638328980147,late_half
W113,V-H,exploratory_full_pair,45,0.7181286699092799,Jw,0.24766547886039483,early_half
W113,V-Je,priority,45,0.8236247513132656,H,0.26645230488393024,early_half
W113,V-Jw,exploratory_full_pair,45,0.7333277545114746,Je,0.26955419245647405,balanced_or_full_window
W113,H-Je,priority,45,0.7401967884495533,Je,0.2543272779403835,early_half
W113,H-Jw,exploratory_full_pair,45,0.728091246186182,Je,0.31372593272789895,late_half
W113,Je-Jw,exploratory_full_pair,45,0.7080408085859564,Je,0.2634178322877963,late_half
W113,Jw-V,priority,45,0.7333277545114746,Je,0.26955419245647405,balanced_or_full_window
W113,Jw-H,priority,45,0.728091246186182,Je,0.31372593272789895,late_half
