year,mode,cluster_id,object,window_day_min,window_day_max,strength_raw,note,strength_z,strength_robust_z,rank_within_cluster
1979,anomaly,E1,P,12,23,2.916325137235147,,-0.27924972916451196,-0.04087937082710489,4.0
1980,anomaly,E1,P,12,23,3.46286414620299,,0.16809267543895945,0.346874953659363,1.0
1981,anomaly,E1,P,12,23,2.044605724344571,,-0.9927524287036413,-0.6593402062676971,4.0
1982,anomaly,E1,P,12,23,2.0647518525770807,,-0.9762628144234081,-0.6450470849796719,5.0
1983,anomaly,E1,P,12,23,3.553027481642267,,0.2418914027405066,0.41084334869255407,5.0
1984,anomaly,E1,P,12,23,2.3547526650991264,,-0.7388970295811309,-0.4392995220154538,3.0
1985,anomaly,E1,P,12,23,2.893588205882324,,-0.2978599168689258,-0.0570105953379756,4.0
1986,anomaly,E1,P,12,23,2.6229534988732435,,-0.519374536349127,-0.24901844157951172,2.0
1987,anomaly,E1,P,12,23,2.0418867221893584,,-0.9949779330908433,-0.6612692631633117,5.0
1988,anomaly,E1,P,12,23,2.515178767584886,,-0.6075881984280281,-0.32548163531631313,4.0
1989,anomaly,E1,P,12,23,2.336818462334844,,-0.7535761819519226,-0.4520233433053572,4.0
1990,anomaly,E1,P,12,23,3.97902860538628,,0.590573498496713,0.7130793744060541,3.0
1991,anomaly,E1,P,12,23,2.506341770928787,,-0.6148212838414149,-0.33175124025328934,4.0
1992,anomaly,E1,P,12,23,1.7839367265441224,,-1.2061101110799615,-0.8442776572056678,4.0
1993,anomaly,E1,P,12,23,2.047476996570593,,-0.9904022912005831,-0.6573031179644846,4.0
1994,anomaly,E1,P,12,23,2.922119900335063,,-0.27450671317354103,-0.036768146532958956,3.0
1995,anomaly,E1,P,12,23,3.6663789764057406,,0.33466964802742905,0.49126310201363516,5.0
1996,anomaly,E1,P,12,23,2.764213791167491,,-0.4037529287547532,-0.14879816760719278,5.0
1997,anomaly,E1,P,12,23,3.8635732905947258,,0.4960732756477647,0.6311670189093844,3.0
1998,anomaly,E1,P,12,23,2.939675146546207,,-0.26013773689803193,-0.024313184445895326,4.0
1999,anomaly,E1,P,12,23,3.629133086006596,,0.30418387135026775,0.4648381719818484,2.0
2000,anomaly,E1,P,12,23,1.975179377568033,,-1.049577922218741,-0.7085962808647142,5.0
2001,anomaly,E1,P,12,23,2.2426668954637154,,-0.8306392783278909,-0.5188212783336416,3.0
2002,anomaly,E1,P,12,23,2.9080078843627497,,-0.286057404076244,-0.04678023191149502,4.0
2003,anomaly,E1,P,12,23,3.8483138118479623,,0.48358338599018247,0.6203408403999287,5.0
2004,anomaly,E1,P,12,23,2.547309444915128,,-0.581289225760746,-0.30268580760950486,3.0
2005,anomaly,E1,P,12,23,2.2598285199216153,,-0.8165924816200087,-0.5066455800036529,5.0
2006,anomaly,E1,P,12,23,1.6138026827024716,,-1.3453648962429992,-0.9649830600396894,5.0
2007,anomaly,E1,P,12,23,1.6912828244941482,,-1.2819473681811624,-0.910013040427942,5.0
2008,anomaly,E1,P,12,23,3.2238184398231096,,-0.027566333977517263,0.17727863047326312,2.0
2009,anomaly,E1,P,12,23,5.066976379069585,,1.4810592006638907,1.4849482568446863,2.0
2010,anomaly,E1,P,12,23,2.7520475831551687,,-0.4137109750384329,-0.15742975600614162,4.0
2011,anomaly,E1,P,12,23,2.8054687789944515,,-0.3699857041768543,-0.11952889373276059,4.0
2012,anomaly,E1,P,12,23,2.9121333099717654,,-0.28268074151114164,-0.04385335643875599,3.0
2013,anomaly,E1,P,12,23,1.7321746414301993,,-1.248477399127491,-0.8810014262651994,5.0
2014,anomaly,E1,P,12,23,2.486781096075266,,-0.6308317042891081,-0.34562899854660944,5.0
2015,anomaly,E1,P,12,23,2.2303011355692988,,-0.8407606579094954,-0.527594443278769,3.0
2016,anomaly,E1,P,12,23,3.020134081203581,,-0.19428206564514808,0.03277020639182343,5.0
2017,anomaly,E1,P,12,23,1.779999740443621,,-1.2093325358295046,-0.847070840054218,5.0
2018,anomaly,E1,P,12,23,2.150785032170256,,-0.9058446213879722,-0.5840089213917229,5.0
2019,anomaly,E1,P,12,23,2.6071483316767106,,-0.5323110722282575,-0.26023177096520594,3.0
2020,anomaly,E1,P,12,23,2.1523417409437102,,-0.9045704546138578,-0.5829044795331029,4.0
2021,anomaly,E1,P,12,23,5.802817882247272,,2.0833457749748328,2.0070074700243974,2.0
2022,anomaly,E1,P,12,23,2.8125325633600506,,-0.36420399375571677,-0.11451733391716078,3.0
2023,anomaly,E1,P,12,23,2.4451641760917218,,-0.664895170486677,-0.37515505328495674,5.0
1979,anomaly,E2,P,27,38,2.3054495855572035,,-0.779251620552217,-0.47427869457073935,3.0
1980,anomaly,E2,P,27,38,3.4164147445905244,,0.1300738210319262,0.31392038674005657,2.0
1981,anomaly,E2,P,27,38,2.088649022089464,,-0.9567029713061254,-0.6280927035551652,3.0
1982,anomaly,E2,P,27,38,3.6942418280822227,,0.35747540363416325,0.5110310253508633,3.0
1983,anomaly,E2,P,27,38,2.357694975600916,,-0.7364887472200121,-0.43721203401856684,4.0
1984,anomaly,E2,P,27,38,3.7182323757455613,,0.3771116768065756,0.5280516559931778,2.0
1985,anomaly,E2,P,27,38,3.217189961903373,,-0.03299174589290082,0.1725759085522882,4.0
1986,anomaly,E2,P,27,38,1.8354957572714992,,-1.1639090231316973,-0.8076979496224397,5.0
1987,anomaly,E2,P,27,38,1.9515815084543768,,-1.0688927878360313,-0.7253383169268175,4.0
1988,anomaly,E2,P,27,38,2.7645397965600895,,-0.40348609320624557,-0.1485668757895698,2.0
1989,anomaly,E2,P,27,38,2.478788242510382,,-0.6373738582336382,-0.3512997072863641,4.0
1990,anomaly,E2,P,27,38,2.2720463648092357,,-0.8065921705325673,-0.49797735666854887,3.0
1991,anomaly,E2,P,27,38,1.8654906111529395,,-1.1393582228395214,-0.7864174296338793,5.0
1992,anomaly,E2,P,27,38,2.4163357967015466,,-0.6884912109259074,-0.3956079918548634,3.0
1993,anomaly,E2,P,27,38,3.536749323271468,,0.22856772338985704,0.39929444513876533,3.0
1994,anomaly,E2,P,27,38,3.0793540164381152,,-0.1458105241932237,0.07478511403101508,5.0
