object,mode,cluster_id,reducer,source_key
P,anomaly,E1,spatial_rms,precip_smoothed
P,anomaly,E2,spatial_rms,precip_smoothed
P,anomaly,M,spatial_rms,precip_smoothed
P,local_background_removed,E1,spatial_rms,precip_smoothed
P,local_background_removed,E2,spatial_rms,precip_smoothed
P,local_background_removed,M,spatial_rms,precip_smoothed
P,raw,E1,spatial_rms,precip_smoothed
P,raw,E2,spatial_rms,precip_smoothed
P,raw,M,spatial_rms,precip_smoothed
V,anomaly,E1,spatial_rms,v850_smoothed
V,anomaly,E2,spatial_rms,v850_smoothed
V,anomaly,M,spatial_rms,v850_smoothed
V,local_background_removed,E1,spatial_rms,v850_smoothed
V,local_background_removed,E2,spatial_rms,v850_smoothed
V,local_background_removed,M,spatial_rms,v850_smoothed
V,raw,E1,spatial_rms,v850_smoothed
V,raw,E2,spatial_rms,v850_smoothed
V,raw,M,spatial_rms,v850_smoothed
H,anomaly,E1,spatial_rms,z500_smoothed
H,anomaly,E2,spatial_rms,z500_smoothed
H,anomaly,M,spatial_rms,z500_smoothed
H,local_background_removed,E1,spatial_rms,z500_smoothed
H,local_background_removed,E2,spatial_rms,z500_smoothed
H,local_background_removed,M,spatial_rms,z500_smoothed
H,raw,E1,spatial_rms,z500_smoothed
H,raw,E2,spatial_rms,z500_smoothed
H,raw,M,spatial_rms,z500_smoothed
Je,anomaly,E1,jet_q90_strength,u200_smoothed
Je,anomaly,E2,jet_q90_strength,u200_smoothed
Je,anomaly,M,jet_q90_strength,u200_smoothed
Je,local_background_removed,E1,jet_q90_strength,u200_smoothed
Je,local_background_removed,E2,jet_q90_strength,u200_smoothed
Je,local_background_removed,M,jet_q90_strength,u200_smoothed
Je,raw,E1,jet_q90_strength,u200_smoothed
Je,raw,E2,jet_q90_strength,u200_smoothed
Je,raw,M,jet_q90_strength,u200_smoothed
Jw,anomaly,E1,jet_q90_strength,u200_smoothed
Jw,anomaly,E2,jet_q90_strength,u200_smoothed
Jw,anomaly,M,jet_q90_strength,u200_smoothed
Jw,local_background_removed,E1,jet_q90_strength,u200_smoothed
Jw,local_background_removed,E2,jet_q90_strength,u200_smoothed
Jw,local_background_removed,M,jet_q90_strength,u200_smoothed
Jw,raw,E1,jet_q90_strength,u200_smoothed
Jw,raw,E2,jet_q90_strength,u200_smoothed
Jw,raw,M,jet_q90_strength,u200_smoothed
