mode,year,cluster_id,vector,n_valid_objects,missing_objects
anomaly,1979,E1,"[-0.27924972916451196, -0.19498709538714407, -0.8541481114518062, 0.39320178476636103, -0.2365930818607096]",5,
anomaly,1979,E2,"[-0.779251620552217, -1.1702980160866636, -0.8460824329328918, 0.8133664427882137, 0.8380124599781218]",5,
anomaly,1979,M,"[1.019612295705535, 1.0079779619352596, 2.020627308066308, 0.7740250974276676, 2.4944521049530284]",5,
anomaly,1980,E1,"[0.16809267543895945, -0.7812269285126516, -0.07799362233023634, -0.6487913917816512, -0.3441570569297723]",5,
anomaly,1980,E2,"[0.1300738210319262, -0.4438892693595573, -1.1618726056156157, 0.7416467636271914, -0.201730865386044]",5,
anomaly,1980,M,"[2.828050081335608, 0.8889049781039249, -0.5931060818375012, 0.7562051895593874, -0.8885325654129013]",5,
anomaly,1981,E1,"[-0.9927524287036413, 0.18754973659370866, -0.6572551792011766, 0.002140858555753511, -1.123191473959084]",5,
anomaly,1981,E2,"[-0.9567029713061254, -0.699769598671127, -0.8968510924391081, -1.6450354256531887, -1.7865473698108625]",5,
anomaly,1981,M,"[0.9413323279152795, 0.6424292935366649, 1.324271014344877, -1.015297536472303, -0.6805009214606735]",5,
anomaly,1982,E1,"[-0.9762628144234081, -0.9582189057047331, 1.9710892561659354, 1.1554229318361917, -0.7839193191954665]",5,
anomaly,1982,E2,"[0.35747540363416325, 0.965689115758056, 0.2846868583318958, -1.084571507564751, 1.0494204590127811]",5,
anomaly,1982,M,"[0.137249823616205, -0.6146731063458458, -0.7893605784135987, -0.37809777545507445, -0.25276033701241124]",5,
anomaly,1983,E1,"[0.2418914027405066, 2.3703095145847826, 2.112620736731401, 1.1936675359732183, 1.314026341847939]",5,
anomaly,1983,E2,"[-0.7364887472200121, -0.44719299873370677, 0.45192603444173174, -1.0899427742909158, 0.03331552657250502]",5,
anomaly,1983,M,"[1.0361864307588442, 0.0009338684496717566, -0.8337539754769432, 0.3111272257469893, 0.3178467220702134]",5,
anomaly,1984,E1,"[-0.7388970295811309, -1.024941988288322, 0.5651254771387094, -1.3197875341515988, 0.6769356306044338]",5,
anomaly,1984,E2,"[0.3771116768065756, -0.10737493115695963, 0.6611039225649935, -0.25140976600280834, -1.2323427912793363]",5,
