mode,year,cluster_k2,cluster_k3,cluster_k4,trajectory_vector_norm,dominant_E1_object,dominant_E2_object,dominant_M_object,trajectory_type_hint,clustering_backend
anomaly,1979,2,3,4,4.2511926391104815,Je,Jw,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
anomaly,1980,2,3,4,3.7201879885222833,P,Je,P,P_V_dominated_candidate,scipy_ward
anomaly,1981,2,3,4,3.9201912700891848,V,V,H,mixed_or_weakly_organized_candidate,scipy_ward
anomaly,1982,2,3,4,3.5144790275602618,H,Jw,P,H_pre_strong_candidate,scipy_ward
anomaly,1983,2,2,2,4.1706027835102795,V,H,P,H_pre_strong_candidate,scipy_ward
anomaly,1984,2,3,4,2.7426676274865587,Jw,H,Jw,H_pre_strong_candidate,scipy_ward
anomaly,1985,2,3,4,2.7669486567116497,H,V,H,H_pre_strong_candidate,scipy_ward
anomaly,1986,2,3,4,3.0875782698887537,Je,Jw,P,P_V_dominated_candidate,scipy_ward
anomaly,1987,2,3,4,2.851685229392105,H,Jw,Jw,H_pre_strong_candidate,scipy_ward
anomaly,1988,2,3,4,1.9094515917466288,H,Je,Jw,H_pre_strong_candidate,scipy_ward
anomaly,1989,2,3,4,3.0899646712207405,Jw,Je,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
anomaly,1990,2,3,4,3.2637760984669426,H,Jw,P,H_pre_strong_candidate,scipy_ward
anomaly,1991,2,3,4,3.29933784260832,Jw,Jw,P,P_V_dominated_candidate,scipy_ward
anomaly,1992,2,3,4,3.573295159064615,H,V,Jw,H_pre_strong_candidate,scipy_ward
anomaly,1993,2,3,4,3.7349424811532175,Je,Je,V,P_V_dominated_candidate,scipy_ward
anomaly,1994,2,3,4,2.2457334720451705,Jw,Jw,V,P_V_dominated_candidate,scipy_ward
anomaly,1995,2,2,2,4.66190019854533,Je,Jw,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
anomaly,1996,1,1,1,5.648737888973606,H,Jw,P,H_pre_strong_candidate,scipy_ward
anomaly,1997,2,2,2,5.193834978818137,V,Je,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
anomaly,1998,2,2,2,5.2199213886809845,H,H,H,H_pre_strong_candidate,scipy_ward
anomaly,1999,2,3,3,4.666663001936444,Jw,P,P,P_V_dominated_candidate,scipy_ward
anomaly,2000,2,3,4,4.459444884792292,H,V,P,H_pre_strong_candidate,scipy_ward
anomaly,2001,2,3,4,3.904315461423156,Jw,Je,P,P_V_dominated_candidate,scipy_ward
anomaly,2002,2,3,4,3.2544252553823267,H,H,P,H_pre_strong_candidate,scipy_ward
anomaly,2003,2,2,2,5.325162141751452,H,Je,Jw,H_pre_strong_candidate,scipy_ward
anomaly,2004,2,3,4,3.354872440312148,Je,Je,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
anomaly,2005,2,3,4,3.0376724551409326,Je,V,V,P_V_dominated_candidate,scipy_ward
anomaly,2006,1,1,1,5.0406546766046745,Jw,Jw,V,P_V_dominated_candidate,scipy_ward
anomaly,2007,2,3,4,2.9360296790636675,Je,Je,P,P_V_dominated_candidate,scipy_ward
anomaly,2008,1,1,1,7.527355997040618,Jw,V,P,P_V_dominated_candidate,scipy_ward
anomaly,2009,2,3,3,5.065983599116521,Jw,V,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
anomaly,2010,2,3,4,2.646242187279379,Je,P,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
anomaly,2011,2,2,2,3.7029949179370205,H,Je,Jw,H_pre_strong_candidate,scipy_ward
anomaly,2012,2,3,4,2.061913855251987,V,H,Jw,H_pre_strong_candidate,scipy_ward
anomaly,2013,2,3,4,3.116737612451822,Je,Je,P,P_V_dominated_candidate,scipy_ward
anomaly,2014,2,3,4,2.834709408992226,H,Je,Jw,H_pre_strong_candidate,scipy_ward
anomaly,2015,2,3,4,3.880782283511743,V,Jw,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
anomaly,2016,2,2,2,3.2458209448820434,Je,Jw,H,mixed_or_weakly_organized_candidate,scipy_ward
anomaly,2017,2,3,4,2.823921172677399,Je,Jw,P,P_V_dominated_candidate,scipy_ward
anomaly,2018,2,3,4,3.7575876488009707,H,H,H,H_pre_strong_candidate,scipy_ward
anomaly,2019,2,3,4,3.5460007795790283,Jw,Jw,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
anomaly,2020,2,3,4,2.5782000179879,H,H,Je,H_pre_strong_candidate,scipy_ward
anomaly,2021,2,3,4,4.938698330992538,V,H,V,H_pre_strong_candidate,scipy_ward
anomaly,2022,2,3,4,3.3121094269246227,Je,P,P,P_V_dominated_candidate,scipy_ward
anomaly,2023,2,3,4,3.6182179572203825,Jw,Jw,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,1979,2,3,4,3.2748907797533637,Je,P,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,1980,2,3,4,4.432059835948189,H,P,P,H_pre_strong_candidate,scipy_ward
local_background_removed,1981,2,3,4,3.5186374256888024,H,H,H,H_pre_strong_candidate,scipy_ward
local_background_removed,1982,2,3,4,3.336009530858016,Je,V,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,1983,2,2,3,2.572522273184497,Jw,P,P,P_V_dominated_candidate,scipy_ward
local_background_removed,1984,2,2,3,3.836995789172965,Je,Je,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,1985,2,3,4,3.8150785792857516,Je,V,H,mixed_or_weakly_organized_candidate,scipy_ward
local_background_removed,1986,2,2,3,2.9626048914468295,P,Jw,P,P_V_dominated_candidate,scipy_ward
local_background_removed,1987,2,3,4,2.7782835326756405,Je,Jw,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,1988,2,3,4,2.324138128527798,Jw,Je,P,P_V_dominated_candidate,scipy_ward
