window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,variant_id,variant_role,pcmci_variable_scope,conditioning_family_rule,n_pcmci_variables,conditioning_variables,q_within_variant_window,pcmci_plus_supported,q_within_family_edge_window,pcmci_plus_supported_family_fdr,support_rule,v2a_pcmci_graph_selected,v2a_pcmci_plus_supported,v2a_val_matrix,v2a_p_matrix,v2a_q_within_window,lead_lag_label,lead_lag_group,same_day_coupling_flag,positive_peak_lag,positive_peak_abs_r,lag0_abs_r,evidence_tier,recommended_usage,pair_phi_risk,v1_lead_lag_yes
S1,H_strength,P_main_minus_south,H,P,False,1,,False,0.04016364584870839,0.11717151975274924,lagged_direct_edge_control,source(t-tau)->target(t),c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.5717509186962617,False,0.5762177227485763,False,graph_selected_and_window_BH_q_le_alpha,False,False,0.0462222487633424,0.0713355738351262,0.5761612552511544,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,2,0.2916576497108615,0.2505807937000137,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",moderate,True
S1,H_strength,P_main_minus_south,H,P,False,2,,False,0.04616428052157266,0.07141221725457926,lagged_direct_edge_control,source(t-tau)->target(t),c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.5717509186962617,False,0.5762177227485763,False,graph_selected_and_window_BH_q_le_alpha,False,False,0.0501307978040261,0.0510740372838177,0.5761612552511544,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,2,0.2916576497108615,0.2505807937000137,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",moderate,True
S1,H_strength,P_main_minus_south,H,P,False,3,,False,0.02412191149500146,0.3462062578773724,lagged_direct_edge_control,source(t-tau)->target(t),c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.699288463045271,False,0.7418705525943695,False,graph_selected_and_window_BH_q_le_alpha,False,False,0.0241219114950014,0.3462062578773724,0.6739547916615137,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,2,0.2916576497108615,0.2505807937000137,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",moderate,True
S1,H_strength,P_main_minus_south,H,P,False,4,,False,0.01301229535538083,0.6111603991356139,lagged_direct_edge_control,source(t-tau)->target(t),c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.8318297018657198,False,0.7920981862518743,False,graph_selected_and_window_BH_q_le_alpha,False,False,0.0130122953553808,0.6111603991356139,0.8162478967854017,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,2,0.2916576497108615,0.2505807937000137,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",moderate,True
S1,H_strength,P_main_minus_south,H,P,False,5,,False,-0.014535327124627523,0.5700812942431532,lagged_direct_edge_control,source(t-tau)->target(t),c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.804795769339054,False,0.7773835830588454,False,graph_selected_and_window_BH_q_le_alpha,False,False,-0.0145353271246275,0.5700812942431532,0.7946973021604548,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,2,0.2916576497108615,0.2505807937000137,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",moderate,True
S1,H_strength,P_spread_lat,H,P,False,1,,False,0.016309673860498645,0.524494109111681,lagged_direct_edge_control,source(t-tau)->target(t),c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7794339701969254,False,0.7773835830588454,False,graph_selected_and_window_BH_q_le_alpha,False,False,0.0123130086133988,0.6310109048264432,0.8279340647815085,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,4,0.3547483127063911,0.2383283699741371,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",moderate,True
S1,H_strength,P_spread_lat,H,P,False,2,,False,0.015316666671783058,0.5500537710306025,lagged_direct_edge_control,source(t-tau)->target(t),c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7949344154690132,False,0.7773835830588454,False,graph_selected_and_window_BH_q_le_alpha,False,False,0.0130684634768184,0.610208666071245,0.8158458289671615,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,4,0.3547483127063911,0.2383283699741371,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",moderate,True
S1,H_strength,P_spread_lat,H,P,False,3,,False,-0.03655254627645858,0.15365805939962035,lagged_direct_edge_control,source(t-tau)->target(t),c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.5717509186962617,False,0.5762177227485763,False,graph_selected_and_window_BH_q_le_alpha,False,False,-0.0335424700409863,0.1906225657247517,0.5858279028576608,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,4,0.3547483127063911,0.2383283699741371,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",moderate,True
S1,H_strength,P_spread_lat,H,P,False,4,,False,0.017272777173086444,0.5002981564603536,lagged_direct_edge_control,source(t-tau)->target(t),c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7741200034426756,False,0.7773835830588454,False,graph_selected_and_window_BH_q_le_alpha,False,False,0.0154779830524365,0.545992091800719,0.7828936884293364,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,4,0.3547483127063911,0.2383283699741371,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",moderate,True
S1,H_strength,P_spread_lat,H,P,False,5,,False,0.011271013427592163,0.660081821876562,lagged_direct_edge_control,source(t-tau)->target(t),c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.8505042006345993,False,0.7920981862518743,False,graph_selected_and_window_BH_q_le_alpha,False,False,0.0070522074930511,0.7832511483575116,0.8994830488221984,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,4,0.3547483127063911,0.2383283699741371,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",moderate,True
