window,source,target,source_family,target_family,sample_status,main_surrogate_mode,audit_surrogate_mode,T_pos_obs,T_pos_main_null95,p_pos_main_surrogate,T_pos_audit_null90,T_pos_audit_null95,T_pos_audit_null99,p_pos_audit_surrogate,audit_strength_excess,audit_strength_ratio,delta_p_audit_minus_main,delta_null95_audit_minus_main,q_pos_audit_global,q_pos_audit_within_window,main_p_supported,audit_p_supported,audit_support_shift
S1,P_main_band_share,V_strength,P,V,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.5955024544743034,0.2007194692939257,0.000999000999000999,0.35515887662615614,0.38232695331776734,0.4509482302994236,0.000999000999000999,0.21317550115653605,1.5575738234164132,0.0,0.18160748402384164,0.01978021978021978,0.012307692307692308,True,True,same_p_support_flag
S1,P_main_band_share,V_pos_centroid_lat,P,V,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.09485602218959296,0.18468128282008014,0.34965034965034963,0.2564030938139139,0.29011445592102963,0.348815006196774,0.6233766233766234,-0.19525843373143667,0.32696068828577496,0.27372627372627373,0.10543317310094949,0.7502250675202561,0.7111111111111111,False,False,same_p_support_flag
S1,P_main_band_share,V_NS_diff,P,V,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.6686522088768422,0.20639809535949358,0.000999000999000999,0.402732115858002,0.42417120474580583,0.4709418020061107,0.000999000999000999,0.24448100413103635,1.5763734110087626,0.0,0.21777310938631225,0.01978021978021978,0.012307692307692308,True,True,same_p_support_flag
S1,P_main_band_share,H_strength,P,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.35350001470118386,0.19909033415578262,0.001998001998001998,0.3669493577465027,0.40283666228433,0.4440818237198388,0.14685314685314685,-0.049336647583146154,0.8775269179737087,0.14485514485514486,0.2037463281285474,0.36509141083132113,0.3323975294778214,True,False,audit_more_conservative
S1,P_main_band_share,H_centroid_lat,P,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.3281164212900689,0.19553694745348796,0.002997002997002997,0.2077561590881173,0.24035655024534291,0.30130762218216456,0.005994005994005994,0.08775987104472599,1.3651236920947047,0.002997002997002997,0.04481960279185496,0.060419580419580426,0.04395604395604396,True,True,same_p_support_flag
S1,P_main_band_share,H_west_extent_lon,P,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.235141008294503,0.19034125959073836,0.013986013986013986,0.2650959440757646,0.29569619820052306,0.35407830127905204,0.17582417582417584,-0.060555189906020074,0.7952114694929041,0.16183816183816185,0.1053549386097847,0.3998233104057551,0.37091675447839834,True,False,audit_more_conservative
S1,P_main_band_share,H_zonal_width,P,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.08039862228757384,0.12317559752038457,0.22677322677322678,0.11499679009092582,0.13723141881985246,0.18034468258913078,0.2647352647352647,-0.056832796532278615,0.585861626870705,0.037962037962037926,0.014055821299467891,0.4897708674304419,0.4853479853479853,False,False,same_p_support_flag
S1,P_main_band_share,Je_strength,P,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.06423469383129812,0.21400559884726938,0.5974025974025974,0.2096316001970369,0.24392635110391067,0.3020292003773106,0.6873126873126874,-0.17969165727261255,0.26333642732979945,0.08991008991008997,0.029920752256641286,0.7935155223784962,0.7614831211953514,False,False,same_p_support_flag
S1,P_main_band_share,Je_axis_lat,P,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.34119269634638616,0.1609387121651086,0.000999000999000999,0.2514441485986691,0.2755681762901361,0.32131471265394657,0.002997002997002997,0.06562452005625008,1.2381425930226295,0.001998001998001998,0.11462946412502747,0.039187227866473155,0.027149321266968326,True,True,same_p_support_flag
S1,P_main_band_share,Je_meridional_width,P,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.027540900933741497,0.06150360484384215,0.4835164835164835,0.06159830299228797,0.07465860450306203,0.09967400101426209,0.5534465534465535,-0.04711770356932053,0.36889118296621715,0.06993006993006995,0.013154999659219874,0.7014710529087526,0.6745562130177515,False,False,same_p_support_flag
