window,year,variable,audit_surrogate_mode,year_n_finite,year_nan_fraction,year_mean,year_std,pooled_raw_phi_before_clip,pooled_phi_used,pooled_phi_clip_amount,pooled_phi_clip_severity,fallback_to_pooled_scale
S1,1979,P_main_band_share,pooled_phi_yearwise_scale_ar1,45,0.08163265306122447,-0.056766926630197015,0.1269005983720179,0.9638004715025144,0.95,0.0138004715025144,moderate,False
S1,1980,P_main_band_share,pooled_phi_yearwise_scale_ar1,45,0.08163265306122447,0.03717068276806405,0.09446581282853792,0.9638004715025144,0.95,0.0138004715025144,moderate,False
S1,1981,P_main_band_share,pooled_phi_yearwise_scale_ar1,45,0.08163265306122447,-0.020570120768397752,0.11871378253559044,0.9638004715025144,0.95,0.0138004715025144,moderate,False
S1,1982,P_main_band_share,pooled_phi_yearwise_scale_ar1,45,0.08163265306122447,-0.061222959402832226,0.10655098429767415,0.9638004715025144,0.95,0.0138004715025144,moderate,False
S1,1983,P_main_band_share,pooled_phi_yearwise_scale_ar1,45,0.08163265306122447,0.15387652941872065,0.08392262840872759,0.9638004715025144,0.95,0.0138004715025144,moderate,False
S1,1984,P_main_band_share,pooled_phi_yearwise_scale_ar1,45,0.08163265306122447,-0.040728894095861966,0.12551951116110682,0.9638004715025144,0.95,0.0138004715025144,moderate,False
S1,1985,P_main_band_share,pooled_phi_yearwise_scale_ar1,45,0.08163265306122447,-0.07152885919022506,0.14193082340415242,0.9638004715025144,0.95,0.0138004715025144,moderate,False
S1,1986,P_main_band_share,pooled_phi_yearwise_scale_ar1,45,0.08163265306122447,0.00876348927500613,0.1295045928813096,0.9638004715025144,0.95,0.0138004715025144,moderate,False
S1,1987,P_main_band_share,pooled_phi_yearwise_scale_ar1,45,0.08163265306122447,0.10045740433999974,0.10023112676331164,0.9638004715025144,0.95,0.0138004715025144,moderate,False
S1,1988,P_main_band_share,pooled_phi_yearwise_scale_ar1,45,0.08163265306122447,-0.040750256898332164,0.1200922564436715,0.9638004715025144,0.95,0.0138004715025144,moderate,False
