window,source_family,target_family,n_total_pairs,n_main_yes,n_audit_stable_yes,n_tier1,n_tier2,n_tier3,n_ambiguous,n_reverse,n_same_day_only,tier1_fraction,audit_stable_fraction_among_main_yes,same_day_coupling_fraction,high_persistence_risk_fraction
S1,H,Je,12,1,0,0,0,1,2,1,2,0.0,0.0,0.4166666666666667,0.6666666666666666
S1,H,Jw,12,0,0,0,0,0,3,0,0,0.0,,0.16666666666666666,0.6666666666666666
S1,H,P,28,5,1,1,0,4,5,2,3,0.03571428571428571,0.2,0.5357142857142857,0.6428571428571429
S1,H,V,12,1,0,0,0,1,8,0,0,0.0,0.0,0.6666666666666666,0.5
S1,Je,H,12,1,0,0,0,1,2,0,2,0.0,0.0,0.4166666666666667,0.6666666666666666
S1,Je,Jw,9,0,0,0,0,0,2,1,0,0.0,,0.1111111111111111,0.5555555555555556
S1,Je,P,21,0,0,0,0,0,6,5,0,0.0,,0.5238095238095238,0.5238095238095238
S1,Je,V,9,0,0,0,0,0,0,2,1,0.0,,0.3333333333333333,0.3333333333333333
S1,Jw,H,12,0,0,0,0,0,2,0,1,0.0,,0.16666666666666666,0.6666666666666666
S1,Jw,Je,9,1,1,1,0,0,1,0,0,0.1111111111111111,1.0,0.1111111111111111,0.5555555555555556
S1,Jw,P,21,0,0,0,0,0,2,0,0,0.0,,0.0,0.5238095238095238
S1,Jw,V,9,3,1,1,2,0,2,0,0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333
S1,P,H,28,5,0,0,1,4,5,5,0,0.0,0.0,0.5357142857142857,0.6428571428571429
S1,P,Je,21,5,5,5,0,0,5,0,1,0.23809523809523808,1.0,0.5238095238095238,0.5238095238095238
S1,P,Jw,21,0,0,0,0,0,1,0,0,0.0,,0.0,0.5238095238095238
S1,P,V,21,0,0,0,0,0,4,15,1,0.0,,0.9523809523809523,0.2857142857142857
S1,V,H,12,0,0,0,0,0,6,2,0,0.0,,0.6666666666666666,0.5
S1,V,Je,9,3,2,2,1,0,0,0,0,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.3333333333333333
S1,V,Jw,9,1,1,1,0,0,4,0,0,0.1111111111111111,1.0,0.3333333333333333,0.3333333333333333
S1,V,P,21,15,12,12,1,2,5,0,0,0.5714285714285714,0.8,0.9523809523809523,0.2857142857142857
S2,H,Je,12,0,0,0,0,0,0,2,0,0.0,,0.16666666666666666,0.6666666666666666
S2,H,Jw,12,0,0,0,0,0,2,0,0,0.0,,0.08333333333333333,0.6666666666666666
S2,H,P,28,9,4,4,0,5,10,4,0,0.14285714285714285,0.4444444444444444,0.7857142857142857,0.5714285714285714
S2,H,V,12,3,0,0,0,3,3,2,1,0.0,0.0,0.75,0.8333333333333334
S2,Je,H,12,1,1,1,0,0,3,0,0,0.08333333333333333,1.0,0.16666666666666666,0.6666666666666666
S2,Je,Jw,9,0,0,0,0,0,2,1,1,0.0,,0.4444444444444444,0.5555555555555556
S2,Je,P,21,1,1,1,0,0,4,1,1,0.047619047619047616,1.0,0.2857142857142857,0.42857142857142855
S2,Je,V,9,0,0,0,0,0,2,0,0,0.0,,0.2222222222222222,0.7777777777777778
S2,Jw,H,12,0,0,0,0,0,1,0,0,0.0,,0.08333333333333333,0.6666666666666666
S2,Jw,Je,9,1,1,1,0,0,3,0,2,0.1111111111111111,1.0,0.4444444444444444,0.5555555555555556
S2,Jw,P,21,0,0,0,0,0,7,0,1,0.0,,0.38095238095238093,0.42857142857142855
S2,Jw,V,9,0,0,0,0,0,4,0,0,0.0,,0.3333333333333333,0.7777777777777778
S2,P,H,28,8,8,8,0,0,6,5,3,0.2857142857142857,1.0,0.7857142857142857,0.5714285714285714
S2,P,Je,21,1,1,1,0,0,5,0,1,0.047619047619047616,1.0,0.2857142857142857,0.42857142857142855
S2,P,Jw,21,4,1,1,0,3,6,0,1,0.047619047619047616,0.25,0.38095238095238093,0.42857142857142855
S2,P,V,21,0,0,0,0,0,5,14,1,0.0,,0.9523809523809523,0.7142857142857143
