comparison,sector,p_change_type,n_p_change_bands_of_type,p_change_band_id,p_change_peak_lat,p_change_peak_value,p_change_band_south_edge,p_change_band_north_edge,p_change_band_width,p_change_band_integrated_amount,p_change_band_centroid_lat
S4_minus_T3_full,east_sector,positive,2,1,22.25,2.6345748235168642,15.25,32.75,17.5,25.729362924241034,23.332335980938808
S4_minus_T3_full,east_sector,positive,2,2,26.5,1.7621021982942677,15.25,32.75,17.5,25.729362924241034,23.332335980938808
S4_minus_T3_full,east_sector,negative,5,1,10.0,-1.588224842872549,10.0,15.0,5.0,5.998102437433812,11.967413699877353
S4_minus_T3_full,east_sector,negative,5,2,43.0,-0.4331815661891092,41.75,60.0,18.25,10.148961963805629,51.501924172285804
S4_minus_T3_full,east_sector,negative,5,3,46.5,-0.6035925667278228,41.75,60.0,18.25,10.148961963805629,51.501924172285804
S4_minus_T3_full,east_sector,negative,5,4,55.5,-1.2075430672254557,41.75,60.0,18.25,10.148961963805629,51.501924172285804
S4_minus_T3_full,east_sector,negative,5,5,59.25,-0.35465431861265584,41.75,60.0,18.25,10.148961963805629,51.501924172285804
S4_minus_T3_full,full_easm_lon,positive,3,1,15.75,0.5916507399126818,14.25,28.75,14.5,12.783417456880553,21.543357978622772
S4_minus_T3_full,full_easm_lon,positive,3,2,20.5,1.7145126379903974,14.25,28.75,14.5,12.783417456880553,21.543357978622772
S4_minus_T3_full,full_easm_lon,positive,3,3,26.25,0.9417347891167225,14.25,28.75,14.5,12.783417456880553,21.543357978622772
S4_minus_T3_full,full_easm_lon,negative,6,1,11.0,-0.7233460798111118,10.0,14.0,4.0,2.2161765333502457,11.637560193794073
S4_minus_T3_full,full_easm_lon,negative,6,2,33.25,-0.9486121813766806,29.0,60.0,31.0,14.524080093220034,45.6360274876491
S4_minus_T3_full,full_easm_lon,negative,6,3,43.0,-0.36487296611405684,29.0,60.0,31.0,14.524080093220034,45.6360274876491
S4_minus_T3_full,full_easm_lon,negative,6,4,47.0,-0.5492675055362715,29.0,60.0,31.0,14.524080093220034,45.6360274876491
S4_minus_T3_full,full_easm_lon,negative,6,5,51.0,-0.5321300991655593,29.0,60.0,31.0,14.524080093220034,45.6360274876491
S4_minus_T3_full,full_easm_lon,negative,6,6,55.5,-0.895767122998337,29.0,60.0,31.0,14.524080093220034,45.6360274876491
S4_minus_T3_full,mid_sector,positive,2,1,20.75,2.1410974231765856,17.75,29.25,11.5,17.56309602251601,23.595658324380445
S4_minus_T3_full,mid_sector,positive,2,2,26.0,2.288844072271624,17.75,29.25,11.5,17.56309602251601,23.595658324380445
S4_minus_T3_full,mid_sector,negative,6,1,11.75,-0.5970103541642722,10.0,14.25,4.25,1.9653647448908058,11.965168970007246
S4_minus_T3_full,mid_sector,negative,6,2,33.75,-2.4341167857509474,29.5,60.0,30.5,28.54993222312726,43.06004650192021
S4_minus_T3_full,mid_sector,negative,6,3,41.75,-0.8774951775691102,29.5,60.0,30.5,28.54993222312726,43.06004650192021
S4_minus_T3_full,mid_sector,negative,6,4,45.75,-0.9628256655060201,29.5,60.0,30.5,28.54993222312726,43.06004650192021
S4_minus_T3_full,mid_sector,negative,6,5,51.25,-0.7033107008995789,29.5,60.0,30.5,28.54993222312726,43.06004650192021
S4_minus_T3_full,mid_sector,negative,6,6,55.75,-1.2648837438202634,29.5,60.0,30.5,28.54993222312726,43.06004650192021
S4_minus_T3_full,south_scs_ref,positive,2,1,20.5,2.0727780909611013,15.0,29.0,14.0,14.305603274736367,22.510361678727588
S4_minus_T3_full,south_scs_ref,positive,2,2,26.5,1.4310465147747369,15.0,29.0,14.0,14.305603274736367,22.510361678727588
S4_minus_T3_full,south_scs_ref,negative,7,1,11.5,-0.7690355395031663,10.0,14.75,4.75,3.0142223829127097,11.997517958812471
S4_minus_T3_full,south_scs_ref,negative,7,2,33.25,-1.273349874496163,29.25,60.0,30.75,19.392889219441415,45.01878081031223
S4_minus_T3_full,south_scs_ref,negative,7,3,37.25,-0.5605946345133948,29.25,60.0,30.75,19.392889219441415,45.01878081031223
S4_minus_T3_full,south_scs_ref,negative,7,4,42.0,-0.5837255367978424,29.25,60.0,30.75,19.392889219441415,45.01878081031223
S4_minus_T3_full,south_scs_ref,negative,7,5,47.25,-0.7080192370604497,29.25,60.0,30.75,19.392889219441415,45.01878081031223
S4_minus_T3_full,south_scs_ref,negative,7,6,51.0,-0.5969915676655964,29.25,60.0,30.75,19.392889219441415,45.01878081031223
S4_minus_T3_full,south_scs_ref,negative,7,7,55.5,-1.1661273304316326,29.25,60.0,30.75,19.392889219441415,45.01878081031223
S4_minus_T3_full,west_sector,positive,3,1,16.0,1.0580512839600509,11.5,21.0,9.5,6.803500756538204,16.92626323461508
S4_minus_T3_full,west_sector,positive,3,2,20.0,1.0920308360853568,11.5,21.0,9.5,6.803500756538204,16.92626323461508
S4_minus_T3_full,west_sector,positive,3,3,37.0,0.3822052699559837,34.25,40.75,6.5,1.2769446749828168,37.17824932346008
S4_minus_T3_full,west_sector,negative,5,1,25.0,-1.5330197468637188,21.25,34.0,12.75,12.60572194482709,27.364427759949276
S4_minus_T3_full,west_sector,negative,5,2,31.0,-1.5333607900274648,21.25,34.0,12.75,12.60572194482709,27.364427759949276
S4_minus_T3_full,west_sector,negative,5,3,50.25,-0.6048774745902721,45.25,60.0,14.75,4.540885327454732,53.12240271645942
S4_minus_T3_full,west_sector,negative,5,4,54.25,-0.3445193332829244,45.25,60.0,14.75,4.540885327454732,53.12240271645942
S4_minus_T3_full,west_sector,negative,5,5,58.0,-0.4407932345611201,45.25,60.0,14.75,4.540885327454732,53.12240271645942
T3_full_minus_S3,east_sector,positive,6,1,13.25,1.9337614132769687,10.0,27.75,17.75,19.018486622473894,17.665868746295686
T3_full_minus_S3,east_sector,positive,6,2,21.0,1.0364704638693265,10.0,27.75,17.75,19.018486622473894,17.665868746295686
T3_full_minus_S3,east_sector,positive,6,3,24.5,1.0992828781467652,10.0,27.75,17.75,19.018486622473894,17.665868746295686
T3_full_minus_S3,east_sector,positive,6,4,42.75,0.9141359699542573,38.75,57.25,18.5,14.978681244237963,48.36758268250772
T3_full_minus_S3,east_sector,positive,6,5,48.75,1.0647386361992828,38.75,57.25,18.5,14.978681244237963,48.36758268250772
T3_full_minus_S3,east_sector,positive,6,6,54.25,1.1787382149382792,38.75,57.25,18.5,14.978681244237963,48.36758268250772
T3_full_minus_S3,east_sector,negative,1,1,34.25,-4.774035805684316,28.0,38.5,10.5,28.6852017876318,33.45671676957698
T3_full_minus_S3,full_easm_lon,positive,7,1,14.0,0.919306592893328,10.75,25.75,15.0,14.320527025017613,18.29999126504045
T3_full_minus_S3,full_easm_lon,positive,7,2,19.75,1.5065717034311552,10.75,25.75,15.0,14.320527025017613,18.29999126504045
T3_full_minus_S3,full_easm_lon,positive,7,3,23.0,0.8313905880018888,10.75,25.75,15.0,14.320527025017613,18.29999126504045
T3_full_minus_S3,full_easm_lon,positive,7,4,40.75,0.6771096513339478,38.0,60.0,22.0,10.258474853317805,48.5353253177106
T3_full_minus_S3,full_easm_lon,positive,7,5,46.25,0.3124647440978321,38.0,60.0,22.0,10.258474853317805,48.5353253177106
T3_full_minus_S3,full_easm_lon,positive,7,6,51.25,0.5960670956146341,38.0,60.0,22.0,10.258474853317805,48.5353253177106
T3_full_minus_S3,full_easm_lon,positive,7,7,54.5,0.8084554111672841,38.0,60.0,22.0,10.258474853317805,48.5353253177106
T3_full_minus_S3,full_easm_lon,negative,1,1,31.25,-2.7137524246914335,26.0,37.75,11.75,16.38417652542491,31.744553920791017
T3_full_minus_S3,mid_sector,positive,6,1,13.75,0.43277507718875086,12.0,23.5,11.5,12.154885686525255,18.635113944009163
T3_full_minus_S3,mid_sector,positive,6,2,17.5,2.059057177765201,12.0,23.5,11.5,12.154885686525255,18.635113944009163
T3_full_minus_S3,mid_sector,positive,6,3,21.5,1.2766757944109237,12.0,23.5,11.5,12.154885686525255,18.635113944009163
