comparison,sector,p_change_type,p_change_band_id,p_change_peak_lat,p_change_peak_value,p_change_band_integrated_amount,v_change_peak_lat,v_change_peak_value,v_change_trough_lat,v_change_trough_value,v_gradient_change_peak_lat,v_gradient_change_peak_value,v_positive_north_edge_shift,v_positive_centroid_shift,distance_p_change_to_v_change_peak,distance_p_change_to_v_change_trough,distance_p_change_to_v_gradient_peak,v_south_10_delta,dV_south_10_delta,v_south_5_delta,dV_south_5_delta,v_same_lat_delta,dV_same_lat_delta,v_north_5_delta,dV_north_5_delta,v_north_10_delta,dV_north_10_delta
S4_minus_T3_full,east_sector,positive,1,22.25,2.6345748235168642,25.729362924241034,10.0,0.18643514400616312,55.5,-1.2163299227513091,56.25,0.3134122712625427,-4.5,-3.5448974092674597,12.25,-33.25,-34.0,0.05631313750708622,-0.044882240070398094,-0.3187321930404394,-0.14117619441460638,-0.32436806653187267,0.033910186834118505,-0.3902240185982806,-0.047958819911313455,-0.43151875680700513,-0.012681018126030175
S4_minus_T3_full,east_sector,positive,2,26.5,1.7621021982942677,25.729362924241034,10.0,0.18643514400616312,55.5,-1.2163299227513091,56.25,0.3134122712625427,-4.5,-3.5448974092674597,16.5,-29.0,-29.75,-0.22358891405437187,-0.09808835784200465,-0.35878588134801603,0.05521041417049144,-0.3490922634120581,-0.05465409988187098,-0.42205671340423967,-0.0010213580855573667,-0.5734388260086289,-0.044365017813885466
S4_minus_T3_full,east_sector,negative,1,10.0,-1.588224842872549,5.998102437433812,10.0,0.18643514400616312,55.5,-1.2163299227513091,56.25,0.3134122712625427,-4.5,-3.5448974092674597,0.0,-45.5,-46.25,,,,,0.18643514400616312,-0.05096676783118692,-0.12921262665675615,-0.06473043320553717,-0.448869802132414,0.054208358737210194
S4_minus_T3_full,east_sector,negative,2,43.0,-0.4331815661891092,10.148961963805629,10.0,0.18643514400616312,55.5,-1.2163299227513091,56.25,0.3134122712625427,-4.5,-3.5448974092674597,33.0,-12.5,-13.25,-0.45018215115536764,-0.04561918164368528,-0.6039793454640303,-0.022406494472668737,-0.9392267907432306,-0.17292006406028637,-1.038340898127545,-0.14956148972633287,-1.0591992828928238,0.06155327669149324
S4_minus_T3_full,east_sector,negative,3,46.5,-0.6035925667278228,10.148961963805629,10.0,0.18643514400616312,55.5,-1.2163299227513091,56.25,0.3134122712625427,-4.5,-3.5448974092674597,36.5,-9.0,-9.75,-0.5734388260086289,-0.044365017813885466,-0.8073508685261803,-0.054057018015216673,-0.9068145703867977,-0.036654110030861276,-1.1760204137574306,-0.01807305194877884,-1.0013009566639521,0.25745056888691087
S4_minus_T3_full,east_sector,negative,4,55.5,-1.2075430672254557,10.148961963805629,10.0,0.18643514400616312,55.5,-1.2163299227513091,56.25,0.3134122712625427,-4.5,-3.5448974092674597,45.5,0.0,-0.75,-0.8776956883079416,0.00646042364324062,-1.1772036070904819,0.08294945988479929,-1.2163299227513091,-0.017746821600297835,,,,
S4_minus_T3_full,east_sector,negative,5,59.25,-0.35465431861265584,10.148961963805629,10.0,0.18643514400616312,55.5,-1.2163299227513091,56.25,0.3134122712625427,-4.5,-3.5448974092674597,49.25,3.75,3.0,-1.160847938725528,-0.03853869963958667,-1.122627357601611,-0.10248990480899778,-0.7906250420946541,0.14675895448887477,,,,
S4_minus_T3_full,full_easm_lon,positive,1,15.75,0.5916507399126818,12.783417456880553,60.0,0.07798888812301985,25.75,-1.533318871594906,56.25,0.21369231415280465,-6.0,-1.957116799858028,-44.25,-10.0,-40.5,,,0.044411640277529196,-0.04222300949101809,-0.2603881114719444,-0.12156706956296182,-0.8468043530827432,-0.13724004003483836,-1.533318871594906,0.020689681886227884
S4_minus_T3_full,full_easm_lon,positive,2,20.5,1.7145126379903974,12.783417456880553,60.0,0.07798888812301985,25.75,-1.533318871594906,56.25,0.21369231415280465,-6.0,-1.957116799858028,-39.5,-5.25,-35.75,0.055079983004270305,-0.04051884464711586,-0.23054405396957,-0.11313974593218479,-0.8135801219370804,-0.1296719779916926,-1.524600219943544,-0.06616295016280693,-1.0504266790764851,0.09575055526668796
S4_minus_T3_full,full_easm_lon,positive,3,26.25,0.9417347891167225,12.783417456880553,60.0,0.07798888812301985,25.75,-1.533318871594906,56.25,0.21369231415280465,-6.0,-1.957116799858028,-33.75,0.5,-30.0,-0.3200536159687204,-0.11426804941840851,-0.920975528778432,-0.17508660005273802,-1.4860586842229682,0.09053106422107637,-1.0136010737331242,0.061235180045382975,-0.7281778348845089,0.082165131295866
