comparison,target_window,reference_window,sector,v_change_peak_lat,v_change_peak_value,v_change_trough_lat,v_change_trough_value,v_gradient_change_peak_lat,v_gradient_change_peak_value,v_positive_north_edge_shift,v_positive_centroid_shift
S4_minus_T3_full,S4,T3_full,east_sector,10.0,0.18643514400616312,55.5,-1.2163299227513091,56.25,0.3134122712625427,-4.5,-3.5448974092674597
S4_minus_T3_full,S4,T3_full,full_easm_lon,60.0,0.07798888812301985,25.75,-1.533318871594906,56.25,0.21369231415280465,-6.0,-1.957116799858028
S4_minus_T3_full,S4,T3_full,mid_sector,11.25,0.457638376552437,25.75,-2.5396302730553293,24.75,0.4684171386997589,-7.25,-4.087647456195725
S4_minus_T3_full,S4,T3_full,south_scs_ref,10.0,0.1997674742916502,25.75,-2.18421890783291,21.5,0.3414683074585452,-8.25,-2.2793834384505764
S4_minus_T3_full,S4,T3_full,west_sector,59.5,0.8293752753990055,25.5,-1.88806235217205,21.5,0.37934517276361346,0.25,1.4428499698778694
T3_full_minus_S3,T3_full,S3,east_sector,38.25,0.7136164465822492,25.25,-1.935143684144644,32.0,0.4137771411330684,0.0,2.5871666766765173
T3_full_minus_S3,T3_full,S3,full_easm_lon,38.0,0.5588978533026725,25.25,-1.3452679827214862,31.5,0.27043271212948383,3.0,2.144094937466086
T3_full_minus_S3,T3_full,S3,mid_sector,34.25,0.9300113533298435,25.75,-1.461555204821769,30.5,0.4537511526961753,0.5,1.8301088928463685
T3_full_minus_S3,T3_full,S3,south_scs_ref,36.0,0.7314218180947829,25.0,-1.43559400881629,31.5,0.33776770901965136,1.0,2.118137669989178
T3_full_minus_S3,T3_full,S3,west_sector,42.25,0.6007720683078914,22.25,-0.771446992466283,26.0,0.3531013943591246,2.5,1.468524091092604
T3_late_minus_T3_early,T3_late,T3_early,east_sector,10.0,0.3989031521651676,24.5,-1.0080194241869567,31.5,0.2434496091540126,0.0,0.26904952587683084
T3_late_minus_T3_early,T3_late,T3_early,full_easm_lon,57.5,0.20057569586272742,25.25,-0.9473842300053823,31.25,0.18239190318797593,0.5,0.8419679553855168
T3_late_minus_T3_early,T3_late,T3_early,mid_sector,57.5,0.25774231198674546,25.75,-1.2498793336203193,31.5,0.24052158012017166,1.75,0.6268510801471479
T3_late_minus_T3_early,T3_late,T3_early,south_scs_ref,58.25,0.252520733409047,25.5,-1.1265856800459075,31.25,0.2103763423585523,0.25,0.79571648116357
T3_late_minus_T3_early,T3_late,T3_early,west_sector,57.0,0.404355949082305,24.5,-0.6755650653662069,27.0,0.24237666661400326,2.5,1.2846293530679453
