window,sector,p_clim_band_id,p_clim_peak_lat,p_clim_peak_value,p_clim_band_share,v_positive_peak_lat,v_positive_centroid_lat,v_positive_north_edge,v_positive_south_edge,distance_p_to_v_peak,distance_p_to_v_centroid,distance_p_to_v_north_edge,distance_p_to_v_south_edge,v_south_10,v_south_5,v_same_lat,v_north_5,v_north_10
S3,east_sector,1,13.25,10.141440733162096,0.349741939994882,28.25,30.986993683494305,60.0,10.0,-15.0,-17.736993683494305,-46.75,3.25,,,1.5078314981106322,2.7265191881334374,4.184389696509628
S3,east_sector,2,33.75,10.438171509659838,0.2948034799375821,28.25,30.986993683494305,60.0,10.0,5.5,2.7630063165056953,-26.25,23.75,4.332947392496153,4.933178522058407,3.466455840051988,1.439830110581495,1.966933646600351
S3,east_sector,3,42.25,5.170197981430018,0.996057088248418,28.25,30.986993683494305,60.0,10.0,14.0,11.263006316505695,-17.75,32.25,3.8999030851590097,1.9269290155451781,1.8037633613777404,1.6082009381731535,1.257094868195341
S3,east_sector,4,47.5,4.211640469009734,1.0,28.25,30.986993683494305,60.0,10.0,19.25,16.513006316505695,-12.5,37.5,1.8171351103388154,1.7959649620805227,1.5872748890574744,1.2401337937563357,0.550505995948933
S3,east_sector,5,50.5,4.394843763785387,1.0,28.25,30.986993683494305,60.0,10.0,22.25,19.513006316505695,-9.5,40.5,1.4831965156135631,1.818717211327232,1.3890332540034513,1.1240845816372165,
S3,east_sector,6,55.5,4.7907059617276815,1.0,28.25,30.986993683494305,60.0,10.0,27.25,24.513006316505695,-4.5,45.5,1.818717211327232,1.3890332540034513,1.1240845816372165,,
S3,full_easm_lon,1,10.5,9.66275511866941,0.7311978751392687,25.5,25.95410723974089,52.0,10.0,-15.0,-15.454107239740889,-41.5,0.5,,,1.267125705424566,2.329139423122289,3.588619315743046
S3,full_easm_lon,2,14.25,8.844559375024453,0.7392589942953448,25.5,25.95410723974089,52.0,10.0,-11.25,-11.704107239740889,-37.75,4.25,,,1.9926917802020674,3.3072623177856677,4.4675555624392995
S3,full_easm_lon,3,18.0,8.273437061416027,0.7466924125445752,25.5,25.95410723974089,52.0,10.0,-7.5,-7.954107239740889,-34.0,8.0,,1.637402295527766,2.928932100019816,4.174535745554951,4.125293900200748
S3,full_easm_lon,4,21.75,7.6927152959304035,0.7604609554395024,25.5,25.95410723974089,52.0,10.0,-3.75,-4.204107239740889,-30.25,11.75,1.4712329303753728,2.563452830823205,4.001235185144173,4.452061931296824,2.636783336220088
S3,full_easm_lon,5,31.75,8.935107983976204,0.7392589942953448,25.5,25.95410723974089,52.0,10.0,6.25,5.795892760259111,-20.25,21.75,4.001235185144173,4.452061931296824,2.636783336220088,1.3715288126286225,1.1135504324581709
S3,full_easm_lon,6,51.25,3.924943349944971,1.0,25.5,25.95410723974089,52.0,10.0,25.75,25.29589276025911,-0.75,41.25,0.9995277911121133,0.35483484217047245,0.04837504980633804,-0.2610708338254855,
S3,full_easm_lon,7,55.75,4.08429353504266,1.0,25.5,25.95410723974089,52.0,10.0,30.25,29.79589276025911,3.75,45.75,0.4280874820437014,0.04895532824795537,-0.2236414041136852,,
S3,mid_sector,1,12.5,11.090382273374958,0.42862185925675317,25.75,24.787620322136533,52.75,10.0,-13.25,-12.287620322136533,-40.25,2.5,,,2.6047829721395255,3.525127744273677,4.3609441206514346
S3,mid_sector,2,22.25,7.035855750651416,0.791887582408088,25.75,24.787620322136533,52.75,10.0,-3.5,-2.537620322136533,-30.5,12.25,2.564871717739063,3.4649890553226825,4.342621337797243,5.37524291026117,2.981098147327302
S3,mid_sector,3,30.75,9.916711330878487,0.2582794644251177,25.75,24.787620322136533,52.75,10.0,5.0,5.962379677863467,-22.0,20.75,4.169565292400647,5.692004435276987,3.854946612278359,1.6577236517963383,1.1735928445275177
S3,mid_sector,4,39.75,4.596225040219155,1.0,25.75,24.787620322136533,52.75,10.0,14.0,14.962379677863467,-13.0,29.75,4.460500149451785,1.773650756776699,1.1080188283562842,0.3346679198388361,-0.08769690629078139
S3,mid_sector,5,47.25,3.3923988901711293,1.0,25.75,24.787620322136533,52.75,10.0,21.5,22.462379677863467,-5.5,37.25,1.2950924260740924,1.1782926503963005,0.021161501058863046,0.09118335673862643,-0.4654400764914024
S3,mid_sector,6,51.0,3.675366871966453,1.0,25.75,24.787620322136533,52.75,10.0,25.25,26.212379677863467,-1.75,41.0,1.1275655394106794,0.1969580242669635,0.04291671928195919,-0.4475359240193002,
S3,mid_sector,7,56.0,4.796678309088184,1.0,25.75,24.787620322136533,52.75,10.0,30.25,31.212379677863467,3.25,46.0,0.1969580242669635,0.04291671928195919,-0.4475359240193002,,
S3,south_scs_ref,1,10.0,9.35168388962335,0.7331944959909387,25.75,25.75691820835991,54.25,10.0,-15.75,-15.75691820835991,-44.25,0.0,,,1.4130835174413718,2.4702775130020673,3.7292593238445333
S3,south_scs_ref,2,14.25,9.133184370012216,0.7411543986234,25.75,25.75691820835991,54.25,10.0,-11.5,-11.50691820835991,-40.0,4.25,,,2.208627739948805,3.5815147301330064,5.3548402102873585
S3,south_scs_ref,3,21.75,7.303831499402585,0.7843326513483313,25.75,25.75691820835991,54.25,10.0,-4.0,-4.0069182083599095,-32.5,11.75,1.679580977727807,2.8858770400088805,4.521076111804669,5.373982113646779,3.037320666603293
S3,south_scs_ref,4,31.75,9.249508797402516,0.7331944959909387,25.75,25.75691820835991,54.25,10.0,6.0,5.9930817916400905,-22.5,21.75,4.521076111804669,5.373982113646779,3.037320666603293,1.5286861687324904,1.3226872195539265
S3,south_scs_ref,5,50.25,3.62430212211399,1.0,25.75,25.75691820835991,54.25,10.0,24.5,24.49308179164009,-4.0,40.25,1.218320376178814,0.47314000125526556,0.053558863715364655,-0.06843941371738853,
S3,south_scs_ref,6,55.75,4.527438471516804,1.0,25.75,25.75691820835991,54.25,10.0,30.0,29.99308179164009,1.5,45.75,0.3582660723940553,-0.04503554306772753,-0.19470108592535493,,
S3,west_sector,1,10.0,8.759173724955172,0.7586108316410135,22.25,23.581655961124348,42.5,10.0,-12.25,-13.581655961124348,-32.5,0.0,,,0.748056533664611,1.5856189762088497,3.249389122742404
S3,west_sector,2,14.25,6.461348043794984,0.7846120362173785,22.25,23.581655961124348,42.5,10.0,-8.0,-9.331655961124348,-28.25,4.25,,,1.3382764125579352,3.1200373530153813,4.081531352373932
S3,west_sector,3,18.5,7.945330025812034,0.7710590810343594,22.25,23.581655961124348,42.5,10.0,-3.75,-5.081655961124348,-24.0,8.5,,0.9662643022690214,2.8838945953193083,3.981218334172818,2.124803928778998
S3,west_sector,4,22.0,10.776965517642367,0.6604761408030748,22.25,23.581655961124348,42.5,10.0,-0.25,-1.5816559611243477,-20.5,12.0,0.9583101712356181,2.0385169816524322,4.173290888504674,3.1389134076917253,0.4105115897431379
S3,west_sector,5,25.25,8.715133935779852,0.7629068629467607,22.25,23.581655961124348,42.5,10.0,3.0,1.6683440388756523,-17.25,15.25,1.7266013661108648,3.32693147019902,4.0423098622027345,1.2281754335729396,0.7135872932364948
S3,west_sector,6,28.5,8.607450568509842,0.7629068629467607,22.25,23.581655961124348,42.5,10.0,6.25,4.918344038875652,-14.0,18.5,2.8838945953193083,3.981218334172818,2.124803928778998,0.3821163865706964,0.754675899552314
S3,west_sector,7,31.5,9.01858357308547,0.7586108316410135,22.25,23.581655961124348,42.5,10.0,9.25,7.918344038875652,-11.0,21.5,3.9851931067027295,3.3664167378802343,0.7241927209976737,0.6284666992400169,0.39781191079657524
S3,west_sector,8,37.25,3.2151383780510425,0.8120197639628848,22.25,23.581655961124348,42.5,10.0,15.0,13.668344038875652,-5.25,27.25,2.9716961628168503,0.3174450651205107,0.6581640592224101,0.31685019929307684,-0.5730856018991481
S3,west_sector,9,51.5,3.9201469865166048,0.1611927891439194,22.25,23.581655961124348,42.5,10.0,29.25,27.918344038875652,9.0,41.5,0.39781191079657524,-0.7119082006471903,-1.3184621783669144,-1.2017334145772138,
S3,west_sector,10,55.25,2.972780356660181,0.16422177998779858,22.25,23.581655961124348,42.5,10.0,33.0,31.668344038875652,12.75,45.25,-0.5264924291174056,-0.8754626171359764,-1.3891911438597837,,
S4,east_sector,1,15.75,11.660701157879906,0.4866630319434379,33.25,30.029262950903362,55.5,10.0,-17.5,-14.279262950903362,-39.75,5.75,,1.172083706096291,1.4623662749783484,1.7029411198042697,2.3995337049115992
S4,east_sector,2,33.25,5.877400625232427,0.9909271479265241,33.25,30.029262950903362,55.5,10.0,0.0,3.2207370490966376,-22.25,23.25,2.169467382376803,2.708878722884329,2.8328796873014195,1.6671592979753722,1.263574068953925
S4,east_sector,3,40.0,6.193781784396451,0.9886807415291513,33.25,30.029262950903362,55.5,10.0,6.75,9.970737049096638,-15.5,30.0,2.8093915269914245,2.714916883550881,1.2941004804176448,1.1463512748147746,0.5628432519074645
S4,east_sector,4,49.0,4.949156383370937,0.9948570794965803,33.25,30.029262950903362,55.5,10.0,15.75,18.970737049096638,-6.5,39.0,1.4714934509335762,1.2191606250012772,0.6346729974716181,0.4689697769596718,-0.357348390627322
S4,east_sector,5,55.5,4.415888499497846,0.998339813162999,33.25,30.029262950903362,55.5,10.0,22.25,25.470737049096638,0.0,45.5,1.1206902229744915,0.568409298106806,0.0009740279015174511,,
S4,full_easm_lon,1,12.0,9.290262305969154,0.7348666121313655,21.25,26.141085377348947,49.0,10.0,-9.25,-14.141085377348947,-37.0,2.0,,,1.454728522763097,1.650451056806232,1.86558343973882
S4,full_easm_lon,2,18.0,10.505105167579815,0.675636808114276,21.25,26.141085377348947,49.0,10.0,-3.25,-8.141085377348947,-31.0,8.0,,1.4301487978950316,1.761086237568164,1.7959850378387539,1.8538631132889591
S4,full_easm_lon,3,28.25,5.890470021772115,0.8088147409151089,21.25,26.141085377348947,49.0,10.0,7.0,2.108914622651053,-20.75,18.25,1.7975802230578608,1.7919703306259545,1.8550494409491227,1.5174720863754154,1.0750649418887694
S4,full_easm_lon,4,31.75,5.78558430925183,0.8113221347527195,21.25,26.141085377348947,49.0,10.0,10.5,5.608914622651053,-17.25,21.75,1.8783613803152583,1.8386008539122718,1.6101662790869935,1.2257072816064847,0.9853592428091185
S4,full_easm_lon,5,35.25,5.117492565727293,0.9921805639011305,21.25,26.141085377348947,49.0,10.0,14.0,9.108914622651053,-13.75,25.25,1.8432558201725715,1.788518283653809,1.5387716995652938,0.9882027823859447,0.44643487208178567
S4,full_easm_lon,6,39.75,4.26624623553057,1.0,21.25,26.141085377348947,49.0,10.0,18.5,13.608914622651053,-9.25,29.75,1.8413254026060353,1.500820123891469,0.99487276801585,0.5614184386486725,-0.074339518375988
S4,full_easm_lon,7,51.25,3.9643582673196347,1.0,21.25,26.141085377348947,49.0,10.0,30.0,25.108914622651053,2.25,41.25,0.8499509501285336,0.21379852239179456,-0.20959428562214075,-0.43546673901825805,
S4,full_easm_lon,8,55.75,3.8416898251605556,1.0,21.25,26.141085377348947,49.0,10.0,34.5,29.608914622651053,6.75,45.75,0.3192851964413598,-0.20991501909957985,-0.4772797859291308,,
S4,mid_sector,1,12.5,10.666697658558759,0.5915139785671945,11.5,22.530081758787176,46.0,10.0,1.0,-10.030081758787176,-33.5,2.5,,,2.766136395101555,2.5588680084436572,1.6945959120275136
S4,mid_sector,2,17.0,11.176694682877661,0.563319535608957,11.5,22.530081758787176,46.0,10.0,5.5,-5.530081758787176,-29.0,7.0,,2.7990705166824137,2.511776574487588,1.8278464918881503,1.6957927163330326
S4,mid_sector,3,20.0,10.25408068304069,0.6047401647817634,11.5,22.530081758787176,46.0,10.0,8.5,-2.5300817587871762,-26.0,10.0,2.5562186908837425,2.758382161292497,2.3739777374485485,1.6728298904296834,1.6483328311365097
S4,mid_sector,4,27.75,5.623514773885077,0.8167130313748466,11.5,22.530081758787176,46.0,10.0,16.25,5.219918241212824,-18.25,17.75,2.6128867824382715,1.6538946984204548,1.7493860357056839,1.333039367938871,0.5617535088985227
S4,mid_sector,5,33.75,5.25865699387233,0.8189433995944644,11.5,22.530081758787176,46.0,10.0,22.25,11.219918241212824,-12.25,23.75,1.5629862604378428,1.7974484946037803,1.1632270263293956,0.418321190506864,0.36815217525101945
S4,mid_sector,6,39.0,4.98199497476365,0.8210274047518225,11.5,22.530081758787176,46.0,10.0,27.5,16.469918241212824,-7.0,29.0,1.7754535208658653,1.1525652671726445,0.4212511357185214,0.3549819535013891,-0.38031658529185297
S4,mid_sector,7,51.0,3.358596112685426,1.0,11.5,22.530081758787176,46.0,10.0,39.5,28.469918241212824,5.0,41.0,0.4907033734350282,0.010641262991205469,-0.352653320820216,-0.5837327015259177,
S4,mid_sector,8,56.0,4.3427726058340514,1.0,11.5,22.530081758787176,46.0,10.0,44.5,33.469918241212824,10.0,46.0,0.010641262991205469,-0.352653320820216,-0.5837327015259177,,
S4,south_scs_ref,1,15.0,10.095792492806865,0.7194246370576961,28.75,25.59567243989851,47.0,10.0,-13.75,-10.595672439898511,-32.0,5.0,,1.655482482189698,1.9173801781481499,1.8881442140733304,2.0487139938008334
S4,south_scs_ref,2,21.0,10.192411206692235,0.7106518927713507,28.75,25.59567243989851,47.0,10.0,-7.75,-4.595672439898511,-26.0,11.0,1.7127537063841918,1.9560182720733659,1.9225957698939515,2.0213670878236627,1.9435611194566225
S4,south_scs_ref,3,28.5,5.629789077575349,0.8163346267128916,28.75,25.59567243989851,47.0,10.0,-0.25,2.904327560101489,-18.5,18.5,1.9758888300452833,1.9886224112267434,2.147450608610472,1.609189992826169,1.0603362658921416
