window,sector,v_positive_peak_lat,v_positive_peak_value,v_positive_centroid_lat,v_positive_south_edge,v_positive_north_edge,v_positive_integrated_strength,v_positive_band_width
S3,east_sector,28.25,4.954712029036444,30.986993683494305,10.0,60.0,118.59872931040927,50.0
S3,full_easm_lon,25.5,4.710880522111341,25.95410723974089,10.0,52.0,88.88115477180583,42.0
S3,mid_sector,25.75,5.692004435276987,24.787620322136533,10.0,52.75,105.28980094252132,42.75
S3,south_scs_ref,25.75,5.627455333042994,25.75691820835991,10.0,54.25,101.17767385853965,44.25
S3,west_sector,22.25,4.201486334321563,23.581655961124348,10.0,42.5,58.22646374354401,32.5
S4,east_sector,33.25,2.8328796873014195,30.029262950903362,10.0,55.5,73.07627483870027,45.5
S4,full_easm_lon,21.25,1.8838174556582445,26.141085377348947,10.0,49.0,53.18311011571829,39.0
S4,mid_sector,11.5,2.8188444880157477,22.530081758787176,10.0,46.0,57.2265405121014,36.0
S4,south_scs_ref,28.75,2.1607747831394324,25.59567243989851,10.0,47.0,57.868059195648414,37.0
S4,west_sector,21.75,1.8342025335305092,26.49303002209482,10.0,45.25,34.144210161619505,35.25
T3_early,east_sector,29.25,3.5627268001760006,33.4593898442812,10.0,60.0,107.1965122805392,50.0
T3_early,full_easm_lon,25.75,3.810336213398966,27.74130999029194,10.0,54.75,86.56009200782171,44.75
T3_early,mid_sector,25.75,4.798576200282635,26.368965423843264,10.0,52.75,106.9034429399505,42.75
T3_early,south_scs_ref,25.75,4.732082298151822,27.53981887434209,10.0,55.25,100.6231825089007,45.25
T3_early,west_sector,24.25,3.694367055742047,24.51106702635065,10.0,44.75,59.32074714361384,34.75
T3_full,east_sector,33.25,3.2919207810493036,33.57416036017082,10.0,60.0,101.94227253397891,50.0
T3_full,full_easm_lon,25.75,3.3849623151336115,28.098202177206975,10.0,55.0,82.06295346007416,45.0
T3_full,mid_sector,28.5,4.2836950140276215,26.6177292149829,10.0,53.25,98.58500613049539,43.25
T3_full,south_scs_ref,25.75,4.223862371381438,27.875055878349087,10.0,55.25,94.85784633939286,45.25
T3_full,west_sector,22.25,3.4300393418552804,25.05018005221695,10.0,45.0,57.56773609848811,35.0
T3_late,east_sector,35.25,3.4078985821729075,33.72843937015803,10.0,60.0,95.63718483810655,50.0
T3_late,full_easm_lon,25.75,2.874513637215187,28.583277945677455,10.0,55.25,76.67126877775645,45.25
T3_late,mid_sector,28.5,3.688886777556169,26.99581650399041,10.0,54.5,88.66302768555059,44.5
T3_late,south_scs_ref,28.5,3.629915186593198,28.33553535550566,10.0,55.5,87.94038985302286,45.5
T3_late,west_sector,22.25,3.133672275099604,25.795696379418594,10.0,47.25,55.611376352080725,37.25
