comparison,sector,P_35_40N_delta,P_40_45N_delta,P_45_50N_delta,P_50_55N_delta,P_55_60N_delta,V_positive_north_edge_shift,V_positive_centroid_shift,correspondence_type
T3_full_minus_S3,full_easm_lon,-0.17602920418426496,0.532166683087177,0.3764875111566436,0.6444908712213282,0.32299299118120717,3.0,2.144094937466086,v_north_edge_extends_with_highlat_p_increase
T3_full_minus_S3,west_sector,0.18512691861590885,0.2903578900270967,0.03313618715404598,0.3711799837893294,0.2625840203829623,2.5,1.468524091092604,v_north_edge_extends_with_highlat_p_increase
T3_full_minus_S3,mid_sector,0.9111520901608714,0.5542987672609269,0.14924186587413962,0.5865645505732614,0.4479748769863194,0.5,1.8301088928463685,v_north_edge_extends_with_highlat_p_increase
T3_full_minus_S3,east_sector,-1.5147685907303345,0.7548753379034219,0.9198846512509238,0.9681496765774465,0.2638832237062109,0.0,2.5871666766765173,mixed_or_not_aligned
T3_full_minus_S3,south_scs_ref,0.2826397856699082,0.6258322991444503,0.327746502474134,0.6273224111173399,0.364514327699758,1.0,2.118137669989178,v_north_edge_extends_with_highlat_p_increase
T3_late_minus_T3_early,full_easm_lon,-0.10857365419294163,0.01787517960460503,0.04573225370556837,0.0756516952747118,0.14886749654978834,0.5,0.8419679553855168,v_north_edge_extends_with_highlat_p_increase
T3_late_minus_T3_early,west_sector,0.5110350899994055,0.16824228895595378,-0.1423856099504286,-0.025183501846359445,0.2385737427453115,2.5,1.2846293530679453,v_north_edge_extends_with_highlat_p_increase
T3_late_minus_T3_early,mid_sector,-0.33755604251029536,0.3320760978127309,0.001323905120975133,0.040717641542222995,0.06172971229500871,1.75,0.6268510801471479,v_north_edge_extends_with_highlat_p_increase
T3_late_minus_T3_early,east_sector,-0.5262985092820489,-0.40783735937924404,0.2743877894625733,0.20649601266793213,0.13226477224332656,0.0,0.26904952587683084,mixed_or_not_aligned
T3_late_minus_T3_early,south_scs_ref,0.0163921300652349,0.09350684368929532,0.006666493175577592,-0.03350969938523707,0.10333551623144446,0.25,0.79571648116357,v_north_edge_extends_with_highlat_p_increase
S4_minus_T3_full,full_easm_lon,-0.2693368821108881,-0.30407226282112376,-0.4778395973621308,-0.6149110696845759,-0.559053953387019,-6.0,-1.957116799858028,v_north_edge_retracts_with_highlat_p_decline
S4_minus_T3_full,west_sector,0.2193443409791477,0.0061488788306572895,-0.19417224644091535,-0.4146025115778153,-0.2878813645020316,0.25,1.4428499698778694,v_north_edge_extends_with_highlat_p_increase
S4_minus_T3_full,mid_sector,-0.9479591067292257,-0.734723974063952,-0.7753339583307093,-0.8030219911386993,-0.8130127334648177,-7.25,-4.087647456195725,v_north_edge_retracts_with_highlat_p_decline
S4_minus_T3_full,east_sector,-0.13718200787605447,-0.21922371695587564,-0.5034031626175176,-0.6500320284696899,-0.5987130171856078,-4.5,-3.5448974092674597,v_north_edge_retracts_with_highlat_p_decline
S4_minus_T3_full,south_scs_ref,-0.4870014652919501,-0.5173108206115528,-0.6118808846756645,-0.6880879463632286,-0.7038350936050941,-8.25,-2.2793834384505764,v_north_edge_retracts_with_highlat_p_decline
