comparison,metric,median,q025,q05,q95,q975,P_first_less_than_second,P_first_greater_than_second,decision
early_core_vs_late,profile_amplitude,-6.546455692160997,-9.946212120863285,-9.563646778300127,-3.291569571728764,-2.7771517408237814,0.998,0.002,first_lower_supported
early_core_vs_late,profile_mean,3.334049691500633,2.1911926636223393,2.364258809192396,4.324181853268657,4.523140253974385,0.0,1.0,first_higher_supported
early_core_vs_late,profile_spatial_std,-2.140611943611702,-3.1862983348747274,-3.023159053397634,-1.2125536222541569,-1.0691623094042593,0.998,0.002,first_lower_supported
early_core_vs_late,profile_spatial_variance,-28.04845358090772,-41.47469113698299,-39.2156902859005,-15.894378868697839,-14.104157103964223,0.998,0.002,first_lower_supported
early_core_vs_late,region2d_amplitude,-8.993013610876407,-12.881015381892622,-12.263843037360338,-5.588720101668848,-5.063424718429099,1.0,0.0,first_lower_supported
early_core_vs_late,region2d_mean,3.0724065674930827,1.8122192597643378,1.9888974240290807,4.162742349559847,4.319490820757383,0.0,1.0,first_higher_supported
early_core_vs_late,region2d_spatial_std,-1.9783195422131326,-3.0203071542474276,-2.8944208186206923,-1.0575665510122685,-0.933398278995796,0.998,0.002,first_lower_supported
early_core_vs_late,region2d_spatial_variance,-25.886666136830215,-39.676563461332805,-37.87036275962746,-14.126358667402348,-11.89707854098638,0.998,0.002,first_lower_supported
low_vs_W45,profile_amplitude,-7.462782170595364,-10.85757467604346,-10.309794354115777,-4.4548384386760915,-3.5330005892130063,0.999,0.001,first_lower_supported
low_vs_W45,profile_mean,1.8017331538704138,0.6817761778081286,0.8661213510040046,2.7620743016014466,2.949342202398691,0.0,1.0,first_higher_supported
low_vs_W45,profile_spatial_std,-2.331843747090198,-3.416823369550409,-3.2640667529390677,-1.3700163834974335,-1.1568195118856885,1.0,0.0,first_lower_supported
low_vs_W45,profile_spatial_variance,-30.078323067252484,-44.549952510250975,-42.54303580426033,-17.655192470798006,-15.26756980679909,1.0,0.0,first_lower_supported
low_vs_W45,region2d_amplitude,-8.2561365097928,-12.44881938073051,-11.748585468110054,-4.977106462608459,-4.3454688102403844,1.0,0.0,first_lower_supported
low_vs_W45,region2d_mean,1.526461115275147,0.33665578465567486,0.5033485930493313,2.598705257350412,2.7979230568807125,0.004,0.996,first_higher_supported
low_vs_W45,region2d_spatial_std,-2.188009270356972,-3.320503424477073,-3.16594460465276,-1.2162104538154381,-1.0308617943991627,1.0,0.0,first_lower_supported
low_vs_W45,region2d_spatial_variance,-28.04675904537529,-43.36907433165303,-41.137599048811616,-15.377965260228942,-13.185380328390975,1.0,0.0,first_lower_supported
low_vs_post,profile_amplitude,-3.6883907891919936,-6.545705342240433,-6.122671695267975,-0.6721360000965735,-0.028397391474804797,0.976,0.024,first_lower_supported
low_vs_post,profile_mean,0.7040812255524109,-0.20502182002620017,-0.03214739857505452,1.4446688046039713,1.5509128518130162,0.057,0.943,first_higher_tendency
low_vs_post,profile_spatial_std,-1.0168563650956575,-1.9963818984156005,-1.8804453431254613,-0.21372226920293536,-0.026535391058010702,0.979,0.021,first_lower_supported
low_vs_post,profile_spatial_variance,-11.88378082360341,-23.41659655020296,-21.749275447116005,-2.553044965300147,-0.3228332981307218,0.979,0.021,first_lower_supported
low_vs_post,region2d_amplitude,-4.331638972873538,-7.298465614580477,-6.801677558728112,-1.7706120533958403,-1.1366810500474391,0.997,0.003,first_lower_supported
low_vs_post,region2d_mean,0.5904295831638962,-0.41466947505098606,-0.2108740319898729,1.3914061851320962,1.5164495272438612,0.108,0.892,first_higher_tendency
low_vs_post,region2d_spatial_std,-0.8441910484840802,-1.781348412186202,-1.6800334831490873,-0.03685164826050736,0.08183091276639384,0.958,0.042,first_lower_tendency
low_vs_post,region2d_spatial_variance,-9.81270783812456,-20.988987532083033,-19.531915052993657,-0.44855874902726606,0.9319856633116819,0.957,0.043,first_lower_tendency
low_vs_pre,profile_amplitude,-3.439147998669201,-6.824676382109298,-6.176233121735729,-0.6884570277114895,-0.23723925242604332,0.984,0.016,first_lower_supported
low_vs_pre,profile_mean,-3.3163494471044714,-4.2904631627692735,-4.118078366902888,-2.4643420292176943,-2.3398113104695795,1.0,0.0,first_lower_supported
low_vs_pre,profile_spatial_std,-0.8429353784719398,-1.835146322866603,-1.6355248282756174,-0.058811446422506755,0.08085605171570602,0.962,0.038,first_lower_tendency
low_vs_pre,profile_spatial_variance,-9.613132180417265,-21.580086715566715,-19.40967055920715,-0.6688319174417772,0.9098174782925671,0.963,0.037,first_lower_tendency
low_vs_pre,region2d_amplitude,-0.9377688233807291,-4.558288546245779,-3.9202210409657003,1.7735504986526183,2.0811699516248767,0.694,0.306,unresolved
low_vs_pre,region2d_mean,-3.394042391069725,-4.466155873044797,-4.291140430666314,-2.466209804226267,-2.3374053390772938,1.0,0.0,first_lower_supported
low_vs_pre,region2d_spatial_std,-0.6958281782741511,-1.6268669462838317,-1.4895057296924499,0.08778645712947997,0.1859184800442123,0.927,0.073,first_lower_tendency
low_vs_pre,region2d_spatial_variance,-7.874658711012934,-19.28434651134885,-17.503556974097204,0.9342269669093534,2.1526439321495077,0.927,0.073,first_lower_tendency
