metric,min_day_median,min_day_q025,min_day_q975,P_min_in_day30_34,decision
profile_spatial_std,31.0,27.0,34.0,0.881,minimum_day30_34_supported
region2d_spatial_std,31.0,21.0,36.0,0.836,minimum_day30_34_supported
