day,profile_valid,profile_n_finite,profile_mean,profile_spatial_variance,profile_spatial_std,profile_amplitude,profile_weighted_l2_norm,axis_lat,centroid_lat,spread,width_proxy,NS_contrast,skewness,raw_daily_speed,region2d_valid,region2d_n_finite,region2d_mean,region2d_spatial_variance,region2d_spatial_std,region2d_amplitude,region2d_weighted_l2_norm,profile_spatial_std_qrank,profile_spatial_std_low_q10_flag,profile_spatial_variance_qrank,profile_spatial_variance_low_q10_flag,region2d_spatial_std_qrank,region2d_spatial_std_low_q10_flag,region2d_spatial_variance_qrank,region2d_spatial_variance_low_q10_flag
0,False,0,,,,,,,,,,,,,False,0,,,,,,,False,,False,,False,,False
1,False,0,,,,,,,,,,,,,False,0,,,,,,,False,,False,,False,,False
2,False,0,,,,,,,,,,,,,False,0,,,,,,,False,,False,,False,,False
3,False,0,,,,,,,,,,,,,False,0,,,,,,,False,,False,,False,,False
4,True,11,42.29390894024859,56.13265250020484,7.4921727489563965,24.103370812171608,42.952385101950334,31.0,33.79685546624015,5.836503544414992,5.836503544414992,-9.100809335507158,-0.5244352411873355,,True,9801,43.12605568188782,52.60406686445117,7.2528661137822725,26.125314166829178,43.73169040343329,0.5223880597014925,False,0.5223880597014925,False,0.5074626865671642,False,0.5074626865671642,False
5,True,11,41.95384179291352,53.27157955672692,7.298738216755477,23.40874445882614,42.583992541112735,31.0,33.815973194522016,5.844656138753721,5.844656138753721,-8.797320290986512,-0.511222809836499,0.39719223850228685,True,9801,42.76551501935181,50.178765760063825,7.083697181561605,25.4522230160089,43.34821842510335,0.44776119402985076,False,0.44776119402985076,False,0.44776119402985076,False,0.44776119402985076,False
6,True,11,41.664089718437594,50.94806176842398,7.1377910986819995,22.937420502966454,42.271082714243796,31.0,33.832906854874274,5.851540416131342,5.851540416131342,-8.563050126348998,-0.49620074000294206,0.3381939585793445,True,9801,42.46345690977101,47.944079844744195,6.924166364606226,24.974758339516917,43.0242867758749,0.40298507462686567,False,0.40298507462686567,False,0.40298507462686567,False,0.40298507462686567,False
7,True,11,41.47226336189393,50.40421890863786,7.099592869217069,22.742057276203102,42.075561164016904,31.0,33.841785239248864,5.850936547245771,5.850936547245771,-8.444260458058764,-0.47446830896385167,0.21226982882194673,True,9801,42.2700797466626,47.27684980949369,6.875816301319698,24.788982235539127,42.82565226121733,0.3880597014925373,False,0.3880597014925373,False,0.373134328358209,False,0.373134328358209,False
8,True,11,41.444024475619344,52.51398161940854,7.246653132267926,23.135365578107788,42.072807683290456,31.0,33.84192587466422,5.837530539973366,5.837530539973366,-8.457448845754335,-0.4546257361893877,0.20575064219502553,True,9801,42.26309643136952,49.429047121211994,7.0305794299767355,25.67000185030477,42.84388366019648,0.417910447761194,False,0.417910447761194,False,0.43283582089552236,False,0.43283582089552236,False
9,True,11,41.46027027840391,53.90256635450603,7.341836715325806,23.41941334936496,42.105303441642704,31.0,33.84233385347571,5.828891867988682,5.828891867988682,-8.452589058654361,-0.45236584458891715,0.12462882563683765,True,9801,42.29626609646796,51.234223200946474,7.15780854738002,26.29703585115479,42.89764968974607,0.47761194029850745,False,0.47761194029850745,False,0.47761194029850745,False,0.47761194029850745,False
