bootstrap_id,profile_std_min_day_day20_40,region2d_std_min_day_day20_40,profile_min_in_day30_34,region2d_min_in_day30_34
0,31,31,True,True
1,37,38,False,False
2,32,32,True,True
3,31,31,True,True
4,22,22,False,False
5,31,31,True,True
6,32,33,True,True
7,31,31,True,True
8,22,20,False,False
9,33,33,True,True
10,32,32,True,True
11,31,31,True,True
12,31,31,True,True
13,32,32,True,True
14,32,33,True,True
15,29,28,False,False
16,28,30,False,True
17,31,31,True,True
18,33,33,True,True
19,33,33,True,True
20,31,31,True,True
21,31,31,True,True
22,28,27,False,False
23,34,34,True,True
24,31,31,True,True
25,31,31,True,True
26,32,31,True,True
27,31,31,True,True
28,34,34,True,True
29,32,32,True,True
30,31,20,True,False
31,31,31,True,True
32,31,33,True,True
33,31,32,True,True
34,31,31,True,True
35,31,31,True,True
36,31,31,True,True
37,33,34,True,True
38,31,31,True,True
39,37,37,False,False
40,32,31,True,True
41,31,31,True,True
42,30,21,True,False
43,31,31,True,True
44,31,31,True,True
45,31,31,True,True
46,33,33,True,True
47,31,31,True,True
48,33,33,True,True
49,31,32,True,True
50,31,33,True,True
51,31,31,True,True
52,28,28,False,False
53,34,34,True,True
54,37,38,False,False
55,31,30,True,True
56,29,30,False,True
57,28,28,False,False
58,31,31,True,True
59,31,31,True,True
60,29,28,False,False
61,31,31,True,True
62,23,23,False,False
63,28,27,False,False
64,31,31,True,True
65,31,31,True,True
66,33,34,True,True
67,27,27,False,False
68,28,28,False,False
69,34,34,True,True
70,35,35,False,False
71,33,33,True,True
72,31,31,True,True
73,32,33,True,True
74,32,31,True,True
75,31,31,True,True
76,32,32,True,True
77,32,31,True,True
78,28,27,False,False
79,32,32,True,True
80,32,33,True,True
81,31,31,True,True
82,33,33,True,True
83,31,30,True,True
84,31,31,True,True
85,31,33,True,True
86,31,31,True,True
87,31,31,True,True
88,32,32,True,True
89,32,32,True,True
90,31,31,True,True
91,31,20,True,False
92,32,32,True,True
93,32,31,True,True
94,31,31,True,True
95,34,34,True,True
96,33,33,True,True
97,28,28,False,False
98,31,31,True,True
99,31,31,True,True
100,31,31,True,True
101,31,31,True,True
102,31,31,True,True
103,30,31,True,True
104,31,31,True,True
105,31,31,True,True
106,31,31,True,True
107,31,31,True,True
108,31,33,True,True
109,31,31,True,True
110,31,31,True,True
111,33,33,True,True
112,31,31,True,True
113,32,33,True,True
114,31,31,True,True
115,31,31,True,True
116,31,31,True,True
117,31,31,True,True
118,31,31,True,True
119,28,27,False,False
120,31,31,True,True
121,31,31,True,True
122,30,30,True,True
123,31,31,True,True
124,31,31,True,True
125,33,34,True,True
126,31,31,True,True
127,31,31,True,True
128,31,31,True,True
129,32,31,True,True
130,31,31,True,True
131,31,31,True,True
132,33,33,True,True
133,31,31,True,True
134,31,31,True,True
135,33,33,True,True
136,30,30,True,True
137,28,28,False,False
138,33,33,True,True
139,34,34,True,True
140,30,30,True,True
141,32,33,True,True
142,31,31,True,True
143,28,21,False,False
144,33,33,True,True
145,31,21,True,False
146,34,34,True,True
147,31,31,True,True
148,29,20,False,False
149,30,30,True,True
150,31,31,True,True
151,31,31,True,True
152,30,30,True,True
153,21,21,False,False
154,31,31,True,True
155,32,32,True,True
156,31,31,True,True
157,32,32,True,True
158,31,31,True,True
159,31,31,True,True
160,33,33,True,True
161,31,31,True,True
162,33,34,True,True
163,31,31,True,True
164,32,31,True,True
165,31,31,True,True
166,29,31,False,True
167,32,33,True,True
168,32,32,True,True
169,31,31,True,True
170,34,36,True,False
171,32,31,True,True
172,31,31,True,True
173,31,31,True,True
174,31,31,True,True
175,28,30,False,True
176,29,29,False,False
177,31,31,True,True
178,29,29,False,False
179,31,31,True,True
180,31,32,True,True
181,31,31,True,True
182,31,31,True,True
183,31,31,True,True
184,31,31,True,True
185,31,31,True,True
186,31,31,True,True
187,31,28,True,False
188,32,33,True,True
189,31,33,True,True
190,30,30,True,True
191,31,31,True,True
192,31,31,True,True
193,31,31,True,True
194,28,28,False,False
195,32,31,True,True
196,33,33,True,True
197,31,31,True,True
198,31,31,True,True
199,20,20,False,False
200,32,31,True,True
201,33,33,True,True
202,32,34,True,True
203,32,32,True,True
204,31,31,True,True
205,32,33,True,True
206,31,31,True,True
207,32,31,True,True
208,35,35,False,False
209,31,30,True,True
210,33,34,True,True
211,32,32,True,True
212,31,31,True,True
213,29,29,False,False
214,32,32,True,True
215,31,31,True,True
216,31,31,True,True
217,32,34,True,True
218,31,31,True,True
219,32,33,True,True
220,32,31,True,True
221,32,31,True,True
222,32,33,True,True
223,31,31,True,True
224,31,31,True,True
225,32,31,True,True
226,32,32,True,True
227,31,31,True,True
228,31,31,True,True
229,33,31,True,True
230,33,33,True,True
231,31,30,True,True
232,31,31,True,True
233,31,31,True,True
234,31,31,True,True
235,32,31,True,True
236,31,31,True,True
237,33,33,True,True
238,31,31,True,True
239,29,29,False,False
240,33,33,True,True
241,31,31,True,True
242,31,33,True,True
243,32,31,True,True
244,31,31,True,True
245,32,32,True,True
246,32,33,True,True
247,31,31,True,True
248,31,31,True,True
249,31,31,True,True
250,34,35,True,False
251,31,23,True,False
252,31,31,True,True
253,33,34,True,True
254,34,37,True,False
255,34,35,True,False
256,32,31,True,True
257,31,31,True,True
258,33,34,True,True
259,31,20,True,False
260,32,33,True,True
261,26,26,False,False
262,31,31,True,True
263,32,33,True,True
264,31,30,True,True
265,34,34,True,True
