bootstrap_id,comparison,metric,first_window_start,first_window_end,second_window_start,second_window_end,first_minus_second
0,low_vs_pre,profile_spatial_std,30,34,20,29,-0.402801507777764
0,low_vs_pre,profile_spatial_variance,30,34,20,29,-4.386029216587033
0,low_vs_pre,region2d_spatial_std,30,34,20,29,-0.29245692089096575
0,low_vs_pre,region2d_spatial_variance,30,34,20,29,-3.248311393910747
0,low_vs_pre,profile_amplitude,30,34,20,29,-1.9109857911035117
0,low_vs_pre,region2d_amplitude,30,34,20,29,0.4429575472260652
0,low_vs_pre,profile_mean,30,34,20,29,-2.8600651524277936
0,low_vs_pre,region2d_mean,30,34,20,29,-2.913232656547578
0,low_vs_post,profile_spatial_std,30,34,35,39,-0.952955562214644
0,low_vs_post,profile_spatial_variance,30,34,35,39,-10.862898388389134
0,low_vs_post,region2d_spatial_std,30,34,35,39,-0.7264097666651903
0,low_vs_post,region2d_spatial_variance,30,34,35,39,-8.367363269796286
0,low_vs_post,profile_amplitude,30,34,35,39,-3.4921281460080795
0,low_vs_post,region2d_amplitude,30,34,35,39,-3.945278041053694
0,low_vs_post,profile_mean,30,34,35,39,1.2827222841610038
0,low_vs_post,region2d_mean,30,34,35,39,1.1843245714325121
0,low_vs_W45,profile_spatial_std,30,34,40,48,-1.949942718677991
0,low_vs_W45,profile_spatial_variance,30,34,40,48,-24.09639270188449
0,low_vs_W45,region2d_spatial_std,30,34,40,48,-1.739736060393959
0,low_vs_W45,region2d_spatial_variance,30,34,40,48,-21.76744893284861
0,low_vs_W45,profile_amplitude,30,34,40,48,-6.47137463933001
0,low_vs_W45,region2d_amplitude,30,34,40,48,-7.323298027796671
0,low_vs_W45,profile_mean,30,34,40,48,2.5758035615847916
0,low_vs_W45,region2d_mean,30,34,40,48,2.3579249989662543
0,early_core_vs_late,profile_spatial_std,26,33,40,52,-1.8860502369210597
0,early_core_vs_late,profile_spatial_variance,26,33,40,52,-23.31495307950167
0,early_core_vs_late,region2d_spatial_std,26,33,40,52,-1.5959241011450107
0,early_core_vs_late,region2d_spatial_variance,26,33,40,52,-19.86193162416681
0,early_core_vs_late,profile_amplitude,26,33,40,52,-5.928152119181107
0,early_core_vs_late,region2d_amplitude,26,33,40,52,-8.227530782051378
0,early_core_vs_late,profile_mean,26,33,40,52,3.9207383088946948
0,early_core_vs_late,region2d_mean,26,33,40,52,3.7029565241892293
1,low_vs_pre,profile_spatial_std,30,34,20,29,-0.7109980502907556
1,low_vs_pre,profile_spatial_variance,30,34,20,29,-8.679070096694936
1,low_vs_pre,region2d_spatial_std,30,34,20,29,-0.5423180916834349
1,low_vs_pre,region2d_spatial_variance,30,34,20,29,-6.540827403760375
1,low_vs_pre,profile_amplitude,30,34,20,29,-2.404370693881514
1,low_vs_pre,region2d_amplitude,30,34,20,29,-1.5517049420983717
1,low_vs_pre,profile_mean,30,34,20,29,-3.163740490633998
1,low_vs_pre,region2d_mean,30,34,20,29,-3.2648256198823162
1,low_vs_post,profile_spatial_std,30,34,35,39,0.5508983252775916
1,low_vs_post,profile_spatial_variance,30,34,35,39,6.009073383322587
1,low_vs_post,region2d_spatial_std,30,34,35,39,0.719454871457966
1,low_vs_post,region2d_spatial_variance,30,34,35,39,7.73187418396045
1,low_vs_post,profile_amplitude,30,34,35,39,2.315580322336281
1,low_vs_post,region2d_amplitude,30,34,35,39,-0.9188779750576721
1,low_vs_post,profile_mean,30,34,35,39,1.713789286477926
1,low_vs_post,region2d_mean,30,34,35,39,1.7552710037407735
1,low_vs_W45,profile_spatial_std,30,34,40,48,-1.449450633636098
1,low_vs_W45,profile_spatial_variance,30,34,40,48,-19.41915841548063
1,low_vs_W45,region2d_spatial_std,30,34,40,48,-1.171391979818325
1,low_vs_W45,region2d_spatial_variance,30,34,40,48,-15.71021627682893
1,low_vs_W45,profile_amplitude,30,34,40,48,-4.516213331882415
1,low_vs_W45,region2d_amplitude,30,34,40,48,-6.0767340943017025
1,low_vs_W45,profile_mean,30,34,40,48,2.6968184212615327
1,low_vs_W45,region2d_mean,30,34,40,48,2.536640153668408
1,early_core_vs_late,profile_spatial_std,26,33,40,52,-1.3255785542059284
1,early_core_vs_late,profile_spatial_variance,26,33,40,52,-18.29122319433759
1,early_core_vs_late,region2d_spatial_std,26,33,40,52,-1.1082798748873763
1,early_core_vs_late,region2d_spatial_variance,26,33,40,52,-15.224689987187297
1,early_core_vs_late,profile_amplitude,26,33,40,52,-3.911077269699973
1,early_core_vs_late,region2d_amplitude,26,33,40,52,-6.316850490134353
1,early_core_vs_late,profile_mean,26,33,40,52,4.172356562877507
1,early_core_vs_late,region2d_mean,26,33,40,52,4.023040195911133
2,low_vs_pre,profile_spatial_std,30,34,20,29,-0.8756208921602058
2,low_vs_pre,profile_spatial_variance,30,34,20,29,-9.766302927538934
2,low_vs_pre,region2d_spatial_std,30,34,20,29,-0.8004372348644742
2,low_vs_pre,region2d_spatial_variance,30,34,20,29,-8.916511380789359
2,low_vs_pre,profile_amplitude,30,34,20,29,-3.67270318180233
2,low_vs_pre,region2d_amplitude,30,34,20,29,-1.8476437343289014
2,low_vs_pre,profile_mean,30,34,20,29,-2.874525948793128
2,low_vs_pre,region2d_mean,30,34,20,29,-2.9456575071869864
2,low_vs_post,profile_spatial_std,30,34,35,39,-1.2796042984982785
2,low_vs_post,profile_spatial_variance,30,34,35,39,-14.605723350041163
2,low_vs_post,region2d_spatial_std,30,34,35,39,-1.0490619246441808
2,low_vs_post,region2d_spatial_variance,30,34,35,39,-11.838870045133014
2,low_vs_post,profile_amplitude,30,34,35,39,-4.271721651194159
2,low_vs_post,region2d_amplitude,30,34,35,39,-5.578217973503058
2,low_vs_post,profile_mean,30,34,35,39,-0.20495695429043082
2,low_vs_post,region2d_mean,30,34,35,39,-0.40287594206245103
2,low_vs_W45,profile_spatial_std,30,34,40,48,-3.0248641251431634
2,low_vs_W45,profile_spatial_variance,30,34,40,48,-39.64437911039191
2,low_vs_W45,region2d_spatial_std,30,34,40,48,-2.919140853640899
2,low_vs_W45,region2d_spatial_variance,30,34,40,48,-38.319691494259594
2,low_vs_W45,profile_amplitude,30,34,40,48,-9.73116713537328
2,low_vs_W45,region2d_amplitude,30,34,40,48,-11.872283737975657
2,low_vs_W45,profile_mean,30,34,40,48,1.211350394262226
2,low_vs_W45,region2d_mean,30,34,40,48,0.8383145765921327
2,early_core_vs_late,profile_spatial_std,26,33,40,52,-2.573390553404331
2,early_core_vs_late,profile_spatial_variance,26,33,40,52,-33.427530726079716
2,early_core_vs_late,region2d_spatial_std,26,33,40,52,-2.4776411667367766
2,early_core_vs_late,region2d_spatial_variance,26,33,40,52,-32.39387940469321
2,early_core_vs_late,profile_amplitude,26,33,40,52,-8.057518285890755
2,early_core_vs_late,region2d_amplitude,26,33,40,52,-11.687789235486875
2,early_core_vs_late,profile_mean,26,33,40,52,2.5197302148330962
2,early_core_vs_late,region2d_mean,26,33,40,52,2.152043830166946
3,low_vs_pre,profile_spatial_std,30,34,20,29,-1.376888961764565
3,low_vs_pre,profile_spatial_variance,30,34,20,29,-15.688813833943733
3,low_vs_pre,region2d_spatial_std,30,34,20,29,-1.3193933641274223
3,low_vs_pre,region2d_spatial_variance,30,34,20,29,-14.737030615816863
3,low_vs_pre,profile_amplitude,30,34,20,29,-5.195681839028852
3,low_vs_pre,region2d_amplitude,30,34,20,29,-2.020169836507165
3,low_vs_pre,profile_mean,30,34,20,29,-3.6580721640956355
3,low_vs_pre,region2d_mean,30,34,20,29,-3.818237847226939
3,low_vs_post,profile_spatial_std,30,34,35,39,-1.4339710952413238
3,low_vs_post,profile_spatial_variance,30,34,35,39,-16.23136045828297
3,low_vs_post,region2d_spatial_std,30,34,35,39,-1.4572241176984981
3,low_vs_post,region2d_spatial_variance,30,34,35,39,-16.405393376699706
3,low_vs_post,profile_amplitude,30,34,35,39,-5.023028205084993
3,low_vs_post,region2d_amplitude,30,34,35,39,-5.690535180396683
3,low_vs_post,profile_mean,30,34,35,39,0.7674324561101358
3,low_vs_post,region2d_mean,30,34,35,39,0.6238294950238767
3,low_vs_W45,profile_spatial_std,30,34,40,48,-2.2631316713770886
3,low_vs_W45,profile_spatial_variance,30,34,40,48,-27.300368778888988
3,low_vs_W45,region2d_spatial_std,30,34,40,48,-2.4145905969275594
3,low_vs_W45,region2d_spatial_variance,30,34,40,48,-29.205120901596644
3,low_vs_W45,profile_amplitude,30,34,40,48,-7.062244686515365
3,low_vs_W45,region2d_amplitude,30,34,40,48,-9.589996036825845
3,low_vs_W45,profile_mean,30,34,40,48,2.036411378578901
3,low_vs_W45,region2d_mean,30,34,40,48,1.7394341998543084
3,early_core_vs_late,profile_spatial_std,26,33,40,52,-1.7807611787043998
3,early_core_vs_late,profile_spatial_variance,26,33,40,52,-21.612145542917084
3,early_core_vs_late,region2d_spatial_std,26,33,40,52,-1.8245433297368487
3,early_core_vs_late,region2d_spatial_variance,26,33,40,52,-22.18713779662172
3,early_core_vs_late,profile_amplitude,26,33,40,52,-5.2760115093258975
3,early_core_vs_late,region2d_amplitude,26,33,40,52,-9.041852721859012
3,early_core_vs_late,profile_mean,26,33,40,52,3.808053089051196
3,early_core_vs_late,region2d_mean,26,33,40,52,3.5591681581974512
4,low_vs_pre,profile_spatial_std,30,34,20,29,0.06293592646913027
4,low_vs_pre,profile_spatial_variance,30,34,20,29,0.8339087458911436
4,low_vs_pre,region2d_spatial_std,30,34,20,29,0.2807260305821968
4,low_vs_pre,region2d_spatial_variance,30,34,20,29,3.6613375864484823
4,low_vs_pre,profile_amplitude,30,34,20,29,-0.40296518635932443
4,low_vs_pre,region2d_amplitude,30,34,20,29,1.9727711089875726
4,low_vs_pre,profile_mean,30,34,20,29,-2.052671327501997
4,low_vs_pre,region2d_mean,30,34,20,29,-2.002534354227393
4,low_vs_post,profile_spatial_std,30,34,35,39,-0.0041301313873738366
4,low_vs_post,profile_spatial_variance,30,34,35,39,-0.0631760520678526
4,low_vs_post,region2d_spatial_std,30,34,35,39,0.007803476524736119
4,low_vs_post,region2d_spatial_variance,30,34,35,39,0.11122325848974413
4,low_vs_post,profile_amplitude,30,34,35,39,0.9784600764559421
4,low_vs_post,region2d_amplitude,30,34,35,39,-3.740410490201583
4,low_vs_post,profile_mean,30,34,35,39,1.2996832287577433
4,low_vs_post,region2d_mean,30,34,35,39,1.2637959204246414
4,low_vs_W45,profile_spatial_std,30,34,40,48,-1.245331267286712
4,low_vs_W45,profile_spatial_variance,30,34,40,48,-18.383200657640444
4,low_vs_W45,region2d_spatial_std,30,34,40,48,-0.9142812395606565
4,low_vs_W45,region2d_spatial_variance,30,34,40,48,-13.186796230339063
4,low_vs_W45,profile_amplitude,30,34,40,48,-3.364051045420265
4,low_vs_W45,region2d_amplitude,30,34,40,48,-5.389437695210827
4,low_vs_W45,profile_mean,30,34,40,48,2.754202768533826
4,low_vs_W45,region2d_mean,30,34,40,48,2.5961470663723176
4,early_core_vs_late,profile_spatial_std,26,33,40,52,-1.2647519044703808
4,early_core_vs_late,profile_spatial_variance,26,33,40,52,-18.58125717325759
4,early_core_vs_late,region2d_spatial_std,26,33,40,52,-1.0467011787826657
4,early_core_vs_late,region2d_spatial_variance,26,33,40,52,-14.921749512561483
4,early_core_vs_late,profile_amplitude,26,33,40,52,-3.1862626913732157
4,early_core_vs_late,region2d_amplitude,26,33,40,52,-6.670646314140921
4,early_core_vs_late,profile_mean,26,33,40,52,4.071319616984404
4,early_core_vs_late,region2d_mean,26,33,40,52,3.8953548538411766
5,low_vs_pre,profile_spatial_std,30,34,20,29,-1.4515660963730355
5,low_vs_pre,profile_spatial_variance,30,34,20,29,-16.806362769307754
5,low_vs_pre,region2d_spatial_std,30,34,20,29,-1.3147794150426506
5,low_vs_pre,region2d_spatial_variance,30,34,20,29,-14.701497326159068
5,low_vs_pre,profile_amplitude,30,34,20,29,-5.533410389138766
5,low_vs_pre,region2d_amplitude,30,34,20,29,-3.0235637017955774
5,low_vs_pre,profile_mean,30,34,20,29,-4.132846453835747
5,low_vs_pre,region2d_mean,30,34,20,29,-4.295836852416855
5,low_vs_post,profile_spatial_std,30,34,35,39,-1.316177877823585
5,low_vs_post,profile_spatial_variance,30,34,35,39,-14.43190800477631
5,low_vs_post,region2d_spatial_std,30,34,35,39,-1.310765743477325
5,low_vs_post,region2d_spatial_variance,30,34,35,39,-14.144581975955507
5,low_vs_post,profile_amplitude,30,34,35,39,-4.7379258930799395
5,low_vs_post,region2d_amplitude,30,34,35,39,-6.132909011027699
5,low_vs_post,profile_mean,30,34,35,39,0.33273242437396533
5,low_vs_post,region2d_mean,30,34,35,39,0.17564357951494713
5,low_vs_W45,profile_spatial_std,30,34,40,48,-2.5708353822295527
5,low_vs_W45,profile_spatial_variance,30,34,40,48,-31.479340982106464
5,low_vs_W45,region2d_spatial_std,30,34,40,48,-2.5255917707263764
5,low_vs_W45,region2d_spatial_variance,30,34,40,48,-30.40130857656298
5,low_vs_W45,profile_amplitude,30,34,40,48,-8.354767174362024
5,low_vs_W45,region2d_amplitude,30,34,40,48,-9.99673267638467
5,low_vs_W45,profile_mean,30,34,40,48,1.181925075553064
5,low_vs_W45,region2d_mean,30,34,40,48,0.8668893791352303
5,early_core_vs_late,profile_spatial_std,26,33,40,52,-2.5458366643832777
5,early_core_vs_late,profile_spatial_variance,26,33,40,52,-31.829797940356702
5,early_core_vs_late,region2d_spatial_std,26,33,40,52,-2.477990302632983
5,early_core_vs_late,region2d_spatial_variance,26,33,40,52,-30.390191542577107
5,early_core_vs_late,profile_amplitude,26,33,40,52,-8.01431138270694
5,early_core_vs_late,region2d_amplitude,26,33,40,52,-11.02241798483459
5,early_core_vs_late,profile_mean,26,33,40,52,2.7235868011426305
5,early_core_vs_late,region2d_mean,26,33,40,52,2.408287826235309
6,low_vs_pre,profile_spatial_std,30,34,20,29,-0.9871220088594717
6,low_vs_pre,profile_spatial_variance,30,34,20,29,-10.915123753666702
6,low_vs_pre,region2d_spatial_std,30,34,20,29,-0.9244483323841299
6,low_vs_pre,region2d_spatial_variance,30,34,20,29,-10.05439319889026
6,low_vs_pre,profile_amplitude,30,34,20,29,-3.435189376589296
6,low_vs_pre,region2d_amplitude,30,34,20,29,-2.0769192681341977
6,low_vs_pre,profile_mean,30,34,20,29,-3.5732916423318386
6,low_vs_pre,region2d_mean,30,34,20,29,-3.7138438448575357
6,low_vs_post,profile_spatial_std,30,34,35,39,-0.770015869892771
6,low_vs_post,profile_spatial_variance,30,34,35,39,-8.47202625743834
6,low_vs_post,region2d_spatial_std,30,34,35,39,-0.5925605906051814
6,low_vs_post,region2d_spatial_variance,30,34,35,39,-6.354237348259286
6,low_vs_post,profile_amplitude,30,34,35,39,-3.365826199754668
6,low_vs_post,region2d_amplitude,30,34,35,39,-3.0712705903509487
6,low_vs_post,profile_mean,30,34,35,39,0.8444822226793143
6,low_vs_post,region2d_mean,30,34,35,39,0.7769754385897087
6,low_vs_W45,profile_spatial_std,30,34,40,48,-2.7089074918316065
6,low_vs_W45,profile_spatial_variance,30,34,40,48,-34.73855479419714
6,low_vs_W45,region2d_spatial_std,30,34,40,48,-2.757279409677162
6,low_vs_W45,region2d_spatial_variance,30,34,40,48,-35.32162363430789
6,low_vs_W45,profile_amplitude,30,34,40,48,-8.60206400430232
6,low_vs_W45,region2d_amplitude,30,34,40,48,-10.321860839181234
6,low_vs_W45,profile_mean,30,34,40,48,1.5966260107496844
6,low_vs_W45,region2d_mean,30,34,40,48,1.2768728544084453
6,early_core_vs_late,profile_spatial_std,26,33,40,52,-2.192548299973061
6,early_core_vs_late,profile_spatial_variance,26,33,40,52,-28.70377662077944
6,early_core_vs_late,region2d_spatial_std,26,33,40,52,-2.1822833636027905
6,early_core_vs_late,region2d_spatial_variance,26,33,40,52,-28.64469433098565
6,early_core_vs_late,profile_amplitude,26,33,40,52,-6.728525632459533
6,early_core_vs_late,region2d_amplitude,26,33,40,52,-9.0417057966932
6,early_core_vs_late,profile_mean,26,33,40,52,3.434144536777797
6,early_core_vs_late,region2d_mean,26,33,40,52,3.1784614115549807
7,low_vs_pre,profile_spatial_std,30,34,20,29,-0.5053383543693801
7,low_vs_pre,profile_spatial_variance,30,34,20,29,-5.513479751043015
7,low_vs_pre,region2d_spatial_std,30,34,20,29,-0.3349226260863869
7,low_vs_pre,region2d_spatial_variance,30,34,20,29,-3.6378321796088393
7,low_vs_pre,profile_amplitude,30,34,20,29,-1.4621690310120705
7,low_vs_pre,region2d_amplitude,30,34,20,29,0.0030335186849619333
7,low_vs_pre,profile_mean,30,34,20,29,-3.4129742378419934
7,low_vs_pre,region2d_mean,30,34,20,29,-3.4931563046440957
7,low_vs_post,profile_spatial_std,30,34,35,39,-1.060305577587469
7,low_vs_post,profile_spatial_variance,30,34,35,39,-12.321039330031425
7,low_vs_post,region2d_spatial_std,30,34,35,39,-0.8730682287769449
