rep,n_total_days,n_valid_days,n_invalid_days,invalid_fraction,sample_valid_flag,skip_reason
0,183,175,8,0.04371584699453552,True,
1,183,175,8,0.04371584699453552,True,
2,183,175,8,0.04371584699453552,True,
3,183,175,8,0.04371584699453552,True,
4,183,175,8,0.04371584699453552,True,
5,183,175,8,0.04371584699453552,True,
6,183,175,8,0.04371584699453552,True,
7,183,175,8,0.04371584699453552,True,
8,183,175,8,0.04371584699453552,True,
9,183,175,8,0.04371584699453552,True,
10,183,175,8,0.04371584699453552,True,
11,183,175,8,0.04371584699453552,True,
12,183,175,8,0.04371584699453552,True,
13,183,175,8,0.04371584699453552,True,
14,183,175,8,0.04371584699453552,True,
15,183,175,8,0.04371584699453552,True,
16,183,175,8,0.04371584699453552,True,
17,183,175,8,0.04371584699453552,True,
18,183,175,8,0.04371584699453552,True,
19,183,175,8,0.04371584699453552,True,
20,183,175,8,0.04371584699453552,True,
21,183,175,8,0.04371584699453552,True,
22,183,175,8,0.04371584699453552,True,
23,183,175,8,0.04371584699453552,True,
24,183,175,8,0.04371584699453552,True,
25,183,175,8,0.04371584699453552,True,
26,183,175,8,0.04371584699453552,True,
27,183,175,8,0.04371584699453552,True,
28,183,175,8,0.04371584699453552,True,
29,183,175,8,0.04371584699453552,True,
30,183,175,8,0.04371584699453552,True,
31,183,175,8,0.04371584699453552,True,
32,183,175,8,0.04371584699453552,True,
33,183,175,8,0.04371584699453552,True,
34,183,175,8,0.04371584699453552,True,
35,183,175,8,0.04371584699453552,True,
36,183,175,8,0.04371584699453552,True,
37,183,175,8,0.04371584699453552,True,
38,183,175,8,0.04371584699453552,True,
39,183,175,8,0.04371584699453552,True,
40,183,175,8,0.04371584699453552,True,
41,183,175,8,0.04371584699453552,True,
42,183,175,8,0.04371584699453552,True,
43,183,175,8,0.04371584699453552,True,
44,183,175,8,0.04371584699453552,True,
45,183,175,8,0.04371584699453552,True,
46,183,175,8,0.04371584699453552,True,
47,183,175,8,0.04371584699453552,True,
48,183,175,8,0.04371584699453552,True,
49,183,175,8,0.04371584699453552,True,
50,183,175,8,0.04371584699453552,True,
51,183,175,8,0.04371584699453552,True,
52,183,175,8,0.04371584699453552,True,
53,183,175,8,0.04371584699453552,True,
54,183,175,8,0.04371584699453552,True,
55,183,175,8,0.04371584699453552,True,
56,183,175,8,0.04371584699453552,True,
57,183,175,8,0.04371584699453552,True,
58,183,175,8,0.04371584699453552,True,
59,183,175,8,0.04371584699453552,True,
60,183,175,8,0.04371584699453552,True,
61,183,175,8,0.04371584699453552,True,
62,183,175,8,0.04371584699453552,True,
63,183,175,8,0.04371584699453552,True,
64,183,175,8,0.04371584699453552,True,
65,183,175,8,0.04371584699453552,True,
66,183,175,8,0.04371584699453552,True,
67,183,175,8,0.04371584699453552,True,
68,183,175,8,0.04371584699453552,True,
69,183,175,8,0.04371584699453552,True,
70,183,175,8,0.04371584699453552,True,
71,183,175,8,0.04371584699453552,True,
72,183,175,8,0.04371584699453552,True,
73,183,175,8,0.04371584699453552,True,
74,183,175,8,0.04371584699453552,True,
75,183,175,8,0.04371584699453552,True,
76,183,175,8,0.04371584699453552,True,
77,183,175,8,0.04371584699453552,True,
78,183,175,8,0.04371584699453552,True,
79,183,175,8,0.04371584699453552,True,
80,183,175,8,0.04371584699453552,True,
81,183,175,8,0.04371584699453552,True,
82,183,175,8,0.04371584699453552,True,
83,183,175,8,0.04371584699453552,True,
84,183,175,8,0.04371584699453552,True,
85,183,175,8,0.04371584699453552,True,
86,183,175,8,0.04371584699453552,True,
87,183,175,8,0.04371584699453552,True,
88,183,175,8,0.04371584699453552,True,
89,183,175,8,0.04371584699453552,True,
90,183,175,8,0.04371584699453552,True,
91,183,175,8,0.04371584699453552,True,
92,183,175,8,0.04371584699453552,True,
93,183,175,8,0.04371584699453552,True,
94,183,175,8,0.04371584699453552,True,
95,183,175,8,0.04371584699453552,True,
96,183,175,8,0.04371584699453552,True,
97,183,175,8,0.04371584699453552,True,
98,183,175,8,0.04371584699453552,True,
99,183,175,8,0.04371584699453552,True,
