point_id,point_day,observed_peak_score,p_global_fwer,p_local,p_exist_local,p_exceed_local_conditional,local_joint_challenge_score,n_null_reps,n_null_reps_with_local_peak
RP001,45,5.878578493131532,1.0,1.0,0.442,1.0,0.442,500,221
RP002,81,9.238311473412097,1.0,0.9814814814814815,0.43,0.9814814814814815,0.42203703703703704,500,215
RP003,113,9.678099825113602,1.0,0.9466019417475728,0.41,0.9466019417475728,0.38810679611650484,500,205
LP006,132,3.7541518352022365,1.0,1.0,0.384,1.0,0.384,500,192
RP004,135,3.7666081070788318,1.0,1.0,0.38,1.0,0.38,500,190
RP005,160,7.120567750300529,1.0,0.9891891891891892,0.368,0.9891891891891892,0.3640216216216216,500,184
