window_id,object_A,object_B,A_peak_day,B_peak_day,delta_observed,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,peak_order_decision
W081,P,V,82.0,80.0,-2.0,-2.0,-11.0,7.0,0.198,0.673,0.129,B_peak_earlier_tendency
W081,P,H,82.0,77.0,-5.0,-4.0,-12.0,4.0,0.062,0.895,0.043,B_peak_earlier_tendency
W081,P,Je,82.0,81.0,-1.0,-1.0,-13.0,9.0,0.3360242179616549,0.5882946518668012,0.07568113017154389,B_peak_earlier_tendency
W081,P,Jw,82.0,83.0,1.0,0.0,-9.0,9.0,0.44544544544544545,0.44644644644644643,0.10810810810810811,peak_order_unresolved
W081,V,H,80.0,77.0,-3.0,-2.0,-11.0,7.0,0.143,0.754,0.103,B_peak_earlier_tendency
W081,V,Je,80.0,81.0,1.0,0.0,-12.0,12.0,0.49142280524722504,0.4318869828456105,0.07669021190716448,peak_order_unresolved
W081,V,Jw,80.0,83.0,3.0,2.0,-9.0,13.0,0.6576576576576577,0.2602602602602603,0.08208208208208208,A_peak_earlier_tendency
W081,H,Je,77.0,81.0,4.0,2.0,-9.0,13.25,0.6619576185671039,0.2512613521695257,0.08678102926337034,A_peak_earlier_tendency
W081,H,Jw,77.0,83.0,6.0,5.0,-6.0,14.0,0.7957957957957958,0.15315315315315314,0.05105105105105105,A_peak_earlier_tendency
W081,Je,Jw,81.0,83.0,2.0,1.0,-8.0,13.274999999999977,0.5454545454545454,0.3686868686868687,0.08585858585858586,A_peak_earlier_tendency
