replicate_id,replicate_kind,point_id,point_day,month_day,point_role_group,point_role_detail,is_headline_primary,neighbor_group_id,matched_candidate_id,matched_candidate_kind,nearest_peak_day,nearest_peak_score,day_offset,match_type,matched_flag,strict_match_flag,near_support_flag,no_match_flag,ambiguous_match,match_confidence_class,path_width,path_pen,path_config_signature
5,param_path,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,LP006,local_peak,132,3.7541518352022365,0,strict_match,True,True,False,False,False,high_confidence,20,4.5,w20_pen4.50
5,param_path,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP004,formal_primary,135,3.7666081070788318,0,strict_match,True,True,False,False,False,high_confidence,20,4.5,w20_pen4.50
5,param_path,RP005,160,09-08,formal_primary,headline_primary,True,,RP005,formal_primary,160,7.120567750300529,0,strict_match,True,True,False,False,False,high_confidence,20,4.5,w20_pen4.50
6,param_path,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,45,7.015995267788264,0,strict_match,True,True,False,False,False,high_confidence,22,3.5,w22_pen3.50
6,param_path,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,81,11.647851460811733,0,strict_match,True,True,False,False,False,high_confidence,22,3.5,w22_pen3.50
6,param_path,RP003,113,07-23,formal_primary,headline_primary,True,,RP003,formal_primary,113,11.803236805232808,0,strict_match,True,True,False,False,False,high_confidence,22,3.5,w22_pen3.50
6,param_path,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,RP004,formal_primary,134,4.7763344993153805,2,strict_match,True,True,False,False,True,ambiguous,22,3.5,w22_pen3.50
6,param_path,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP004,formal_primary,134,4.7763344993153805,-1,strict_match,True,True,False,False,True,ambiguous,22,3.5,w22_pen3.50
6,param_path,RP005,160,09-08,formal_primary,headline_primary,True,,RP005,formal_primary,159,8.920690725931852,-1,strict_match,True,True,False,False,False,high_confidence,22,3.5,w22_pen3.50
7,param_path,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,45,7.015995267788264,0,strict_match,True,True,False,False,False,high_confidence,22,4.0,w22_pen4.00
7,param_path,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,81,11.647851460811733,0,strict_match,True,True,False,False,False,high_confidence,22,4.0,w22_pen4.00
7,param_path,RP003,113,07-23,formal_primary,headline_primary,True,,RP003,formal_primary,113,11.803236805232808,0,strict_match,True,True,False,False,False,high_confidence,22,4.0,w22_pen4.00
7,param_path,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,RP004,formal_primary,134,4.7763344993153805,2,strict_match,True,True,False,False,True,ambiguous,22,4.0,w22_pen4.00
7,param_path,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP004,formal_primary,134,4.7763344993153805,-1,strict_match,True,True,False,False,True,ambiguous,22,4.0,w22_pen4.00
7,param_path,RP005,160,09-08,formal_primary,headline_primary,True,,RP005,formal_primary,159,8.920690725931852,-1,strict_match,True,True,False,False,False,high_confidence,22,4.0,w22_pen4.00
8,param_path,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,45,7.015995267788264,0,strict_match,True,True,False,False,False,high_confidence,22,4.5,w22_pen4.50
8,param_path,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,81,11.647851460811733,0,strict_match,True,True,False,False,False,high_confidence,22,4.5,w22_pen4.50
8,param_path,RP003,113,07-23,formal_primary,headline_primary,True,,RP003,formal_primary,113,11.803236805232808,0,strict_match,True,True,False,False,False,high_confidence,22,4.5,w22_pen4.50
8,param_path,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,RP004,formal_primary,134,4.7763344993153805,2,strict_match,True,True,False,False,True,ambiguous,22,4.5,w22_pen4.50
8,param_path,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP004,formal_primary,134,4.7763344993153805,-1,strict_match,True,True,False,False,True,ambiguous,22,4.5,w22_pen4.50
8,param_path,RP005,160,09-08,formal_primary,headline_primary,True,,RP005,formal_primary,159,8.920690725931852,-1,strict_match,True,True,False,False,False,high_confidence,22,4.5,w22_pen4.50
