point_id,point_day,month_day,reference_rank,point_role_group,point_role_detail,is_formal_primary,is_headline_primary,neighbor_group_id,source_run_tag,raw_point_day,matched_peak_day,peak_score,peak_prominence
RP001,45,05-16,1.0,formal_primary,headline_primary,True,True,,mainline_v4_b,44.0,45.0,5.878578493131532,
RP002,81,06-21,2.0,formal_primary,headline_primary,True,True,,mainline_v4_b,80.0,81.0,9.238311473412097,
RP003,113,07-23,3.0,formal_primary,headline_primary,True,True,,mainline_v4_b,112.0,113.0,9.678099825113602,
LP006,132,08-11,,neighbor_competition,neighbor_local_peak,False,False,NG001,mainline_v4_b,,,3.7541518352022365,
RP004,135,08-14,4.0,formal_primary,headline_primary,True,True,NG001,mainline_v4_b,134.0,135.0,3.7666081070788318,
RP005,160,09-08,5.0,formal_primary,headline_primary,True,True,,mainline_v4_b,159.0,160.0,7.120567750300529,
