window_id,target_name,score_group,n_bootstrap,n_valid_delta,object_A,object_B,P_A_earlier,P_B_earlier,P_same_day,dominant_order_direction,dominant_order_probability,delta_median,delta_q025,delta_q975,order_level
W081,W081_P_vs_V_delta_peak,high,334,334,P,V,0.38922155688622756,0.41916167664670656,0.19161676646706588,V_earlier,0.41916167664670656,0.0,-6.0,11.0,weak_or_none
W081,W081_P_vs_V_delta_peak,mid,333,333,P,V,0.15915915915915915,0.7087087087087087,0.13213213213213212,V_earlier,0.7087087087087087,-2.0,-10.7,4.699999999999989,weak_or_none
W081,W081_P_vs_V_delta_peak,low,333,333,P,V,0.04504504504504504,0.8918918918918919,0.06306306306306306,V_earlier,0.8918918918918919,-3.0,-13.7,1.0,weak_or_none
W081,W081_P_vs_H_delta_peak,high,334,334,P,H,0.07784431137724551,0.8532934131736527,0.0688622754491018,H_earlier,0.8532934131736527,-2.0,-9.0,3.0,weak_or_none
W081,W081_P_vs_H_delta_peak,mid,333,333,P,H,0.07207207207207207,0.8858858858858859,0.042042042042042045,H_earlier,0.8858858858858859,-4.0,-10.7,7.0,weak_or_none
W081,W081_P_vs_H_delta_peak,low,333,333,P,H,0.036036036036036036,0.9459459459459459,0.018018018018018018,H_earlier,0.9459459459459459,-6.0,-14.7,1.6999999999999886,usable_90
W081,W081_P_vs_Je_delta_peak,high,334,330,P,Je,0.5333333333333333,0.35454545454545455,0.11212121212121212,P_earlier,0.5333333333333333,1.0,-9.0,9.0,weak_or_none
W081,W081_P_vs_Je_delta_peak,mid,333,331,P,Je,0.29003021148036257,0.6344410876132931,0.0755287009063444,Je_earlier,0.6344410876132931,-2.0,-12.75,7.0,weak_or_none
W081,W081_P_vs_Je_delta_peak,low,333,330,P,Je,0.18484848484848485,0.7757575757575758,0.03939393939393939,Je_earlier,0.7757575757575758,-5.0,-13.0,7.0,weak_or_none
W081,W081_P_vs_Jw_delta_peak,high,334,334,P,Jw,0.7305389221556886,0.17365269461077845,0.09580838323353294,P_earlier,0.7305389221556886,3.0,-4.0,10.0,weak_or_none
W081,W081_P_vs_Jw_delta_peak,mid,333,332,P,Jw,0.4307228915662651,0.4397590361445783,0.12951807228915663,Jw_earlier,0.4397590361445783,0.0,-6.725,7.0,weak_or_none
W081,W081_P_vs_Jw_delta_peak,low,333,333,P,Jw,0.17417417417417416,0.7267267267267268,0.0990990990990991,Jw_earlier,0.7267267267267268,-3.0,-11.0,7.0,weak_or_none
W081,W081_V_vs_H_delta_peak,high,334,334,V,H,0.2634730538922156,0.5598802395209581,0.17664670658682635,H_earlier,0.5598802395209581,-1.0,-5.674999999999999,9.675000000000011,weak_or_none
W081,W081_V_vs_H_delta_peak,mid,333,333,V,H,0.12012012012012012,0.8048048048048048,0.07507507507507508,H_earlier,0.8048048048048048,-2.0,-9.0,6.0,weak_or_none
W081,W081_V_vs_H_delta_peak,low,333,333,V,H,0.04504504504504504,0.8978978978978979,0.057057057057057055,H_earlier,0.8978978978978979,-4.0,-14.0,2.0,weak_or_none
W081,W081_V_vs_Je_delta_peak,high,334,330,V,Je,0.7696969696969697,0.16666666666666666,0.06363636363636363,V_earlier,0.7696969696969697,3.0,-7.775,13.0,weak_or_none
