window_id,target_name,observed_abs_corr,signflip_n,signflip_corr_q90,signflip_corr_q95,signflip_corr_q99,signflip_percentile,signflip_level
W081,W081_P_vs_V_delta_peak,0.4704035328869039,300,0.17062121243295414,0.17666961538463538,0.19489893737900413,1.0,direction_specific_99
W081,W081_P_vs_H_delta_peak,0.4495433741964367,300,0.167411814326047,0.1747501783705037,0.18997553373328088,1.0,direction_specific_99
W081,W081_P_vs_Je_delta_peak,0.41611416334869156,300,0.16904084321228124,0.1828118502343208,0.1933948344763577,1.0,direction_specific_99
W081,W081_P_vs_Jw_delta_peak,0.5099771455558172,300,0.17083392853651272,0.17943666684550555,0.20297106737738685,1.0,direction_specific_99
W081,W081_V_vs_H_delta_peak,0.4510246029684629,300,0.1731131245603427,0.17944467094635527,0.1936058030144545,1.0,direction_specific_99
W081,W081_V_vs_Je_delta_peak,0.5205514739202906,300,0.17035062471283102,0.18203967138173474,0.1931062595521447,1.0,direction_specific_99
W081,W081_V_vs_Jw_delta_peak,0.6153032357308751,300,0.17365919460094079,0.18068699649545772,0.19965516955753543,1.0,direction_specific_99
W081,W081_H_vs_Je_delta_peak,0.4210209641445479,300,0.1693518196308192,0.17784202883656974,0.19117354817296917,1.0,direction_specific_99
W081,W081_H_vs_Jw_delta_peak,0.6295171312138244,300,0.17006155497790254,0.17870633970372035,0.1977482478457725,1.0,direction_specific_99
W081,W081_Je_vs_Jw_delta_peak,0.49287575133571854,300,0.16903198768829691,0.17372481653783528,0.1864594757954823,1.0,direction_specific_99
