window_id,mode_target,tested_y_target,corr_score_y,abs_corr_score_y,own_target_corr,max_other_target_corr,own_minus_max_other,own_abs_rank,n_targets_tested,specificity_margin,specificity_status
W081,W081_P_vs_V_delta_peak,W081_P_vs_V_delta_peak,0.47040353288690395,0.47040353288690395,0.47040353288690395,0.4359397851547716,0.034463747732132344,1,10,0.05,common_mode
W081,W081_P_vs_V_delta_peak,W081_P_vs_H_delta_peak,0.23585156041698088,0.23585156041698088,0.47040353288690395,0.4359397851547716,0.034463747732132344,1,10,0.05,common_mode
W081,W081_P_vs_V_delta_peak,W081_P_vs_Je_delta_peak,-0.08012316732283752,0.08012316732283752,0.47040353288690395,0.4359397851547716,0.034463747732132344,1,10,0.05,common_mode
W081,W081_P_vs_V_delta_peak,W081_P_vs_Jw_delta_peak,-0.044366656645591925,0.044366656645591925,0.47040353288690395,0.4359397851547716,0.034463747732132344,1,10,0.05,common_mode
W081,W081_P_vs_V_delta_peak,W081_V_vs_H_delta_peak,-0.25660833898183344,0.25660833898183344,0.47040353288690395,0.4359397851547716,0.034463747732132344,1,10,0.05,common_mode
W081,W081_P_vs_V_delta_peak,W081_V_vs_Je_delta_peak,-0.4107669916949438,0.4107669916949438,0.47040353288690395,0.4359397851547716,0.034463747732132344,1,10,0.05,common_mode
W081,W081_P_vs_V_delta_peak,W081_V_vs_Jw_delta_peak,-0.4359397851547716,0.4359397851547716,0.47040353288690395,0.4359397851547716,0.034463747732132344,1,10,0.05,common_mode
W081,W081_P_vs_V_delta_peak,W081_H_vs_Je_delta_peak,-0.25251795869419635,0.25251795869419635,0.47040353288690395,0.4359397851547716,0.034463747732132344,1,10,0.05,common_mode
W081,W081_P_vs_V_delta_peak,W081_H_vs_Jw_delta_peak,-0.2383650505650595,0.2383650505650595,0.47040353288690395,0.4359397851547716,0.034463747732132344,1,10,0.05,common_mode
W081,W081_P_vs_V_delta_peak,W081_Je_vs_Jw_delta_peak,0.043362527645900706,0.043362527645900706,0.47040353288690395,0.4359397851547716,0.034463747732132344,1,10,0.05,common_mode
W081,W081_P_vs_H_delta_peak,W081_P_vs_V_delta_peak,0.21897040254495886,0.21897040254495886,0.4495433741964368,0.28620746945456144,0.16333590474187537,1,10,0.05,pair_specific
W081,W081_P_vs_H_delta_peak,W081_P_vs_H_delta_peak,0.4495433741964368,0.4495433741964368,0.4495433741964368,0.28620746945456144,0.16333590474187537,1,10,0.05,pair_specific
W081,W081_P_vs_H_delta_peak,W081_P_vs_Je_delta_peak,0.1812850441595486,0.1812850441595486,0.4495433741964368,0.28620746945456144,0.16333590474187537,1,10,0.05,pair_specific
W081,W081_P_vs_H_delta_peak,W081_P_vs_Jw_delta_peak,0.09732867327332242,0.09732867327332242,0.4495433741964368,0.28620746945456144,0.16333590474187537,1,10,0.05,pair_specific
W081,W081_P_vs_H_delta_peak,W081_V_vs_H_delta_peak,0.22358794774063195,0.22358794774063195,0.4495433741964368,0.28620746945456144,0.16333590474187537,1,10,0.05,pair_specific
W081,W081_P_vs_H_delta_peak,W081_V_vs_Je_delta_peak,0.009708699227001422,0.009708699227001422,0.4495433741964368,0.28620746945456144,0.16333590474187537,1,10,0.05,pair_specific
W081,W081_P_vs_H_delta_peak,W081_V_vs_Jw_delta_peak,-0.09765597867810326,0.09765597867810326,0.4495433741964368,0.28620746945456144,0.16333590474187537,1,10,0.05,pair_specific
W081,W081_P_vs_H_delta_peak,W081_H_vs_Je_delta_peak,-0.15099666946682977,0.15099666946682977,0.4495433741964368,0.28620746945456144,0.16333590474187537,1,10,0.05,pair_specific
W081,W081_P_vs_H_delta_peak,W081_H_vs_Jw_delta_peak,-0.28620746945456144,0.28620746945456144,0.4495433741964368,0.28620746945456144,0.16333590474187537,1,10,0.05,pair_specific
W081,W081_P_vs_H_delta_peak,W081_Je_vs_Jw_delta_peak,-0.09700406692463083,0.09700406692463083,0.4495433741964368,0.28620746945456144,0.16333590474187537,1,10,0.05,pair_specific
