window_id,target_name,object,block_energy,block_contribution_fraction,dominant_object_warning
W081,W081_P_vs_V_delta_peak,H,0.14650073016211554,0.14650073016211557,False
W081,W081_P_vs_V_delta_peak,Je,0.1588614494241149,0.15886144942411493,False
W081,W081_P_vs_V_delta_peak,Jw,0.1451491575968361,0.14514915759683614,False
W081,W081_P_vs_V_delta_peak,P,0.21860448072190242,0.21860448072190244,False
W081,W081_P_vs_V_delta_peak,V,0.3308841820950308,0.33088418209503084,False
W081,W081_P_vs_H_delta_peak,H,0.16449497250016604,0.16449497250016604,False
W081,W081_P_vs_H_delta_peak,Je,0.13388361483049732,0.13388361483049732,False
W081,W081_P_vs_H_delta_peak,Jw,0.293612933742569,0.293612933742569,False
W081,W081_P_vs_H_delta_peak,P,0.2607909220037567,0.2607909220037567,False
W081,W081_P_vs_H_delta_peak,V,0.1472175569230108,0.1472175569230108,False
W081,W081_P_vs_Je_delta_peak,H,0.14798766372603717,0.14798766372603717,False
W081,W081_P_vs_Je_delta_peak,Je,0.1925826219783085,0.1925826219783085,False
W081,W081_P_vs_Je_delta_peak,Jw,0.11511825389147047,0.11511825389147047,False
W081,W081_P_vs_Je_delta_peak,P,0.2682745774311611,0.2682745774311611,False
W081,W081_P_vs_Je_delta_peak,V,0.27603688297302287,0.27603688297302287,False
W081,W081_P_vs_Jw_delta_peak,H,0.17732834535615377,0.17732834535615377,False
W081,W081_P_vs_Jw_delta_peak,Je,0.10093024330144759,0.10093024330144759,False
W081,W081_P_vs_Jw_delta_peak,Jw,0.3114521811444928,0.3114521811444928,False
W081,W081_P_vs_Jw_delta_peak,P,0.2244678524370979,0.2244678524370979,False
W081,W081_P_vs_Jw_delta_peak,V,0.1858213777608081,0.1858213777608081,False
W081,W081_V_vs_H_delta_peak,H,0.1454099145731909,0.14540991457319094,False
W081,W081_V_vs_H_delta_peak,Je,0.15567475992240729,0.1556747599224073,False
W081,W081_V_vs_H_delta_peak,Jw,0.15992005169535428,0.1599200516953543,False
W081,W081_V_vs_H_delta_peak,P,0.22436690680447743,0.2243669068044775,False
W081,W081_V_vs_H_delta_peak,V,0.3146283670045699,0.31462836700457,False
W081,W081_V_vs_Je_delta_peak,H,0.1691932330347503,0.1691932330347503,False
W081,W081_V_vs_Je_delta_peak,Je,0.2139267880910904,0.2139267880910904,False
W081,W081_V_vs_Je_delta_peak,Jw,0.09507753486894997,0.09507753486894997,False
W081,W081_V_vs_Je_delta_peak,P,0.21737692488256682,0.21737692488256682,False
W081,W081_V_vs_Je_delta_peak,V,0.30442551912264254,0.30442551912264254,False
W081,W081_V_vs_Jw_delta_peak,H,0.15649446371653633,0.15649446371653633,False
W081,W081_V_vs_Jw_delta_peak,Je,0.10984629864266299,0.10984629864266299,False
W081,W081_V_vs_Jw_delta_peak,Jw,0.3085867967181391,0.3085867967181391,False
W081,W081_V_vs_Jw_delta_peak,P,0.18223603020212314,0.18223603020212314,False
W081,W081_V_vs_Jw_delta_peak,V,0.24283641072053852,0.24283641072053852,False
W081,W081_H_vs_Je_delta_peak,H,0.18781584300627305,0.18781584300627305,False
W081,W081_H_vs_Je_delta_peak,Je,0.2526796599111561,0.2526796599111561,False
W081,W081_H_vs_Je_delta_peak,Jw,0.18745184692846348,0.18745184692846348,False
W081,W081_H_vs_Je_delta_peak,P,0.19405443562686142,0.19405443562686142,False
W081,W081_H_vs_Je_delta_peak,V,0.17799821452724587,0.17799821452724587,False
W081,W081_H_vs_Jw_delta_peak,H,0.11048842297792982,0.11048842297792985,False
W081,W081_H_vs_Jw_delta_peak,Je,0.14195660020733478,0.1419566002073348,False
W081,W081_H_vs_Jw_delta_peak,Jw,0.43141479069528044,0.43141479069528055,False
W081,W081_H_vs_Jw_delta_peak,P,0.19614585558320116,0.19614585558320122,False
W081,W081_H_vs_Jw_delta_peak,V,0.1199943305362536,0.11999433053625362,False
W081,W081_Je_vs_Jw_delta_peak,H,0.15684300883129976,0.15684300883129976,False
W081,W081_Je_vs_Jw_delta_peak,Je,0.26986358784196807,0.26986358784196807,False
W081,W081_Je_vs_Jw_delta_peak,Jw,0.26917763272639333,0.26917763272639333,False
W081,W081_Je_vs_Jw_delta_peak,P,0.18652842276124804,0.18652842276124804,False
W081,W081_Je_vs_Jw_delta_peak,V,0.11758734783909067,0.11758734783909067,False
