window_id,bootstrap_id
W081,0
W081,1
W081,2
W081,3
W081,4
W081,5
W081,6
W081,7
W081,8
W081,9
W081,10
W081,11
W081,12
W081,13
W081,14
W081,15
W081,16
W081,17
W081,18
W081,19
W081,20
W081,21
W081,22
W081,23
W081,24
W081,25
W081,26
W081,27
W081,28
W081,29
W081,30
W081,31
W081,32
W081,33
W081,34
W081,35
W081,36
W081,37
W081,38
W081,39
W081,40
W081,41
W081,42
W081,43
W081,44
W081,45
W081,46
W081,47
W081,48
W081,49
W081,50
W081,51
W081,52
W081,53
W081,54
W081,55
W081,56
W081,57
W081,58
W081,59
W081,60
W081,61
W081,62
W081,63
W081,64
W081,65
W081,66
W081,67
W081,68
W081,69
W081,70
W081,71
W081,72
W081,73
W081,74
W081,75
W081,76
W081,77
W081,78
W081,79
W081,80
W081,81
W081,82
W081,83
W081,84
W081,85
W081,86
W081,87
W081,88
W081,89
W081,90
W081,91
W081,92
W081,93
W081,94
W081,95
W081,96
W081,97
W081,98
W081,99
W081,100
W081,101
W081,102
W081,103
W081,104
W081,105
W081,106
W081,107
W081,108
W081,109
W081,110
W081,111
W081,112
W081,113
W081,114
W081,115
W081,116
W081,117
W081,118
W081,119
W081,120
W081,121
W081,122
W081,123
W081,124
W081,125
W081,126
W081,127
W081,128
W081,129
W081,130
W081,131
W081,132
W081,133
W081,134
W081,135
W081,136
W081,137
W081,138
W081,139
W081,140
W081,141
W081,142
W081,143
W081,144
W081,145
W081,146
W081,147
W081,148
W081,149
W081,150
W081,151
W081,152
W081,153
W081,154
W081,155
W081,156
W081,157
W081,158
W081,159
W081,160
W081,161
W081,162
W081,163
W081,164
W081,165
W081,166
W081,167
W081,168
W081,169
W081,170
W081,171
W081,172
W081,173
W081,174
W081,175
W081,176
W081,177
W081,178
W081,179
W081,180
W081,181
W081,182
W081,183
W081,184
W081,185
W081,186
W081,187
W081,188
W081,189
W081,190
W081,191
W081,192
W081,193
W081,194
W081,195
W081,196
W081,197
W081,198
W081,199
W081,200
W081,201
W081,202
W081,203
W081,204
W081,205
W081,206
W081,207
W081,208
W081,209
W081,210
W081,211
W081,212
W081,213
W081,214
W081,215
W081,216
W081,217
W081,218
W081,219
W081,220
W081,221
W081,222
W081,223
W081,224
W081,225
W081,226
W081,227
W081,228
W081,229
W081,230
W081,231
W081,232
W081,233
W081,234
W081,235
W081,236
W081,237
W081,238
W081,239
W081,240
W081,241
W081,242
W081,243
W081,244
W081,245
W081,246
W081,247
W081,248
W081,249
W081,250
W081,251
W081,252
W081,253
W081,254
W081,255
W081,256
W081,257
W081,258
W081,259
W081,260
W081,261
W081,262
W081,263
W081,264
W081,265
W081,266
W081,267
W081,268
W081,269
W081,270
W081,271
W081,272
W081,273
W081,274
W081,275
W081,276
W081,277
W081,278
W081,279
W081,280
W081,281
W081,282
W081,283
W081,284
W081,285
W081,286
W081,287
W081,288
W081,289
W081,290
W081,291
W081,292
W081,293
W081,294
W081,295
W081,296
W081,297
W081,298
W081,299
W081,300
W081,301
W081,302
W081,303
W081,304
W081,305
W081,306
