window_id,object,baseline_config,metric,observed
W160,Je,C1_buffered_stage,pattern_mean_late,0.6464109563547511
W160,Je,C1_buffered_stage,pattern_growth_center,151.90940837310592
W160,Je,C1_buffered_stage,pattern_positive_growth_area,1.5783983348289152
W160,Je,C1_buffered_stage,pattern_early_growth_share,0.27828070942773075
W160,Je,C1_buffered_stage,pattern_core_growth_share,0.0546611135381469
W160,Je,C1_buffered_stage,pattern_late_growth_share,0.11301770399338003
W160,Je,C2_immediate_pre,dist_mean_compare,0.38524472791293446
W160,Je,C2_immediate_pre,dist_mean_early,0.1470302083541542
W160,Je,C2_immediate_pre,dist_mean_core,0.36928613132322735
W160,Je,C2_immediate_pre,dist_mean_late,0.6330344054255388
W160,Je,C2_immediate_pre,dist_growth_center,161.20196514358986
W160,Je,C2_immediate_pre,dist_positive_growth_area,0.9509560516566999
W160,Je,C2_immediate_pre,dist_early_growth_share,0.2549520920999768
W160,Je,C2_immediate_pre,dist_core_growth_share,0.19781959306347444
W160,Je,C2_immediate_pre,dist_late_growth_share,0.3630547012349586
W160,Je,C2_immediate_pre,pattern_mean_compare,0.4297371174350047
W160,Je,C2_immediate_pre,pattern_mean_early,0.22476048019589237
W160,Je,C2_immediate_pre,pattern_mean_core,0.5131414813529998
W160,Je,C2_immediate_pre,pattern_mean_late,0.5846711363233201
W160,Je,C2_immediate_pre,pattern_growth_center,152.75338932234615
W160,Je,C2_immediate_pre,pattern_positive_growth_area,1.7268620633323533
W160,Je,C2_immediate_pre,pattern_early_growth_share,0.28700037471701745
W160,Je,C2_immediate_pre,pattern_core_growth_share,0.04965857983673315
W160,Je,C2_immediate_pre,pattern_late_growth_share,0.13545498405614
W160,Jw,C0_full_stage,dist_mean_compare,0.5400645105969317
W160,Jw,C0_full_stage,dist_mean_early,0.31574978414885835
W160,Jw,C0_full_stage,dist_mean_core,0.5325419850582239
W160,Jw,C0_full_stage,dist_mean_late,0.7688927523682295
W160,Jw,C0_full_stage,dist_growth_center,156.88297698210877
W160,Jw,C0_full_stage,dist_positive_growth_area,0.9025848201984468
W160,Jw,C0_full_stage,dist_early_growth_share,0.2776029165240484
W160,Jw,C0_full_stage,dist_core_growth_share,0.18089342954221033
W160,Jw,C0_full_stage,dist_late_growth_share,0.347761728488399
W160,Jw,C0_full_stage,pattern_mean_compare,0.5140694785922088
W160,Jw,C0_full_stage,pattern_mean_early,0.2942635838453954
W160,Jw,C0_full_stage,pattern_mean_core,0.506870734417236
W160,Jw,C0_full_stage,pattern_mean_late,0.7381946198440057
W160,Jw,C0_full_stage,pattern_growth_center,156.11076165560723
W160,Jw,C0_full_stage,pattern_positive_growth_area,1.658810233932297
W160,Jw,C0_full_stage,pattern_early_growth_share,0.151191942883836
W160,Jw,C0_full_stage,pattern_core_growth_share,0.09142364825560956
W160,Jw,C0_full_stage,pattern_late_growth_share,0.187451916537431
W160,Jw,C1_buffered_stage,dist_mean_compare,0.5012346280764595
W160,Jw,C1_buffered_stage,dist_mean_early,0.29777873956824485
W160,Jw,C1_buffered_stage,dist_mean_core,0.4947870916079144
W160,Jw,C1_buffered_stage,dist_mean_late,0.7085590384658011
W160,Jw,C1_buffered_stage,dist_growth_center,157.95944070630856
W160,Jw,C1_buffered_stage,dist_positive_growth_area,0.9324774305139567
W160,Jw,C1_buffered_stage,dist_early_growth_share,0.24500598673264798
W160,Jw,C1_buffered_stage,dist_core_growth_share,0.15883197302685254
W160,Jw,C1_buffered_stage,dist_late_growth_share,0.3037982270660373
W160,Jw,C1_buffered_stage,pattern_mean_compare,0.4676171745171146
W160,Jw,C1_buffered_stage,pattern_mean_early,0.27540087516742295
W160,Jw,C1_buffered_stage,pattern_mean_core,0.4606570002063443
W160,Jw,C1_buffered_stage,pattern_mean_late,0.6640095784532685
W160,Jw,C1_buffered_stage,pattern_growth_center,156.30396229221805
W160,Jw,C1_buffered_stage,pattern_positive_growth_area,1.4795122699371217
W160,Jw,C1_buffered_stage,pattern_early_growth_share,0.15170414296684456
W160,Jw,C1_buffered_stage,pattern_core_growth_share,0.08730286326711839
W160,Jw,C1_buffered_stage,pattern_late_growth_share,0.18963415385409893
W160,Jw,C2_immediate_pre,dist_mean_compare,0.3918337040288268
W160,Jw,C2_immediate_pre,dist_mean_early,0.1424182196480619
W160,Jw,C2_immediate_pre,dist_mean_core,0.3838172103437616
W160,Jw,C2_immediate_pre,dist_mean_late,0.6460590846206309
W160,Jw,C2_immediate_pre,dist_growth_center,161.05383664558374
W160,Jw,C2_immediate_pre,dist_positive_growth_area,0.9591986894113884
W160,Jw,C2_immediate_pre,dist_early_growth_share,0.26705340973252595
W160,Jw,C2_immediate_pre,dist_core_growth_share,0.19050359599963657
W160,Jw,C2_immediate_pre,dist_late_growth_share,0.3604140240998466
W160,Jw,C2_immediate_pre,pattern_mean_compare,0.35257735243012783
W160,Jw,C2_immediate_pre,pattern_mean_early,0.12004439374836587
W160,Jw,C2_immediate_pre,pattern_mean_core,0.3427551619564633
W160,Jw,C2_immediate_pre,pattern_mean_late,0.5910036253960885
W160,Jw,C2_immediate_pre,pattern_growth_center,156.5363033394365
W160,Jw,C2_immediate_pre,pattern_positive_growth_area,1.7760421955641679
W160,Jw,C2_immediate_pre,pattern_early_growth_share,0.15201121058619005
W160,Jw,C2_immediate_pre,pattern_core_growth_share,0.08748783946990295
W160,Jw,C2_immediate_pre,pattern_late_growth_share,0.19392772057177102
W160,P,C0_full_stage,dist_mean_compare,0.5015898237479421
W160,P,C0_full_stage,dist_mean_early,0.28139978917216424
W160,P,C0_full_stage,dist_mean_core,0.4863800891113906
W160,P,C0_full_stage,dist_mean_late,0.7309056991056511
W160,P,C0_full_stage,dist_growth_center,157.29932176467383
W160,P,C0_full_stage,dist_positive_growth_area,0.7178319415722452
W160,P,C0_full_stage,dist_early_growth_share,0.1851798579149494
W160,P,C0_full_stage,dist_core_growth_share,0.31284562289847184
W160,P,C0_full_stage,dist_late_growth_share,0.3010528652086431
W160,P,C0_full_stage,pattern_mean_compare,0.5068911864120932
W160,P,C0_full_stage,pattern_mean_early,0.18657277757316404
W160,P,C0_full_stage,pattern_mean_core,0.46278709249514244
W160,P,C0_full_stage,pattern_mean_late,0.8536720516011929
W160,P,C0_full_stage,pattern_growth_center,155.8674183975759
W160,P,C0_full_stage,pattern_positive_growth_area,1.467345982041137
W160,P,C0_full_stage,pattern_early_growth_share,0.18084902700410133
W160,P,C0_full_stage,pattern_core_growth_share,0.2437024446983748
W160,P,C0_full_stage,pattern_late_growth_share,0.2003155704051886
W160,P,C1_buffered_stage,dist_mean_compare,0.470971211673652
W160,P,C1_buffered_stage,dist_mean_early,0.27397162568948275
W160,P,C1_buffered_stage,dist_mean_core,0.4685473654446138
W160,P,C1_buffered_stage,dist_mean_late,0.669425105395244
W160,P,C1_buffered_stage,dist_growth_center,159.27189453173264
W160,P,C1_buffered_stage,dist_positive_growth_area,0.7884930419858389
W160,P,C1_buffered_stage,dist_early_growth_share,0.19086021769510964
W160,P,C1_buffered_stage,dist_core_growth_share,0.252543570607699
W160,P,C1_buffered_stage,dist_late_growth_share,0.22607297801784004
W160,P,C1_buffered_stage,pattern_mean_compare,0.48155878195241625
W160,P,C1_buffered_stage,pattern_mean_early,0.19771583836198225
W160,P,C1_buffered_stage,pattern_mean_core,0.4528500643890501
W160,P,C1_buffered_stage,pattern_mean_late,0.7826269560808701
W160,P,C1_buffered_stage,pattern_growth_center,156.31896594763342
W160,P,C1_buffered_stage,pattern_positive_growth_area,1.348228069395975
W160,P,C1_buffered_stage,pattern_early_growth_share,0.1995954705227721
W160,P,C1_buffered_stage,pattern_core_growth_share,0.2299893482112857
W160,P,C1_buffered_stage,pattern_late_growth_share,0.18595172513157157
W160,P,C2_immediate_pre,dist_mean_compare,0.430036674708052
W160,P,C2_immediate_pre,dist_mean_early,0.1978824004579466
W160,P,C2_immediate_pre,dist_mean_core,0.449955093648641
W160,P,C2_immediate_pre,dist_mean_late,0.6502398975938042
W160,P,C2_immediate_pre,dist_growth_center,159.31202799117676
W160,P,C2_immediate_pre,dist_positive_growth_area,0.8556302931951767
W160,P,C2_immediate_pre,dist_early_growth_share,0.27886081265701507
W160,P,C2_immediate_pre,dist_core_growth_share,0.23082295923849422
W160,P,C2_immediate_pre,dist_late_growth_share,0.2152631750010374
W160,P,C2_immediate_pre,pattern_mean_compare,0.41448585236306756
W160,P,C2_immediate_pre,pattern_mean_early,0.08761771552798243
W160,P,C2_immediate_pre,pattern_mean_core,0.4040115288592602
W160,P,C2_immediate_pre,pattern_mean_late,0.7476385833004372
W160,P,C2_immediate_pre,pattern_growth_center,157.45503683061997
W160,P,C2_immediate_pre,pattern_positive_growth_area,1.4764870437588093
W160,P,C2_immediate_pre,pattern_early_growth_share,0.22675783869519345
W160,P,C2_immediate_pre,pattern_core_growth_share,0.22810062245150048
W160,P,C2_immediate_pre,pattern_late_growth_share,0.18273255374474298
W160,V,C0_full_stage,dist_mean_compare,0.5077397367580645
W160,V,C0_full_stage,dist_mean_early,0.25171971115012587
W160,V,C0_full_stage,dist_mean_core,0.4536966193905915
W160,V,C0_full_stage,dist_mean_late,0.796185632786487
W160,V,C0_full_stage,dist_growth_center,157.3925227908267
W160,V,C0_full_stage,dist_positive_growth_area,0.8874072359303299
W160,V,C0_full_stage,dist_early_growth_share,0.24554356781869874
W160,V,C0_full_stage,dist_core_growth_share,0.19757038881645017
W160,V,C0_full_stage,dist_late_growth_share,0.432385722671707
W160,V,C0_full_stage,pattern_mean_compare,0.5605140768764764
W160,V,C0_full_stage,pattern_mean_early,0.27138345662714924
W160,V,C0_full_stage,pattern_mean_core,0.5236040937715519
W160,V,C0_full_stage,pattern_mean_late,0.871790686988758
W160,V,C0_full_stage,pattern_growth_center,150.65224100754673
W160,V,C0_full_stage,pattern_positive_growth_area,1.4492612687036028
W160,V,C0_full_stage,pattern_early_growth_share,0.22695974497610585
W160,V,C0_full_stage,pattern_core_growth_share,0.15177037748527622
W160,V,C0_full_stage,pattern_late_growth_share,0.27996396052439076
W160,V,C1_buffered_stage,dist_mean_compare,0.4869667302161372
W160,V,C1_buffered_stage,dist_mean_early,0.24760154003074053
W160,V,C1_buffered_stage,dist_mean_core,0.43824930307788773
W160,V,C1_buffered_stage,dist_mean_late,0.7555623766844837
W160,V,C1_buffered_stage,dist_growth_center,158.48663654003857
W160,V,C1_buffered_stage,dist_positive_growth_area,0.8901908971074062
W160,V,C1_buffered_stage,dist_early_growth_share,0.22823382050072746
W160,V,C1_buffered_stage,dist_core_growth_share,0.18646095444685767
W160,V,C1_buffered_stage,dist_late_growth_share,0.40230744723150774
W160,V,C1_buffered_stage,pattern_mean_compare,0.5483087588410652
W160,V,C1_buffered_stage,pattern_mean_early,0.2717251678308575
W160,V,C1_buffered_stage,pattern_mean_core,0.5149150321584838
W160,V,C1_buffered_stage,pattern_mean_late,0.8449285858608219
W160,V,C1_buffered_stage,pattern_growth_center,151.46352201536348
W160,V,C1_buffered_stage,pattern_positive_growth_area,1.3532868254006405
W160,V,C1_buffered_stage,pattern_early_growth_share,0.22365483186820317
W160,V,C1_buffered_stage,pattern_core_growth_share,0.16141817268108974
W160,V,C1_buffered_stage,pattern_late_growth_share,0.2845928200621491
W160,V,C2_immediate_pre,dist_mean_compare,0.4081914513809436
W160,V,C2_immediate_pre,dist_mean_early,0.1312774411372577
W160,V,C2_immediate_pre,dist_mean_core,0.3531028163854811
W160,V,C2_immediate_pre,dist_mean_late,0.7181586426219069
W160,V,C2_immediate_pre,dist_growth_center,160.38735817282495
W160,V,C2_immediate_pre,dist_positive_growth_area,0.9229804256680098
W160,V,C2_immediate_pre,dist_early_growth_share,0.22726850880461855
W160,V,C2_immediate_pre,dist_core_growth_share,0.21019260075454113
W160,V,C2_immediate_pre,dist_late_growth_share,0.44601813886265645
W160,V,C2_immediate_pre,pattern_mean_compare,0.4439405675688821
W160,V,C2_immediate_pre,pattern_mean_early,0.11360876174445007
W160,V,C2_immediate_pre,pattern_mean_core,0.41378885633884915
W160,V,C2_immediate_pre,pattern_mean_late,0.792363400131334
W160,V,C2_immediate_pre,pattern_growth_center,153.9971922026758
W160,V,C2_immediate_pre,pattern_positive_growth_area,1.4156363363509077
W160,V,C2_immediate_pre,pattern_early_growth_share,0.2023591144242924
W160,V,C2_immediate_pre,pattern_core_growth_share,0.21435735093643263
W160,V,C2_immediate_pre,pattern_late_growth_share,0.292689781664542
