object,baseline_config,pre_start,pre_end,post_start,post_end,pattern_dynamic_range,pattern_branch_valid,Rdiff_pre_mean,Rdiff_post_mean
P,C0_full_stage,119,154,166,182,0.1020666938832577,True,-0.050947726276996695,0.051118967606261015
P,C1_buffered_stage,124,149,171,182,0.0951731190124775,True,-0.04762025562773084,0.047552863384746666
P,C2_immediate_pre,140,149,171,182,0.08226201401140967,True,-0.0410506820685118,0.041211331942897875
V,C0_full_stage,119,154,166,182,1.3555447568088344,True,-0.4866197708713434,0.868924985937491
V,C1_buffered_stage,124,149,171,182,1.5166015395230323,True,-0.6476101882815108,0.8689913512415215
V,C2_immediate_pre,140,149,171,182,0.49594319826221606,True,-0.24580302040597152,0.25014017785624454
H,C0_full_stage,119,154,166,182,0.7504845925586467,True,-0.4004978771198519,0.34998671543879484
H,C1_buffered_stage,124,149,171,182,0.8885008566808786,True,-0.4559270583896503,0.43257379829122833
H,C2_immediate_pre,140,149,171,182,0.5663037453834451,True,-0.2881044871066309,0.2781992582768142
Je,C0_full_stage,119,154,166,182,0.08128970052208219,True,-0.041839017514356924,0.039450683007725265
Je,C1_buffered_stage,124,149,171,182,0.10730877576478653,True,-0.054703734021807456,0.052605041742979086
Je,C2_immediate_pre,140,149,171,182,0.06714712845059848,True,-0.0336157836495987,0.03353134480099977
Jw,C0_full_stage,119,154,166,182,0.09850666026647203,True,-0.049057252439217026,0.049449407827255
Jw,C1_buffered_stage,124,149,171,182,0.1279001251304205,True,-0.06383158699820485,0.06406853813221566
Jw,C2_immediate_pre,140,149,171,182,0.08677774538374024,True,-0.04320194059499144,0.0435758047887488
