window_id,target_name,object_A,object_B,quantile_scheme,fraction_each_tail,high_n,low_n,high_P_A_earlier,high_P_B_earlier,low_P_A_earlier,low_P_B_earlier,high_delta_median,low_delta_median,high_dominant_direction,low_dominant_direction,high_dominant_probability,low_dominant_probability,high_order_level,low_order_level,high_low_reversal_flag
W045,W045_P_vs_V_delta_peak,P,V,tercile,0.3333333333333333,333,333,0.8468468468468469,0.03003003003003003,0.2912912912912913,0.37537537537537535,2.0,0.0,P_earlier,V_earlier,0.8468468468468469,0.37537537537537535,weak_or_none,weak_or_none,True
W045,W045_P_vs_V_delta_peak,P,V,quartile,0.25,250,250,0.868,0.024,0.244,0.408,2.0,0.0,P_earlier,V_earlier,0.868,0.408,weak_or_none,weak_or_none,True
W045,W045_P_vs_V_delta_peak,P,V,quintile,0.2,200,200,0.87,0.025,0.22,0.455,2.5,0.0,P_earlier,V_earlier,0.87,0.455,weak_or_none,weak_or_none,True
W045,W045_P_vs_V_delta_peak,P,V,decile,0.1,100,100,0.91,0.01,0.14,0.51,3.0,-1.0,P_earlier,V_earlier,0.91,0.51,usable_90,weak_or_none,True
W045,W045_P_vs_H_delta_peak,P,H,tercile,0.3333333333333333,333,333,0.4144144144144144,0.5525525525525525,0.15315315315315314,0.8228228228228228,-4.0,-9.0,H_earlier,H_earlier,0.5525525525525525,0.8228228228228228,weak_or_none,weak_or_none,False
W045,W045_P_vs_H_delta_peak,P,H,quartile,0.25,250,250,0.424,0.536,0.152,0.828,-3.0,-9.0,H_earlier,H_earlier,0.536,0.828,weak_or_none,weak_or_none,False
W045,W045_P_vs_H_delta_peak,P,H,quintile,0.2,200,200,0.455,0.505,0.135,0.855,-1.0,-9.0,H_earlier,H_earlier,0.505,0.855,weak_or_none,weak_or_none,False
W045,W045_P_vs_H_delta_peak,P,H,decile,0.1,100,100,0.53,0.45,0.08,0.91,1.5,-10.0,P_earlier,H_earlier,0.53,0.91,weak_or_none,usable_90,True
W045,W045_P_vs_Je_delta_peak,P,Je,tercile,0.3333333333333333,333,333,0.9309309309309309,0.021021021021021023,0.45645645645645644,0.24324324324324326,3.0,0.0,P_earlier,P_earlier,0.9309309309309309,0.45645645645645644,usable_90,weak_or_none,False
W045,W045_P_vs_Je_delta_peak,P,Je,quartile,0.25,250,250,0.956,0.016,0.388,0.272,4.0,0.0,P_earlier,P_earlier,0.956,0.388,credible_95,weak_or_none,False
W045,W045_P_vs_Je_delta_peak,P,Je,quintile,0.2,200,200,0.965,0.015,0.325,0.305,4.0,0.0,P_earlier,P_earlier,0.965,0.325,credible_95,weak_or_none,False
W045,W045_P_vs_Je_delta_peak,P,Je,decile,0.1,100,100,0.97,0.01,0.24,0.39,5.0,0.0,P_earlier,Je_earlier,0.97,0.39,credible_95,weak_or_none,True
W045,W045_P_vs_Jw_delta_peak,P,Jw,tercile,0.3333333333333333,333,333,0.7357357357357357,0.19519519519519518,0.05405405405405406,0.8978978978978979,2.0,-4.0,P_earlier,Jw_earlier,0.7357357357357357,0.8978978978978979,weak_or_none,weak_or_none,True
W045,W045_P_vs_Jw_delta_peak,P,Jw,quartile,0.25,250,250,0.804,0.144,0.036,0.94,3.0,-4.0,P_earlier,Jw_earlier,0.804,0.94,weak_or_none,usable_90,True
W045,W045_P_vs_Jw_delta_peak,P,Jw,quintile,0.2,200,200,0.83,0.115,0.035,0.955,3.0,-4.0,P_earlier,Jw_earlier,0.83,0.955,weak_or_none,credible_95,True
W045,W045_P_vs_Jw_delta_peak,P,Jw,decile,0.1,100,100,0.84,0.08,0.01,0.98,4.0,-5.0,P_earlier,Jw_earlier,0.84,0.98,weak_or_none,credible_95,True
W045,W045_V_vs_H_delta_peak,V,H,tercile,0.3333333333333333,333,333,0.3663663663663664,0.5795795795795796,0.12012012012012012,0.8588588588588588,-6.0,-10.0,H_earlier,H_earlier,0.5795795795795796,0.8588588588588588,weak_or_none,weak_or_none,False
W045,W045_V_vs_H_delta_peak,V,H,quartile,0.25,250,250,0.396,0.556,0.108,0.872,-5.0,-10.0,H_earlier,H_earlier,0.556,0.872,weak_or_none,weak_or_none,False
W045,W045_V_vs_H_delta_peak,V,H,quintile,0.2,200,200,0.435,0.515,0.1,0.88,-1.0,-10.0,H_earlier,H_earlier,0.515,0.88,weak_or_none,weak_or_none,False
