window_id,target_name,object_A,object_B,permutation_level,permutation_percentile,mode_stability_status,mode_pattern_corr_median,corr_score_Y,high_dominant_direction,high_dominant_probability,high_order_level,low_dominant_direction,low_dominant_probability,low_order_level,high_low_reversal_flag,best_group_order_level,top1_year,top1_fraction_of_total_abs_leverage,top3_fraction_of_total_abs_leverage,extreme_year_dominated_flag,evidence_level,recommended_interpretation,interpretation_boundary
W045,W045_P_vs_V_delta_peak,P,V,strict_99,1.0,stable,0.9625257071345057,0.4932497149423273,P_earlier,0.8473053892215568,weak_or_none,V_earlier,0.37537537537537535,weak_or_none,True,weak_or_none,1991,0.08743580643058403,0.19713745572545074,False,weak_bootstrap_coupling_hint,weak bootstrap-space coupling hint; keep as diagnostic only,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W045,W045_P_vs_H_delta_peak,P,H,strict_99,1.0,stable,0.91292011889448,0.3339658408679226,H_earlier,0.5538922155688623,weak_or_none,H_earlier,0.8228228228228228,weak_or_none,False,weak_or_none,1981,0.06620192066526584,0.16193351243193232,False,not_supported,no interpretable bootstrap-space coupling under current gates,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W045,W045_P_vs_Je_delta_peak,P,Je,strict_99,1.0,stable,0.9674420849105201,0.49380371064988154,P_earlier,0.9311377245508982,usable_90,P_earlier,0.45645645645645644,weak_or_none,False,usable_90,1998,0.06103265918673624,0.16757307225041096,False,weak_bootstrap_coupling_hint,weak bootstrap-space coupling hint; keep as diagnostic only,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W045,W045_P_vs_Jw_delta_peak,P,Jw,strict_99,1.0,stable,0.9871351102520834,0.6615313265229796,P_earlier,0.7335329341317365,weak_or_none,Jw_earlier,0.8978978978978979,weak_or_none,True,weak_or_none,1991,0.08500106270580299,0.22292410432382648,False,weak_bootstrap_coupling_hint,weak bootstrap-space coupling hint; keep as diagnostic only,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W045,W045_V_vs_H_delta_peak,V,H,strict_99,1.0,stable,0.9106726706683494,0.3421668830415994,H_earlier,0.5808383233532934,weak_or_none,H_earlier,0.8588588588588588,weak_or_none,False,weak_or_none,1981,0.06581045697770413,0.1841920731927715,False,not_supported,no interpretable bootstrap-space coupling under current gates,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W045,W045_V_vs_Je_delta_peak,V,Je,strict_99,1.0,stable,0.9729020276790583,0.5155568704279588,V_earlier,0.9011976047904192,usable_90,Je_earlier,0.4864864864864865,weak_or_none,True,usable_90,1998,0.06893316782776968,0.1685351400186119,False,moderate_bootstrap_coupling_candidate,bootstrap-space X-Y coupling has usable/credible order differentiation; needs composite/physical audit,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W045,W045_V_vs_Jw_delta_peak,V,Jw,strict_99,1.0,stable,0.9837310786069913,0.6298003314712044,V_earlier,0.6197604790419161,weak_or_none,Jw_earlier,0.9429429429429429,usable_90,True,usable_90,1982,0.08326203337319711,0.22086426788451818,False,moderate_bootstrap_coupling_candidate,bootstrap-space X-Y coupling has usable/credible order differentiation; needs composite/physical audit,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W045,W045_H_vs_Je_delta_peak,H,Je,strict_99,1.0,stable,0.9284443497113358,0.3224950798605539,H_earlier,0.8802395209580839,weak_or_none,H_earlier,0.5585585585585585,weak_or_none,False,weak_or_none,1998,0.07020658418833602,0.18070618733115362,False,not_supported,no interpretable bootstrap-space coupling under current gates,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W045,W045_H_vs_Jw_delta_peak,H,Jw,strict_99,1.0,stable,0.9550913990949983,0.3637043323746504,H_earlier,0.8383233532934131,weak_or_none,H_earlier,0.5705705705705706,weak_or_none,False,weak_or_none,1991,0.08380507482850809,0.2184004554089325,False,not_supported,no interpretable bootstrap-space coupling under current gates,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,strict_99,1.0,stable,0.9841165613777114,0.6215023015394344,Je_earlier,0.5089820359281437,weak_or_none,Jw_earlier,0.978978978978979,credible_95,True,credible_95,1991,0.07035322413660594,0.1937428135261682,False,moderate_bootstrap_coupling_candidate,bootstrap-space X-Y coupling has usable/credible order differentiation; needs composite/physical audit,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
