day,profile_score
14,2.7194449472702154
15,2.853714640818626
16,2.945362100875002
17,2.989877213227798
18,3.021425291663116
19,3.0048275835008926
20,2.8837507068777226
21,2.694271762136638
22,2.52216472326346
23,2.37943382448635
24,2.2741441053641447
25,2.2313165238893236
26,2.2522386783845523
27,2.312460740606363
28,2.3983446824768286
29,2.519489329910296
30,2.6917898167140315
31,2.8784121778990777
32,3.046419020382448
33,3.1975777503260083
34,3.2980092718154865
35,3.335103032401124
36,3.3931509699866567
37,3.5237476342607974
38,3.7132988032995504
39,3.999815973788716
40,4.363523310458847
41,4.727993905750284
42,5.077872230628938
43,5.4278017136018795
44,5.7399317023308
45,5.878578493131532
46,5.662208625691477
47,5.098127034238413
48,4.380634547549259
49,3.646711707014274
50,2.9956935073950817
51,2.4480865827338416
52,1.957490427579746
53,1.5565972492416584
54,1.3034741142014357
55,1.2078892563686945
56,1.2303529363163226
57,1.2859800958787817
58,1.334610470262608
59,1.4028758192129784
60,1.5781264410199511
61,1.9058579948835224
62,2.3484472994885826
63,2.823831869562749
64,3.249025077138967
65,3.5364138631221955
66,3.6569178518774326
67,3.7681905113872727
68,3.9177008473127786
69,4.096964857791782
70,4.303813212941761
71,4.60840426549536
72,5.0826664293737185
73,5.752530537666686
74,6.509191591428316
75,7.265458068165927
76,7.903485599567981
77,8.36940698461142
78,8.702196584549725
79,8.963815889571627
80,9.15261531706625
81,9.238311473412097
82,9.150578850725495
83,8.83770957530883
84,8.384771400026668
85,7.811055967555555
86,7.1732840339711705
87,6.542596302200253
88,5.946092806871414
89,5.510069805013176
90,5.276059938016008
91,5.250551946776771
92,5.451313056894176
93,5.757495782562566
94,6.112403439313082
95,6.388209209653634
96,6.44414632933013
97,6.360199173943209
98,6.227543755062253
99,6.031790119907988
100,5.785162872198661
101,5.528492417170016
102,5.264311243204539
103,5.06355541926111
104,5.009790199352456
105,5.176241648913647
106,5.592652819825159
107,6.1931779794040835
108,6.917998857282593
109,7.734218726025778
110,8.535235937274715
111,9.164599599217354
112,9.56167878246637
113,9.678099825113602
114,9.507914805866257
115,8.992359717512796
116,8.110438819364102
117,6.945101585574619
118,5.6647143626319005
119,4.444183212108407
120,3.4283770587504643
121,2.6928479091170816
122,2.258414451199649
123,2.122007485377126
124,2.2238463981617205
125,2.4682857227253887
126,2.746502578801041
127,3.0053272042952877
128,3.24915189121532
129,3.467988894797228
130,3.64378823421999
131,3.734882364177884
132,3.7541518352022365
133,3.744377058368578
134,3.748590525604492
135,3.7666081070788318
136,3.7375925801899332
137,3.611732846973064
138,3.386235899770932
139,3.1398962772661485
140,2.936669333473823
141,2.7767835819555975
142,2.6295016992780376
143,2.4779520745709824
144,2.3509912797087757
145,2.295650634672921
146,2.3209106780925057
147,2.432908133579594
148,2.611451092669098
149,2.8742110592525587
150,3.2219197262799613
151,3.6536888706773896
152,4.209401506963685
153,4.871019416621349
154,5.570357695814172
155,6.14702071108349
156,6.536710569601837
157,6.789772002556065
158,6.972669107222874
159,7.069011787271995
160,7.120567750300529
161,7.043738321458727
162,6.789520899665313
163,6.400206980840798
164,5.944060332115994
165,5.504941690928279
166,5.078971315399321
167,4.705771422354014
168,4.435834505050471
