object,baseline_config,day,V_dist,V_pattern
P,C0_full_stage,0,,
P,C0_full_stage,1,,
P,C0_full_stage,2,,
P,C0_full_stage,3,,
P,C0_full_stage,4,,
P,C0_full_stage,5,-0.007065377538399253,-0.029901409720472796
P,C0_full_stage,6,-0.004893298920097766,-0.04830815746958489
P,C0_full_stage,7,-0.007265805614059789,-0.008757220048161818
P,C0_full_stage,8,-0.008460339979409676,0.034089304051499375
P,C0_full_stage,9,0.003340855308652052,0.04187694569076823
P,C0_full_stage,10,0.006604086903277129,0.003156051595680387
P,C0_full_stage,11,-0.0012663468348662887,0.0021745491964536845
P,C0_full_stage,12,-0.006376851873195505,0.02507227573324354
P,C0_full_stage,13,-0.0061446401316924415,0.012170977113434567
P,C0_full_stage,14,-0.023185323666731747,0.008467795083217933
P,C0_full_stage,15,-0.010469605920883557,0.02301666280479081
P,C0_full_stage,16,-0.008058944526338027,0.004933739671275909
P,C0_full_stage,17,-0.006454184553444875,-0.013929108603663448
P,C0_full_stage,18,-0.014910725425949956,-0.03959741363655966
P,C0_full_stage,19,0.003921824186922732,-0.029147703742652492
P,C0_full_stage,20,0.020093186677743055,-0.015027692278826332
P,C0_full_stage,21,-0.013706647549270784,0.03085823416054574
P,C0_full_stage,22,-0.01483420161818802,0.04547961207152123
P,C0_full_stage,23,-0.026793991774485507,0.03501975105759694
P,C0_full_stage,24,0.007901814537549144,0.067980866879228
P,C0_full_stage,25,0.007876262469708982,0.017461172985721335
P,C0_full_stage,26,-0.012739958308304322,0.009405705621227348
P,C0_full_stage,27,0.012480157400026774,0.02124739846191112
P,C0_full_stage,28,0.03899021943430788,0.04966431152396886
P,C0_full_stage,29,0.03213593204441391,0.04170192033256323
P,C0_full_stage,30,0.020190679312332094,-0.07283785041877569
P,C0_full_stage,31,0.014159285481818162,-0.03646548317583431
P,C0_full_stage,32,0.007666963352244011,0.01585384241904983
P,C0_full_stage,33,0.01921770344192769,-0.009780798733130036
P,C0_full_stage,34,0.04563615217984604,0.026790687882185513
P,C0_full_stage,35,0.02190668956607353,0.03168683647752045
P,C0_full_stage,36,0.020631499628856464,0.02003763443513057
P,C0_full_stage,37,0.03352975511046169,0.0034966933669271505
P,C0_full_stage,38,0.02122170023533504,0.01717946834631684
P,C0_full_stage,39,0.04041018136973096,0.08272083949372425
P,C0_full_stage,40,0.06437000161042483,0.08531030706128961
P,C0_full_stage,41,0.06754831784769144,0.1140346605772512
P,C0_full_stage,42,0.04886148258389378,0.1260959928068774
P,C0_full_stage,43,0.03445266504193656,0.1212703718571696
P,C0_full_stage,44,0.047093514795863656,0.091899775947067
P,C0_full_stage,45,0.06738952346752192,0.1096207918941472
P,C0_full_stage,46,0.047919349748281825,0.07192259555185454
P,C0_full_stage,47,0.035020847468286376,0.05984239504723521
P,C0_full_stage,48,0.00793033821981759,0.07199781069162947
P,C0_full_stage,49,-0.011033434103233652,0.08156306352558151
P,C0_full_stage,50,0.028443751191860045,-0.0015133753778904246
P,C0_full_stage,51,0.04224828020939553,-0.02379976622328761
P,C0_full_stage,52,0.02415846983844594,-0.023537790444725815
P,C0_full_stage,53,-6.775006115711246e-05,0.0023861790377472936
P,C0_full_stage,54,0.0007806117562200177,-0.02490840755014201
P,C0_full_stage,55,-0.025972650762644656,0.015415588420418791
P,C0_full_stage,56,-0.009828047015165375,-0.0349588494610682
P,C0_full_stage,57,0.01954385758179411,-0.07502002985578105
P,C0_full_stage,58,0.007694642095466886,-0.04423419296831721
P,C0_full_stage,59,-0.013232602218465894,-0.008637829328694502
P,C0_full_stage,60,-0.016919967491098253,-0.006960060289932457
P,C0_full_stage,61,0.007458312508264786,-0.011763868082287465
P,C0_full_stage,62,0.03402072618451035,-0.03604950546900276
P,C0_full_stage,63,0.03212220820970335,-0.006396016448014019
P,C0_full_stage,64,0.015775578244889288,-0.013243470762378307
P,C0_full_stage,65,-0.003321681519242503,0.02038283758122006
P,C0_full_stage,66,-0.012150314244446125,0.04800239919544891
P,C0_full_stage,67,-0.018368569315663774,0.007570205928224993
P,C0_full_stage,68,-0.03241833642949932,-0.009629366583785326
P,C0_full_stage,69,-0.027479831173776947,-0.03208424889789718
P,C0_full_stage,70,-0.009528992430696048,-0.03083060402554927
P,C0_full_stage,71,-0.002834593110596084,-0.019641738946061915
