window_id,object_A,object_B,baseline,branch,P_parallel_state_progress,P_persistent_A_more_postlike,P_persistent_B_more_postlike,P_A_front_B_catchup,P_B_front_A_catchup,P_state_reversal_A_to_B,P_state_reversal_B_to_A,P_multi_crossing_unstable,P_state_unresolved,state_primary_structure,state_primary_support,state_support_class,state_competing_structure,state_competing_support
W045,H,Je,C0_full_stage,dist,0.026,0.002,0.0,0.386,0.0,0.011,0.214,0.36,0.001,A_front_B_catchup,0.386,unresolved,multi_crossing_unstable,0.36
W045,H,Je,C0_full_stage,pattern,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.947,0.0,multi_crossing_unstable,0.947,tendency,state_reversal_A_to_B,0.053
W045,H,Je,C1_buffered_stage,dist,0.02,0.018,0.0,0.46,0.0,0.009,0.141,0.35,0.002,A_front_B_catchup,0.46,unresolved,multi_crossing_unstable,0.35
W045,H,Je,C1_buffered_stage,pattern,0.001,0.0,0.0,0.0,0.0,0.037,0.004,0.958,0.0,multi_crossing_unstable,0.958,supported,state_reversal_A_to_B,0.037
W045,H,Je,C2_immediate_pre,dist,0.022,0.0,0.0,0.146,0.001,0.037,0.364,0.427,0.003,multi_crossing_unstable,0.427,unresolved,state_reversal_B_to_A,0.364
W045,H,Je,C2_immediate_pre,pattern,0.023,0.0,0.0,0.005,0.003,0.261,0.004,0.704,0.0,multi_crossing_unstable,0.704,unresolved,state_reversal_A_to_B,0.261
W045,H,Jw,C0_full_stage,dist,0.0,0.121,0.0,0.531,0.0,0.038,0.014,0.296,0.0,A_front_B_catchup,0.531,unresolved,multi_crossing_unstable,0.296
W045,H,Jw,C0_full_stage,pattern,0.033,0.0,0.0,0.0,0.0,0.0,0.05,0.917,0.0,multi_crossing_unstable,0.917,tendency,state_reversal_B_to_A,0.05
W045,H,Jw,C1_buffered_stage,dist,0.0,0.099,0.0,0.661,0.0,0.02,0.061,0.159,0.0,A_front_B_catchup,0.661,unresolved,multi_crossing_unstable,0.159
W045,H,Jw,C1_buffered_stage,pattern,0.024,0.0,0.0,0.004,0.001,0.002,0.047,0.922,0.0,multi_crossing_unstable,0.922,tendency,state_reversal_B_to_A,0.047
W045,H,Jw,C2_immediate_pre,dist,0.0,0.069,0.0,0.303,0.0,0.265,0.005,0.358,0.0,multi_crossing_unstable,0.358,unresolved,A_front_B_catchup,0.303
W045,H,Jw,C2_immediate_pre,pattern,0.15,0.0,0.0,0.022,0.002,0.002,0.274,0.55,0.0,multi_crossing_unstable,0.55,unresolved,state_reversal_B_to_A,0.274
W045,Je,Jw,C0_full_stage,dist,0.0,0.002,0.0,0.329,0.0,0.253,0.015,0.401,0.0,multi_crossing_unstable,0.401,unresolved,A_front_B_catchup,0.329
W045,Je,Jw,C0_full_stage,pattern,0.004,0.0,0.0,0.0,0.0,0.0,0.21,0.786,0.0,multi_crossing_unstable,0.786,unresolved,state_reversal_B_to_A,0.21
W045,Je,Jw,C1_buffered_stage,dist,0.0,0.003,0.0,0.446,0.0,0.17,0.116,0.265,0.0,A_front_B_catchup,0.446,unresolved,multi_crossing_unstable,0.265
W045,Je,Jw,C1_buffered_stage,pattern,0.001,0.0,0.0,0.002,0.0,0.0,0.351,0.646,0.0,multi_crossing_unstable,0.646,unresolved,state_reversal_B_to_A,0.351
W045,Je,Jw,C2_immediate_pre,dist,0.002,0.0,0.0,0.169,0.0,0.761,0.006,0.062,0.0,state_reversal_A_to_B,0.761,unresolved,A_front_B_catchup,0.169
W045,Je,Jw,C2_immediate_pre,pattern,0.044,0.0,0.0,0.001,0.015,0.001,0.498,0.441,0.0,state_reversal_B_to_A,0.498,unresolved,multi_crossing_unstable,0.441
W045,P,H,C0_full_stage,dist,0.0,0.0,0.065,0.0,0.139,0.007,0.017,0.772,0.0,multi_crossing_unstable,0.772,unresolved,B_front_A_catchup,0.139
W045,P,H,C0_full_stage,pattern,0.043,0.0,0.0,0.0,0.0,0.086,0.001,0.87,0.0,multi_crossing_unstable,0.87,exploratory_signal,state_reversal_A_to_B,0.086
W045,P,H,C1_buffered_stage,dist,0.0,0.0,0.111,0.0,0.176,0.016,0.023,0.674,0.0,multi_crossing_unstable,0.674,unresolved,B_front_A_catchup,0.176
W045,P,H,C1_buffered_stage,pattern,0.039,0.0,0.0,0.002,0.017,0.067,0.004,0.871,0.0,multi_crossing_unstable,0.871,exploratory_signal,state_reversal_A_to_B,0.067
W045,P,H,C2_immediate_pre,dist,0.0,0.0,0.015,0.0,0.055,0.002,0.119,0.809,0.0,multi_crossing_unstable,0.809,exploratory_signal,state_reversal_B_to_A,0.119
W045,P,H,C2_immediate_pre,pattern,0.151,0.0,0.0,0.006,0.073,0.157,0.009,0.604,0.0,multi_crossing_unstable,0.604,unresolved,state_reversal_A_to_B,0.157
W045,P,Je,C0_full_stage,dist,0.0,0.0,0.016,0.0,0.092,0.005,0.066,0.821,0.0,multi_crossing_unstable,0.821,exploratory_signal,B_front_A_catchup,0.092
W045,P,Je,C0_full_stage,pattern,0.004,0.0,0.0,0.0,0.0,0.072,0.001,0.923,0.0,multi_crossing_unstable,0.923,tendency,state_reversal_A_to_B,0.072
W045,P,Je,C1_buffered_stage,dist,0.0,0.0,0.037,0.0,0.131,0.015,0.081,0.736,0.0,multi_crossing_unstable,0.736,unresolved,B_front_A_catchup,0.131
W045,P,Je,C1_buffered_stage,pattern,0.011,0.0,0.0,0.0,0.013,0.135,0.017,0.824,0.0,multi_crossing_unstable,0.824,exploratory_signal,state_reversal_A_to_B,0.135
W045,P,Je,C2_immediate_pre,dist,0.0,0.0,0.003,0.0,0.024,0.006,0.273,0.694,0.0,multi_crossing_unstable,0.694,unresolved,state_reversal_B_to_A,0.273
W045,P,Je,C2_immediate_pre,pattern,0.074,0.0,0.0,0.02,0.029,0.242,0.012,0.623,0.0,multi_crossing_unstable,0.623,unresolved,state_reversal_A_to_B,0.242
W045,P,Jw,C0_full_stage,dist,0.001,0.0,0.0,0.001,0.008,0.072,0.03,0.888,0.0,multi_crossing_unstable,0.888,exploratory_signal,state_reversal_A_to_B,0.072
W045,P,Jw,C0_full_stage,pattern,0.139,0.0,0.0,0.0,0.002,0.062,0.005,0.792,0.0,multi_crossing_unstable,0.792,unresolved,parallel_state_progress,0.139
W045,P,Jw,C1_buffered_stage,dist,0.002,0.0,0.0,0.001,0.011,0.054,0.051,0.881,0.0,multi_crossing_unstable,0.881,exploratory_signal,state_reversal_A_to_B,0.054
W045,P,Jw,C1_buffered_stage,pattern,0.12,0.0,0.0,0.01,0.023,0.069,0.031,0.747,0.0,multi_crossing_unstable,0.747,unresolved,parallel_state_progress,0.12
W045,P,Jw,C2_immediate_pre,dist,0.002,0.0,0.0,0.003,0.006,0.114,0.097,0.778,0.0,multi_crossing_unstable,0.778,unresolved,state_reversal_A_to_B,0.114
W045,P,Jw,C2_immediate_pre,pattern,0.305,0.0,0.0,0.018,0.105,0.055,0.112,0.405,0.0,multi_crossing_unstable,0.405,unresolved,parallel_state_progress,0.305
W045,P,V,C0_full_stage,dist,0.025,0.0,0.0,0.028,0.018,0.009,0.675,0.245,0.0,state_reversal_B_to_A,0.675,unresolved,multi_crossing_unstable,0.245
W045,P,V,C0_full_stage,pattern,0.057,0.0,0.0,0.003,0.0,0.003,0.094,0.843,0.0,multi_crossing_unstable,0.843,exploratory_signal,state_reversal_B_to_A,0.094
W045,P,V,C1_buffered_stage,dist,0.044,0.0,0.0,0.032,0.017,0.005,0.725,0.177,0.0,state_reversal_B_to_A,0.725,unresolved,multi_crossing_unstable,0.177
W045,P,V,C1_buffered_stage,pattern,0.037,0.0,0.0,0.045,0.0,0.004,0.357,0.557,0.0,multi_crossing_unstable,0.557,unresolved,state_reversal_B_to_A,0.357
W045,P,V,C2_immediate_pre,dist,0.056,0.0,0.0,0.073,0.009,0.012,0.664,0.186,0.0,state_reversal_B_to_A,0.664,unresolved,multi_crossing_unstable,0.186
W045,P,V,C2_immediate_pre,pattern,0.256,0.0,0.0,0.058,0.045,0.002,0.432,0.207,0.0,state_reversal_B_to_A,0.432,unresolved,parallel_state_progress,0.256
W045,V,H,C0_full_stage,dist,0.0,0.0,0.027,0.0,0.283,0.251,0.001,0.435,0.003,multi_crossing_unstable,0.435,unresolved,B_front_A_catchup,0.283
W045,V,H,C0_full_stage,pattern,0.004,0.0,0.0,0.0,0.0,0.006,0.0,0.99,0.0,multi_crossing_unstable,0.99,supported,state_reversal_A_to_B,0.006
W045,V,H,C1_buffered_stage,dist,0.0,0.0,0.058,0.0,0.288,0.237,0.0,0.409,0.008,multi_crossing_unstable,0.409,unresolved,B_front_A_catchup,0.288
W045,V,H,C1_buffered_stage,pattern,0.001,0.0,0.0,0.0,0.008,0.042,0.0,0.949,0.0,multi_crossing_unstable,0.949,tendency,state_reversal_A_to_B,0.042
W045,V,H,C2_immediate_pre,dist,0.001,0.0,0.029,0.0,0.164,0.047,0.004,0.752,0.003,multi_crossing_unstable,0.752,unresolved,B_front_A_catchup,0.164
W045,V,H,C2_immediate_pre,pattern,0.016,0.0,0.0,0.001,0.022,0.11,0.002,0.849,0.0,multi_crossing_unstable,0.849,exploratory_signal,state_reversal_A_to_B,0.11
W045,V,Je,C0_full_stage,dist,0.006,0.0,0.004,0.0,0.279,0.271,0.003,0.436,0.001,multi_crossing_unstable,0.436,unresolved,B_front_A_catchup,0.279
W045,V,Je,C0_full_stage,pattern,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.952,0.0,multi_crossing_unstable,0.952,supported,state_reversal_A_to_B,0.048
W045,V,Je,C1_buffered_stage,dist,0.004,0.0,0.011,0.0,0.25,0.252,0.0,0.477,0.006,multi_crossing_unstable,0.477,unresolved,state_reversal_A_to_B,0.252
W045,V,Je,C1_buffered_stage,pattern,0.0,0.0,0.0,0.0,0.004,0.182,0.0,0.814,0.0,multi_crossing_unstable,0.814,exploratory_signal,state_reversal_A_to_B,0.182
W045,V,Je,C2_immediate_pre,dist,0.002,0.0,0.012,0.0,0.177,0.042,0.035,0.729,0.003,multi_crossing_unstable,0.729,unresolved,B_front_A_catchup,0.177
W045,V,Je,C2_immediate_pre,pattern,0.007,0.0,0.0,0.001,0.002,0.327,0.002,0.661,0.0,multi_crossing_unstable,0.661,unresolved,state_reversal_A_to_B,0.327
W045,V,Jw,C0_full_stage,dist,0.04,0.0,0.0,0.004,0.058,0.6,0.0,0.294,0.004,state_reversal_A_to_B,0.6,unresolved,multi_crossing_unstable,0.294
W045,V,Jw,C0_full_stage,pattern,0.036,0.0,0.0,0.0,0.002,0.035,0.007,0.92,0.0,multi_crossing_unstable,0.92,tendency,parallel_state_progress,0.036
W045,V,Jw,C1_buffered_stage,dist,0.022,0.0,0.001,0.004,0.066,0.47,0.001,0.429,0.007,state_reversal_A_to_B,0.47,unresolved,multi_crossing_unstable,0.429
W045,V,Jw,C1_buffered_stage,pattern,0.022,0.0,0.0,0.0,0.102,0.079,0.012,0.785,0.0,multi_crossing_unstable,0.785,unresolved,B_front_A_catchup,0.102
W045,V,Jw,C2_immediate_pre,dist,0.021,0.0,0.0,0.002,0.037,0.54,0.006,0.388,0.006,state_reversal_A_to_B,0.54,unresolved,multi_crossing_unstable,0.388
