window_id,object,baseline,branch,P_single_growth_episode,P_multi_stage_growth,P_weak_or_no_positive_growth,P_growth_unresolved,growth_primary_structure,growth_primary_support,growth_support_class,growth_competing_structure,growth_competing_support,P_rollback_or_regression,P_minor_negative_fluctuation,P_no_meaningful_rollback,rollback_primary_structure,rollback_primary_support,rollback_support_class,rollback_competing_structure,rollback_competing_support,main_episode_start_median,main_episode_start_q025,main_episode_start_q975,main_episode_end_median,main_episode_end_q025,main_episode_end_q975,negative_ratio_median,negative_ratio_q025,negative_ratio_q975,main_episode_mass_median,main_episode_mass_q025,main_episode_mass_q975
W045,H,C0_full_stage,dist,0.099,0.712,0.0,0.189,multi_stage_growth,0.712,unresolved,growth_unresolved,0.189,1.0,0.0,0.0,rollback_or_regression,1.0,supported,minor_negative_fluctuation,0.0,25.0,21.0,48.0,40.0,34.0,57.0,0.30649073698106954,0.2728466023954909,0.3464633674814918,0.6098773554996865,0.336244355001516,0.7679106908909347
W045,H,C0_full_stage,pattern,0.0,0.902,0.0,0.098,multi_stage_growth,0.902,tendency,growth_unresolved,0.098,0.89,0.11,0.0,rollback_or_regression,0.89,exploratory_signal,minor_negative_fluctuation,0.11,55.0,31.0,69.0,67.5,41.0,74.0,0.16696202318322395,0.09706951317470947,0.23232130986068344,1.0059358356626524,0.6051931833475005,1.6255161829475637
W045,H,C1_buffered_stage,dist,0.085,0.673,0.0,0.242,multi_stage_growth,0.673,unresolved,growth_unresolved,0.242,1.0,0.0,0.0,rollback_or_regression,1.0,supported,minor_negative_fluctuation,0.0,24.0,19.0,48.0,40.0,31.0,58.0,0.28776189447408357,0.24848563490583275,0.3319253255369823,0.5952868807411521,0.33428178951652665,0.7777632283742937
W045,H,C1_buffered_stage,pattern,0.0,0.893,0.0,0.107,multi_stage_growth,0.893,exploratory_signal,growth_unresolved,0.107,0.874,0.126,0.0,rollback_or_regression,0.874,exploratory_signal,minor_negative_fluctuation,0.126,51.5,31.0,69.0,60.5,41.0,74.0,0.16587809945516885,0.09645952526327801,0.23037367836109798,0.9933210824638178,0.5629706638936566,1.7948764025997885
W045,H,C2_immediate_pre,dist,0.007,0.899,0.0,0.094,multi_stage_growth,0.899,exploratory_signal,growth_unresolved,0.094,1.0,0.0,0.0,rollback_or_regression,1.0,supported,minor_negative_fluctuation,0.0,31.0,30.0,49.0,41.0,38.0,62.0,0.36637726684875066,0.32517152699179136,0.40940238182732275,0.5501195875498088,0.4225191859366945,0.7142717816720734
W045,H,C2_immediate_pre,pattern,0.0,0.894,0.0,0.106,multi_stage_growth,0.894,exploratory_signal,growth_unresolved,0.106,0.853,0.147,0.0,rollback_or_regression,0.853,exploratory_signal,minor_negative_fluctuation,0.147,55.0,31.975,69.0,68.0,41.0,74.0,0.1640664027890186,0.09262491169404341,0.23003920760839788,1.093168388012171,0.6264400428988725,2.139209616881248
W045,Je,C0_full_stage,dist,0.166,0.747,0.0,0.087,multi_stage_growth,0.747,unresolved,single_growth_episode,0.166,1.0,0.0,0.0,rollback_or_regression,1.0,supported,minor_negative_fluctuation,0.0,25.0,22.0,40.02499999999998,44.0,34.0,62.0,0.29266735408391925,0.26176741610872273,0.321990715533652,0.5618002144622998,0.39865664019462016,0.8767679212587408
W045,Je,C0_full_stage,pattern,0.001,0.637,0.0,0.362,multi_stage_growth,0.637,unresolved,growth_unresolved,0.362,0.914,0.086,0.0,rollback_or_regression,0.914,tendency,minor_negative_fluctuation,0.086,28.0,14.0,31.0,38.0,22.0,41.0,0.21505752708742046,0.1340140791742912,0.28505281466876853,1.131907106445325,0.6680500967395757,1.7198163026137416
W045,Je,C1_buffered_stage,dist,0.191,0.726,0.0,0.083,multi_stage_growth,0.726,unresolved,single_growth_episode,0.191,1.0,0.0,0.0,rollback_or_regression,1.0,supported,minor_negative_fluctuation,0.0,24.0,20.0,40.0,44.0,34.0,62.0,0.27951252327630516,0.24224451223125898,0.3110590246056428,0.5726503170189459,0.3998063858250297,0.8902522301825259
W045,Je,C1_buffered_stage,pattern,0.001,0.686,0.0,0.313,multi_stage_growth,0.686,unresolved,growth_unresolved,0.313,0.928,0.072,0.0,rollback_or_regression,0.928,tendency,minor_negative_fluctuation,0.072,28.0,14.0,31.0,38.0,22.0,41.0,0.21389388685243133,0.13271055939622017,0.2835072739036059,0.9732434776050746,0.599189015312043,1.412754566740555
W045,Je,C2_immediate_pre,dist,0.173,0.815,0.0,0.012,multi_stage_growth,0.815,exploratory_signal,single_growth_episode,0.173,1.0,0.0,0.0,rollback_or_regression,1.0,supported,minor_negative_fluctuation,0.0,31.0,30.0,49.0,47.0,40.0,62.02499999999998,0.3605087580146521,0.32533196557782557,0.38942761990784064,0.4983333761031028,0.40363747226757535,0.9177520013821201
W045,Je,C2_immediate_pre,pattern,0.002,0.545,0.0,0.453,multi_stage_growth,0.545,unresolved,growth_unresolved,0.453,0.859,0.141,0.0,rollback_or_regression,0.859,exploratory_signal,minor_negative_fluctuation,0.141,29.0,15.0,31.0,38.0,22.0,40.0,0.21550426383987664,0.1341421717721846,0.28583226255058525,1.4912652166680394,0.8043985947479031,3.1671276481449215
W045,Jw,C0_full_stage,dist,0.443,0.535,0.0,0.022,multi_stage_growth,0.535,unresolved,single_growth_episode,0.443,1.0,0.0,0.0,rollback_or_regression,1.0,supported,minor_negative_fluctuation,0.0,37.0,22.0,43.0,61.0,53.0,63.0,0.28911401530489944,0.25286764634833037,0.3228402673452868,0.6669964315030814,0.438953770299977,0.929573362675595
W045,Jw,C0_full_stage,pattern,0.328,0.523,0.0,0.149,multi_stage_growth,0.523,unresolved,single_growth_episode,0.328,0.346,0.654,0.0,minor_negative_fluctuation,0.654,unresolved,rollback_or_regression,0.346,31.0,25.0,41.0,40.0,34.0,57.0,0.08297122432153897,0.02848602460087868,0.16969660584843066,0.8373060363573508,0.4814936028321227,1.0895339206392327
W045,Jw,C1_buffered_stage,dist,0.424,0.555,0.0,0.021,multi_stage_growth,0.555,unresolved,single_growth_episode,0.424,1.0,0.0,0.0,rollback_or_regression,1.0,supported,minor_negative_fluctuation,0.0,37.0,19.0,43.0,61.0,53.0,62.0,0.2799181557019134,0.2444272411360131,0.3149442645780835,0.65209794356437,0.4423599002489849,0.9343195256350161
W045,Jw,C1_buffered_stage,pattern,0.339,0.501,0.0,0.16,multi_stage_growth,0.501,unresolved,single_growth_episode,0.339,0.361,0.639,0.0,minor_negative_fluctuation,0.639,unresolved,rollback_or_regression,0.361,31.0,25.0,41.0,40.0,34.0,56.0,0.08607811887694067,0.029889747766154016,0.17422442843091118,0.7800853361201073,0.4486983633692637,1.0163124397933372
W045,Jw,C2_immediate_pre,dist,0.897,0.095,0.0,0.008,single_growth_episode,0.897,exploratory_signal,multi_stage_growth,0.095,1.0,0.0,0.0,rollback_or_regression,1.0,supported,minor_negative_fluctuation,0.0,31.0,30.0,42.0,62.0,54.0,63.0,0.3523978126905861,0.31639190519505356,0.3825109646667075,0.9182095435075095,0.593987250997794,0.9563420524267718
W045,Jw,C2_immediate_pre,pattern,0.352,0.504,0.0,0.144,multi_stage_growth,0.504,unresolved,single_growth_episode,0.352,0.383,0.617,0.0,minor_negative_fluctuation,0.617,unresolved,rollback_or_regression,0.383,31.0,26.0,42.0,41.0,34.0,57.0,0.0883764351341709,0.026301372076466788,0.17471036766590006,0.8335293908354862,0.503245214712754,1.0680458875306023
W045,P,C0_full_stage,dist,0.026,0.115,0.0,0.859,growth_unresolved,0.859,exploratory_signal,multi_stage_growth,0.115,0.739,0.261,0.0,rollback_or_regression,0.739,unresolved,minor_negative_fluctuation,0.261,37.0,29.0,44.0,47.0,42.0,53.0,0.2876430302869951,0.24512130520743455,0.33128246703950975,0.5070958230417213,0.2217579550393675,0.7105006147741922
W045,P,C0_full_stage,pattern,0.007,0.131,0.0,0.862,growth_unresolved,0.862,exploratory_signal,multi_stage_growth,0.131,0.861,0.139,0.0,rollback_or_regression,0.861,exploratory_signal,minor_negative_fluctuation,0.139,39.0,32.0,45.0,48.0,37.0,50.02499999999998,0.36349742169646737,0.279131684607811,0.43017413229824697,0.991368102430855,0.3856960443140341,1.5141919235248809
W045,P,C1_buffered_stage,dist,0.025,0.155,0.0,0.82,growth_unresolved,0.82,exploratory_signal,multi_stage_growth,0.155,0.828,0.172,0.0,rollback_or_regression,0.828,exploratory_signal,minor_negative_fluctuation,0.172,36.0,26.0,44.0,47.0,35.0,53.0,0.285623015415745,0.23910878507946443,0.33347917327160226,0.4909188308914949,0.22222018151333528,0.7203852549682987
W045,P,C1_buffered_stage,pattern,0.006,0.13,0.0,0.864,growth_unresolved,0.864,exploratory_signal,multi_stage_growth,0.13,0.856,0.144,0.0,rollback_or_regression,0.856,exploratory_signal,minor_negative_fluctuation,0.144,39.0,31.975,45.0,48.0,36.0,50.0,0.36357477189531623,0.27916105339407377,0.4324490941141875,0.9502743123583164,0.34418692890049435,1.5912583171685555
W045,P,C2_immediate_pre,dist,0.199,0.132,0.0,0.669,growth_unresolved,0.669,unresolved,single_growth_episode,0.199,0.858,0.142,0.0,rollback_or_regression,0.858,exploratory_signal,minor_negative_fluctuation,0.142,36.0,31.0,44.0,47.0,42.0,53.0,0.3265282285977251,0.2823014559851001,0.37587487116698337,0.5813158293990136,0.25972098458024917,0.7802221561302317
W045,P,C2_immediate_pre,pattern,0.006,0.11,0.0,0.884,growth_unresolved,0.884,exploratory_signal,multi_stage_growth,0.11,0.814,0.186,0.0,rollback_or_regression,0.814,exploratory_signal,minor_negative_fluctuation,0.186,39.0,32.0,45.0,47.0,37.0,50.0,0.3634573432158155,0.2852515039047533,0.42991499544953665,1.0650631173162746,0.38859591093753515,1.968261201323963
W045,V,C0_full_stage,dist,0.0,0.218,0.0,0.782,growth_unresolved,0.782,unresolved,multi_stage_growth,0.218,0.973,0.027,0.0,rollback_or_regression,0.973,supported,minor_negative_fluctuation,0.027,40.0,26.0,60.0,47.0,30.0,63.0,0.3782212003106003,0.3352773141967532,0.41401158534988614,0.3215983231790105,0.16970647172631725,0.5895601704570731
W045,V,C0_full_stage,pattern,0.017,0.091,0.0,0.892,growth_unresolved,0.892,exploratory_signal,multi_stage_growth,0.091,0.973,0.027,0.0,rollback_or_regression,0.973,supported,minor_negative_fluctuation,0.027,40.0,37.0,46.0,48.0,45.0,55.0,0.4192211480198238,0.3663979799922081,0.46767547284199723,1.0510988396654986,0.4965711078615367,1.6133218328572343
