window,v1_status,n_pairs,mean_ar1_median,max_ar1_median,pair_effective_n_proxy_median,ar1_null_p95_median,observed_r_median,observed_minus_p95_median
S1,lead_lag_yes,44,0.9457301165876106,0.9615605807455296,88.17050588822708,0.27150816013989776,0.3480839984516535,0.08015684229083417
S1,other_not_supported,70,0.9337123110276664,0.9615605807455296,107.92140597760712,0.24565395989677621,0.15681017516442874,-0.05531194207254911
S1,positive_lag_not_supported,123,0.8411051556489255,0.9622857236564222,288.0906355726653,0.15097322224561258,0.0571851046067487,-0.09491926671889878
S1,tier4_ambiguous,71,0.9345766776795017,0.9647278821585789,106.54023774937396,0.24721709940095687,0.1972158573887042,-0.020736652234618097
S2,lead_lag_yes,46,0.9634521077367549,0.9706773258896775,43.59209543382236,0.3827377857912035,0.3315193701912282,0.00046990328076160215
S2,other_not_supported,57,0.958278373606001,0.9684351500385012,49.89728721310761,0.35844691723891775,0.1854566163984219,-0.0924280369060399
S2,positive_lag_not_supported,132,0.8187368932719032,0.9664846755908973,247.46926136728428,0.16286254831573643,0.05707943852492525,-0.08661616931517555
S2,tier4_ambiguous,73,0.9279539336482816,0.9664846755908973,88.31142349762041,0.27115723556010957,0.2397492693394117,-0.033128966748567495
S3,lead_lag_yes,33,0.9689137299472148,0.9721636223924139,28.417344242584186,0.46956905886801514,0.3382241000092865,-0.10552773382333036
S3,other_not_supported,37,0.9646902744433317,0.9714125506178758,32.361263407329204,0.4414768491101775,0.2040096652329477,-0.18458972595441261
S3,positive_lag_not_supported,180,0.9554995819825514,0.9714125506178758,41.02268109015162,0.3940501241555355,0.0726884298694025,-0.27728389314504676
S3,tier4_ambiguous,58,0.944828088775811,0.9675136180028686,51.28694043119796,0.35369931787092856,0.2512622494714103,-0.07731402634028521
S4,lead_lag_yes,24,0.9599078814832382,0.9728397880650999,68.12739303265366,0.30798374028000397,0.2607979337336485,-0.02751326297719678
S4,other_not_supported,30,0.9583155556807528,0.9721344059579153,71.02264495393364,0.30176149021696946,0.15520086214674755,-0.10328876008851043
S4,positive_lag_not_supported,186,0.9490125018902164,0.9721344059579153,87.07078969648933,0.2730524789637564,0.05612992072422765,-0.16912841333384285
S4,tier4_ambiguous,68,0.9533476405472648,0.9698698667059209,79.62303993482787,0.28531346208524005,0.18545682916279,-0.06665078687750768
S5,lead_lag_yes,22,0.95261903643835,0.9719793138229369,31.90556336298973,0.44598240165996283,0.364177499255489,-0.09861638039261691
S5,other_not_supported,24,0.9464104165199072,0.9719793138229369,36.29179496970116,0.41831549153309144,0.1982775863783099,-0.21168902165181025
S5,positive_lag_not_supported,207,0.9388477357351792,0.9651299442496134,42.57043246170376,0.3870756681765038,0.080615786299216,-0.26993371376882963
S5,tier4_ambiguous,55,0.937351913295998,0.9651299442496134,42.27638248850361,0.38837206517569417,0.2336573775826959,-0.14414664012343134
T1,lead_lag_yes,30,0.9482979018135791,0.9664727638248378,21.51863207097466,0.5348577102175358,0.3840128555927258,-0.07205419888873713
T1,other_not_supported,40,0.9536237061402613,0.9656580817083247,19.240280336380707,0.563657805265602,0.24503770729701851,-0.21857838534916735
T1,positive_lag_not_supported,173,0.9115874297584434,0.9648433995918116,37.759262700546635,0.4100748752367572,0.098531559414731,-0.27588434414137564
T1,tier4_ambiguous,65,0.9395314220456772,0.9645903578975038,25.25051338742503,0.4964398032373204,0.2896560928676315,-0.15687952271435368
T2,lead_lag_yes,28,0.9673224478834258,0.9720798596765112,17.940560801970143,0.5813984197165449,0.46616088568806535,-0.11834697339582687
T2,other_not_supported,33,0.9643096908855651,0.9718707112406901,19.63492845438403,0.55792541183645,0.2542440956447173,-0.27723292817878836
T2,positive_lag_not_supported,188,0.9497233679359218,0.9661781984622795,27.86246156839805,0.4739679467741188,0.0844901308154309,-0.2987467296954856
T2,tier4_ambiguous,59,0.9492154805284345,0.9625650360903403,28.16721804885489,0.4715355004401881,0.2760295931312724,-0.12378718713069886
T3,lead_lag_yes,10,0.9636710850548889,0.9758020307804245,18.324592951170033,0.5771617838924537,0.38493543587360357,-0.18517530871798343
T3,other_not_supported,22,0.9592991593059932,0.970765584919909,20.571425867993106,0.5461084350066434,0.24478360783968256,-0.1677315037538555
T3,positive_lag_not_supported,211,0.923716801138744,0.9696576219560881,39.75564964229284,0.400045806852279,0.1041944249587411,-0.3025473264024732
T3,tier4_ambiguous,65,0.9540474570301127,0.9722496650896073,23.33153450360502,0.5151319523709385,0.2808793742380143,-0.14705730079886162
T4,lead_lag_yes,11,0.9642033213883361,0.9752010113029008,16.431790456750242,0.6049398080641334,0.4485134762359581,-0.18660664275574246
T4,other_not_supported,33,0.9533633683708573,0.9722129524247355,21.60486439886825,0.533868208304795,0.2205815031636703,-0.31382870951016056
T4,positive_lag_not_supported,214,0.9256650941572437,0.9714107360712976,35.02726822510856,0.4251028964972415,0.0968605781226279,-0.33048361042509955
T4,tier4_ambiguous,50,0.9364498380875499,0.9698756687624481,29.51346619805861,0.46123110322030275,0.26383358736659146,-0.09774713434905419
