window,positive_lag_not_supported_n,mean_ar1_median,max_ar1_median,effective_n_median,observed_r_median,ar1_null_p95_median,observed_minus_p95_median,existing_p_surrogate_median,existing_q_pos_median,dominant_failure_type,observed_weak_n,null_threshold_high_n,observed_moderate_but_null_high_n,fdr_only_failure_n,both_observed_weak_and_null_high_n
S1,123,0.8411051556489255,0.9622857236564222,288.0906355726653,0.0571851046067487,0.15097322224561258,-0.09491926671889878,0.3666333666333666,0.4590368980612883,observed_weak,80,0,0,0,0
S2,132,0.8187368932719032,0.9664846755908973,247.46926136728428,0.05707943852492525,0.16286254831573643,-0.08661616931517555,0.4065934065934066,0.5164125063114962,observed_weak,78,2,0,0,0
S3,180,0.9554995819825514,0.9714125506178758,41.02268109015162,0.0726884298694025,0.3940501241555355,-0.27728389314504676,0.4245754245754246,0.5932085932085933,does_not_exceed_ar1_null_threshold,77,11,1,0,5
S4,186,0.9490125018902164,0.9721344059579153,87.07078969648933,0.05612992072422765,0.2730524789637564,-0.16912841333384285,0.3696303696303696,0.5295169946332736,observed_weak,104,0,0,0,0
S5,207,0.9388477357351792,0.9651299442496134,42.57043246170376,0.080615786299216,0.3870756681765038,-0.26993371376882963,0.3836163836163836,0.576360225140713,does_not_exceed_ar1_null_threshold,71,16,14,0,10
T1,173,0.9115874297584434,0.9648433995918116,37.759262700546635,0.098531559414731,0.4100748752367572,-0.27588434414137564,0.4155844155844156,0.5765765765765766,does_not_exceed_ar1_null_threshold,37,27,34,0,6
T2,188,0.9497233679359218,0.9661781984622795,27.86246156839805,0.0844901308154309,0.4739679467741188,-0.2987467296954856,0.425074925074925,0.6103622958219785,observed_weak,54,35,32,0,21
T3,211,0.923716801138744,0.9696576219560881,39.75564964229284,0.1041944249587411,0.400045806852279,-0.3025473264024732,0.3826173826173826,0.5805229253505115,does_not_exceed_ar1_null_threshold,49,33,49,0,13
T4,214,0.9256650941572437,0.9714107360712976,35.02726822510856,0.0968605781226279,0.4251028964972415,-0.33048361042509955,0.42957042957042957,0.6582330540746382,does_not_exceed_ar1_null_threshold,54,31,43,0,16
