window,family,n_indices,ar1_mean,ar1_median,ar1_p75,ar1_p90,effective_n_mean,effective_n_median,variance_median
S1,H,4,0.8972105315098344,0.9449209590356998,0.9703450535035505,0.9804559619244996,92.65389669513354,44.771082667718,39.20905601440069
S1,Je,3,0.6044964465039114,0.8812653930758041,0.9258360319720913,0.9525784153098638,607.7033356966814,99.40490405761335,14.72472710857928
S1,Jw,3,0.6838494495486533,0.8739856664176857,0.9219524281171096,0.950732485136764,387.7817955246535,105.90933481980441,28.80712059737888
S1,P,7,0.9492713113358275,0.9527492223125397,0.9570770658498209,0.9614155521633512,41.04459315939654,38.110359490819974,0.0190244758953587
S1,V,3,0.9428069892179497,0.9580839064821512,0.9619977472267123,0.964346051673449,46.52197726673907,33.71553541299358,2.9239315023038728
S2,H,4,0.8819475148819433,0.9318218213375596,0.9766965706230736,0.9816492305981385,79.76969073490991,41.868025141573185,23.06240970440072
S2,Je,3,0.6242162050617345,0.9241063224315923,0.9452954990112448,0.9580090049590363,426.28062885749324,46.14901043660697,8.613298515176343
S2,Jw,3,0.6104112160224555,0.8759036629254149,0.9259503538168401,0.9559783683516954,436.9975328962336,77.3988117016846,9.853279084917618
S2,P,7,0.9600245430785309,0.9616219661363025,0.9643846264766722,0.9665562323997646,23.87453416852309,22.890393967685664,0.01589151236951842
S2,V,3,0.9624558499857977,0.9684351500385012,0.9695562379640894,0.9702288907194422,22.415101925939002,18.761539822244703,4.089781975911685
S3,H,4,0.9139940883911569,0.9405594577149687,0.9641393816731053,0.9729626114801984,41.78718229844681,27.653500020499717,12.308307303858529
S3,Je,3,0.6598521045056058,0.939213392217534,0.9553129714177049,0.9649727189378074,275.0628810985631,28.211411505187503,7.006750474965653
S3,Jw,3,0.6437065893221686,0.9474136168926348,0.9619503909569556,0.9706724553955481,307.36949252986795,24.302872479728556,4.703364452285013
S3,P,7,0.965560372063079,0.9675136180028686,0.9679347675344792,0.9683367790353855,15.772371256924654,14.860249774075829,0.02074369678465596
S3,V,3,0.9720412532460484,0.9721636223924139,0.9744553066200835,0.9758303171566852,12.76336787032534,12.703175113044727,2.619208796104756
S4,H,4,0.8571679135213048,0.9159075273337691,0.9449952566436214,0.9648765899160385,139.26218303898497,73.23386421903268,35.4076801233561
