window,source_index,target_index,source_family,target_family,family_direction,v1_status,failure_reason,evidence_tier,positive_peak_lag,positive_peak_abs_r,ar1_null_p95_abs_r,ar1_null_p99_abs_r,observed_minus_ar1_p95,observed_minus_ar1_p99,observed_over_ar1_p95,p_pos_surrogate,q_pos_within_window,q_pos_global,source_ar1,target_ar1,mean_ar1,max_ar1,source_effective_n,target_effective_n,pair_effective_n_proxy
S1,P_main_band_share,V_strength,P,V,P→V,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.5003512116848756,0.33108004663548024,0.39162896162632527,0.16927116504939538,0.10872225005855035,1.511269606155889,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9608354378346371,0.9659115879712734,0.9633735129029553,0.9659115879712734,31.458114342611438,27.31010350300092,58.747871470242345
S1,P_main_band_share,V_pos_centroid_lat,P,V,P→V,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,3,0.170537995693937,0.24369034029087888,0.29045583861923147,-0.07315234459694189,-0.11991784292529448,0.699814344263198,0.0219780219780219,0.0541538461538461,0.0798467587458413,0.9608354378346371,0.9044254732004244,0.9326304555175308,0.9608354378346371,31.458114342611438,78.54029288422271,109.68872391348398
S1,P_main_band_share,V_NS_diff,P,V,P→V,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.5036463930306471,0.31478721630176126,0.37295222511634174,0.1888591767288858,0.13069416791430533,1.5999582160536077,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9608354378346371,0.9580839064821512,0.9594596721583941,0.9608354378346371,31.458114342611438,33.71553541299358,65.14579572654459
S1,P_main_band_share,H_strength,P,H,P→H,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.2580549038166687,0.39140215027896635,0.4599088902198127,-0.13334724646229767,-0.201853986403144,0.6593088556941848,0.0049950049950049,0.0153846153846153,0.0254524886877828,0.9608354378346371,0.9871965675384656,0.9740160026865514,0.9871965675384656,31.458114342611438,15.909090909090924,41.60042640972422
S1,P_main_band_share,H_centroid_lat,P,H,P→H,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.2125411254952829,0.32846204501454135,0.38863420841833324,-0.11592091951925845,-0.17609308292305034,0.6470797120132206,0.0139860139860139,0.0384615384615384,0.0569298542866824,0.9608354378346371,0.9647278821585789,0.9627816599966079,0.9647278821585789,31.458114342611438,28.2754604872831,59.712163479258805
S1,P_main_band_share,H_west_extent_lon,P,H,P→H,lead_lag_yes,,Tier1b_audit_stable_with_same_day,1,0.2519175624434485,0.26482957993976014,0.31514107435865707,-0.012912017496311656,-0.06322351191520859,0.9512440509883802,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9608354378346371,0.9251140359128208,0.9429747368737289,0.9608354378346371,31.458114342611438,61.26670484815289,92.65283207191146
S1,P_main_band_share,H_zonal_width,P,H,P→H,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,1,0.0605747431861358,0.149045410000536,0.17864064647393635,-0.0884706668144002,-0.11806590328780055,0.4064180385421997,0.2867132867132867,0.3819628647214854,0.461003034088881,0.9608354378346371,0.7118036404294723,0.8363195391320547,0.9608354378346371,31.458114342611438,265.16433053600724,295.62833878375613
S1,P_main_band_share,Je_strength,P,Je,P→Je,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,1,0.1066243257295847,0.34159207926284163,0.40362876565160005,-0.23496775353325694,-0.29700443992201536,0.31213933870972893,0.2217782217782218,0.3133380381086803,0.3888483433075463,0.9608354378346371,0.9704066708683786,0.9656210543515078,0.9704066708683786,31.458114342611438,23.654758213827193,55.09634483928906
S1,P_main_band_share,Je_axis_lat,P,Je,P→Je,lead_lag_yes,,Tier1b_audit_stable_with_same_day,1,0.3704719947253482,0.2234807161785506,0.26674619742772754,0.1469912785467976,0.10372579729762066,1.6577358488029834,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9608354378346371,0.8812653930758041,0.9210504154552206,0.9608354378346371,31.458114342611438,99.40490405761335,130.69825938607448
S1,P_main_band_share,Je_meridional_width,P,Je,P→Je,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,1,0.0607424067166931,0.06469798157540024,0.07775345206061453,-0.0039555748587071435,-0.01701104534392143,0.9388609232871161,0.1018981018981019,0.1685761047463175,0.229830381172936,0.9608354378346371,-0.03818272443244831,0.4613263567010944,0.9608354378346371,31.458114342611438,1700.0503448186037,1575.0
