window,index_name,family,n_samples,ar1,ar2,variance,effective_n_ar1
S1,H_centroid_lat,H,1575,0.9647278821585789,0.8830261462740522,3.6579319069381095,28.2754604872831
S1,H_strength,H,1575,0.9871965675384656,0.9538173768911057,132.50213073294404,15.909090909090924
S1,H_west_extent_lon,H,1575,0.9251140359128208,0.8090845274169365,56.08235564026543,61.26670484815289
S1,H_zonal_width,H,1575,0.7118036404294723,0.45250404952930245,22.335756388535934,265.16433053600724
S1,Je_axis_lat,Je,1575,0.8812653930758041,0.759268830603173,14.72472710857928,99.40490405761335
S1,Je_meridional_width,Je,1575,-0.03818272443244831,-0.0006406084447961387,0.431305590851334,1700.0503448186037
S1,Je_strength,Je,1575,0.9704066708683786,0.8969270153237132,46.07176429316318,23.654758213827193
S1,Jw_axis_lat,Jw,1575,0.8739856664176857,0.7355912429729583,40.43221872234273,105.90933481980441
S1,Jw_meridional_width,Jw,1575,0.20764349241174077,0.05744168388638115,4.88152618946774,1033.385686498629
S1,Jw_strength,Jw,1575,0.9699191898165336,0.8929816785966264,28.80712059737888,24.05036525552708
S1,P_main_band_share,P,1575,0.9608354378346371,0.8792456985115541,0.0190244758953587,31.458114342611438
S1,P_main_minus_south,P,1575,0.9527492223125397,0.8546477524235595,0.03906175950653439,38.110359490819974
S1,P_north_band_share_35_45,P,1575,0.9260030390439205,0.7974696989823188,0.002882335408431718,60.51143801085539
S1,P_north_minus_main_35_45,P,1575,0.9430240113409982,0.8391721178668007,0.017572146079143054,46.184288827184766
S1,P_south_band_share_18_24,P,1575,0.9466830512972704,0.8349255011004175,0.007421400407484457,43.13706545646387
S1,P_spread_lat,P,1575,0.9533186938650046,0.86143853770632,0.9634508662970681,37.64007245389065
S1,P_total_centroid_lat_10_50,P,1575,0.9622857236564222,0.8811944676524953,5.865653361294392,30.27081353394968
S1,V_NS_diff,V,1575,0.9580839064821512,0.8689003137192629,4734.400971133642,33.71553541299358
S1,V_pos_centroid_lat,V,1565,0.9044254732004244,0.756790385958689,2.9239315023038728,78.54029288422271
S1,V_strength,V,1575,0.9659115879712734,0.8890687819128917,1.3408808365444085,27.31010350300092
T1,H_centroid_lat,H,405,0.9645903578975038,0.8838997340125,6.5578197015948065,7.299692271145286
T1,H_strength,H,405,0.986235799634347,0.9497660606450528,118.6180023880722,4.090909090909094
T1,H_west_extent_lon,H,405,0.9297764538705282,0.831910078306869,70.99685781078108,14.73773613798285
T1,H_zonal_width,H,405,0.7402414635179688,0.5421285404713574,26.555871837183716,60.452649520574056
T1,Je_axis_lat,Je,405,0.8867943595897588,0.834464646339522,10.132797495869983,24.299566157340195
T1,Je_meridional_width,Je,405,0.10992496712132588,-0.015657125868908297,0.22951732673267328,324.77906074209335
T1,Je_strength,Je,405,0.9616721292655777,0.8651336021324111,33.88648303406825,7.91303878760441
T1,Jw_axis_lat,Jw,405,0.8721534027610873,0.7476359829076058,25.993002010811207,27.65685322869197
T1,Jw_meridional_width,Jw,405,0.06865001458144537,-0.007634540960952825,2.714727722772277,352.96564726315006
T1,Jw_strength,Jw,405,0.9753875249020327,0.9162565148285418,34.01625400020116,5.046125020543044
T1,P_main_band_share,P,405,0.968159989741289,0.8951964768893832,0.022308809748886632,6.5519084942240875
T1,P_main_minus_south,P,405,0.9581876053312576,0.8606058674120453,0.04296186122957555,8.647802587830206
T1,P_north_band_share_35_45,P,405,0.9302639218207128,0.7920373819094834,0.0021809227410711338,14.63173576594185
T1,P_north_minus_main_35_45,P,405,0.9492863902208263,0.8435118222952849,0.015243828650577352,10.536682584768153
T1,P_south_band_share_18_24,P,405,0.9510214567557994,0.8333086996158982,0.008274302759020373,10.167140881620792
T1,P_spread_lat,P,405,0.9523813068645164,0.8528191130402565,0.751344104609902,9.877973453271323
T1,P_total_centroid_lat_10_50,P,405,0.9722127464761292,0.9077167954898763,7.023821162350228,5.706198632614852
T1,V_NS_diff,V,405,0.9664727638248378,0.8883354378334598,5708.218404553301,6.905018417102358
T1,V_pos_centroid_lat,V,405,0.9440736147442491,0.8235008510301065,5.493350022445593,11.650889069629615
T1,V_strength,V,405,0.9648433995918116,0.880282944228681,1.1638064334107874,7.246594394379857
S2,H_centroid_lat,H,1170,0.9739450928591487,0.9100535130438744,6.710860178150242,15.443307650792537
S2,H_strength,H,1170,0.9849510039148484,0.9459421613810243,125.51674161641904,11.818181818181829
S2,H_west_extent_lon,H,1170,0.8896985498159706,0.7646099551871361,31.999405950004746,68.29274263235384
S2,H_zonal_width,H,1170,0.6791954129378055,0.4554602959266577,14.125413458796693,223.52453083831142
S2,Je_axis_lat,Je,1170,0.9241063224315923,0.831579040355007,8.613298515176343,46.14901043660697
S2,Je_meridional_width,Je,1170,-0.017942382837286167,-0.0017129492262807026,0.37521148179830816,1212.7522531321024
S2,Je_strength,Je,1170,0.9664846755908973,0.8798597430272946,41.95241349968783,19.940623003770543
S2,Jw_axis_lat,Jw,1170,0.8759036629254149,0.7301710038177989,9.853279084917618,77.3988117016846
