window,family_direction,surrogate_failure_attribution,n
S1,H→Je,does_not_exceed_ar1_null_threshold,1
S1,H→Je,observed_weak,5
S1,H→Jw,does_not_exceed_ar1_null_threshold,4
S1,H→Jw,observed_weak,4
S1,H→P,does_not_exceed_ar1_null_threshold,2
S1,H→P,observed_weak,8
S1,H→V,does_not_exceed_ar1_null_threshold,1
S1,H→V,observed_weak,2
S1,Je→H,does_not_exceed_ar1_null_threshold,2
S1,Je→H,observed_weak,5
S1,Je→Jw,does_not_exceed_ar1_null_threshold,2
S1,Je→Jw,observed_weak,5
S1,Je→P,does_not_exceed_ar1_null_threshold,2
S1,Je→P,observed_weak,4
S1,Je→P,uncertain_or_existing_v1_pq_failure,1
S1,Je→V,does_not_exceed_ar1_null_threshold,2
S1,Je→V,observed_weak,1
S1,Jw→H,does_not_exceed_ar1_null_threshold,6
S1,Jw→H,observed_weak,4
S1,Jw→Je,does_not_exceed_ar1_null_threshold,1
S1,Jw→Je,observed_weak,4
S1,Jw→P,does_not_exceed_ar1_null_threshold,4
S1,Jw→P,observed_weak,9
S1,Jw→V,does_not_exceed_ar1_null_threshold,3
S1,Jw→V,observed_weak,2
S1,P→H,does_not_exceed_ar1_null_threshold,3
S1,P→H,observed_weak,5
S1,P→Je,does_not_exceed_ar1_null_threshold,3
S1,P→Je,observed_weak,4
S1,P→Jw,does_not_exceed_ar1_null_threshold,6
S1,P→Jw,observed_weak,11
S1,V→H,observed_weak,2
S1,V→Je,observed_weak,1
S1,V→Jw,observed_weak,4
S2,H→Je,does_not_exceed_ar1_null_threshold,1
S2,H→Je,observed_weak,6
S2,H→Jw,does_not_exceed_ar1_null_threshold,4
S2,H→Jw,null_threshold_high,1
S2,H→Jw,observed_weak,5
S2,H→P,does_not_exceed_ar1_null_threshold,4
S2,H→P,observed_weak,2
S2,H→V,does_not_exceed_ar1_null_threshold,1
S2,H→V,observed_weak,1
S2,Je→H,does_not_exceed_ar1_null_threshold,2
S2,Je→H,observed_weak,5
S2,Je→Jw,does_not_exceed_ar1_null_threshold,2
S2,Je→Jw,observed_weak,5
S2,Je→P,does_not_exceed_ar1_null_threshold,5
S2,Je→P,observed_weak,9
S2,Je→V,does_not_exceed_ar1_null_threshold,3
S2,Je→V,observed_weak,4
S2,Jw→H,does_not_exceed_ar1_null_threshold,4
S2,Jw→H,null_threshold_high,1
S2,Jw→H,observed_weak,4
S2,Jw→Je,does_not_exceed_ar1_null_threshold,1
S2,Jw→Je,observed_weak,3
S2,Jw→P,does_not_exceed_ar1_null_threshold,4
S2,Jw→P,observed_weak,7
S2,Jw→V,does_not_exceed_ar1_null_threshold,3
S2,Jw→V,observed_weak,3
S2,P→H,does_not_exceed_ar1_null_threshold,5
S2,P→H,observed_weak,2
S2,P→Je,does_not_exceed_ar1_null_threshold,5
S2,P→Je,observed_weak,8
S2,P→Jw,does_not_exceed_ar1_null_threshold,3
