object,window_id,main_peak_day,main_peak_candidate_id,main_peak_bootstrap_match_fraction,n_returned_replicates_for_interval,return_day_median,return_day_q02_5,return_day_q97_5,return_day_p10,return_day_p90,return_day_iqr,return_day_width95,return_day_width80
Je,W001,26,CP001,0.825,989,26.0,20.0,34.0,23.0,32.0,3.0,14.0,9.0
Je,W002,33,CP002,0.763,952,33.0,25.0,36.0,26.0,35.0,5.0,11.0,9.0
Je,W003,46,CP003,0.978,988,46.0,43.0,50.0,44.0,48.0,2.0,7.0,4.0
Je,W004,81,CP004,0.714,945,81.0,73.6,88.39999999999998,75.0,87.0,5.0,14.799999999999983,12.0
Je,W005,94,CP005,0.606,840,93.0,86.0,101.0,88.0,100.0,5.0,15.0,12.0
Je,W006,111,CP006,0.986,995,111.0,106.0,115.0,107.0,114.0,5.0,9.0,7.0
Je,W007,136,CP007,0.842,997,136.0,131.0,143.0,132.0,142.0,5.0,12.0,10.0
Je,W008,162,CP008,0.981,992,162.0,158.0,166.0,160.0,164.0,2.0,8.0,4.0
