feature_index,object_name,lat_value,raw_mean_day,raw_std_day,z_mean_day,z_std_day
0,Je,25.0,7.363011079224971,13.786017128565092,2.436146522606058e-16,0.9999999999999999
1,Je,27.0,10.795787431741848,15.44690377602039,8.120488408686859e-17,0.9999999999999999
2,Je,29.0,14.863756875152466,16.461085183323263,1.6240976817373719e-16,0.9999999999999998
3,Je,31.0,19.297432367804443,16.623801742347865,-5.684341886080802e-16,1.0
4,Je,33.0,23.668789170681816,15.661623363468612,6.496390726949487e-16,1.0
5,Je,35.0,27.336039046645876,13.556729041138393,-6.496390726949487e-16,1.0
6,Je,37.0,29.67716749034581,10.727874693385278,-1.9489172180848463e-15,1.0
7,Je,39.0,30.30688658582821,7.664600556590496,-1.908314776041412e-15,1.0
8,Je,41.0,29.299155276370968,5.350251188414517,5.278317465646459e-16,1.0
9,Je,43.0,27.0104940316219,4.762590040077409,-1.9387666075739876e-15,0.9999999999999998
10,Je,45.0,23.844321319879022,5.266553345519099,4.0602442043434296e-17,0.9999999999999998
